化痰,633,95.19
咳嗽,169,25.41
清热,96,14.44
小儿,80,12.03
呕吐,56,8.42
止嗽,54,8.12
胸膈,51,7.67
止咳,51,7.67
饮食,47,7.07
头目,45,6.77
脾胃,38,5.71
恶心,38,5.71
头痛,38,5.71
痰饮,35,5.26
消食,34,5.11
发热,33,4.96
清肺,32,4.81
顺气,32,4.81
化痰止咳,32,4.81
理气,31,4.66
宣肺,30,4.51
祛风,30,4.51
咽喉,29,4.36
平喘,29,4.36
气喘,29,4.36
健脾,28,4.21
风寒,26,3.91
鼻塞,26,3.91
散结,26,3.91
安神,26,3.91
开窍,25,3.76
润肺,25,3.76
镇惊,25,3.76
不利,23,3.46
气滞,23,3.46
支气管炎,23,3.46
行气,23,3.46
利咽,23,3.46
定喘,22,3.31
慢性,21,3.16
惊风,20,3.01
烦闷,20,3.01
中风,19,2.86
清火,19,2.86
燥湿,19,2.86
降气,18,2.71
软坚,17,2.56
疼痛,17,2.56
感冒,17,2.56
活血,17,2.56
四肢,16,2.41
肢体,16,2.41
消风,16,2.41
抽搐,16,2.41
肺气,15,2.26
不能,15,2.26
腹胀,14,2.11
甚则,14,2.11
痞闷,14,2.11
惊悸,14,2.11
益气,14,2.11
食积,13,1.95
妇人,13,1.95
手足,13,1.95
气促,13,1.95
痞满,13,1.95
烦热,13,1.95
不足,13,1.95
哮喘,13,1.95
痰喘,12,1.8
通络,12,1.8
皮肤,12,1.8
气急,12,1.8
解郁,12,1.8
精神,12,1.8
气血,12,1.8
大便,12,1.8
风痰,12,1.8
烦躁,12,1.8
外感,12,1.8
不思,12,1.8
熄风,12,1.8
降逆,12,1.8
颈项,12,1.8
拘急,12,1.8
解毒,12,1.8
声重,12,1.8
湿热,11,1.65
咽干,11,1.65
偏正,11,1.65
中脘,11,1.65
一切,11,1.65
温中,11,1.65
眩晕,11,1.65
内阻,11,1.65
肿痛,11,1.65
解表,11,1.65
头昏目眩,10,1.5
润燥,10,1.5
湿痰,10,1.5
瘙痒,10,1.5
寒热,10,1.5
胸脘,10,1.5
紧急,10,1.5
补气,10,1.5
神思,10,1.5
呕逆,10,1.5
宜肺,10,1.5
心忪,10,1.5
胸闷,10,1.5
肺热,10,1.5
舌苔,10,1.5
不得,10,1.5
两虚,10,1.5
胸中,9,1.35
目眩,9,1.35
不通,9,1.35
