红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,孩儿参,茯苓,生地
红花,刘寄奴,姜黄,路通,灵仙,桑枝
虎杖,茜草,全瓜蒌,生鳖甲,蚤休,郁金
地龙,荆芥,细辛,全蝎,防风,川芎
没药,乳香,紫荆皮,白芷,甘草
桃仁,人参,虫,石苇,半夏,鼠妇
自然铜,没药,乳香,土鳖
黑豆,三七,血琥珀,沉香,鸡血藤膏,骨碎补
桃仁,红花,栝楼,薤白,当归尾,柴胡
香油,三七,没药,血竭,樟脑,乳香
没药,乳香,天花粉,全蜈蚣,知母,山甲
丹参,杜仲,芎藭
桃仁,泽兰,红花,丹皮,白芍药,元胡索
红花,三七,血竭,乳香,苏木,朱砂
桃仁,虫,蛴螬,干地黄,虻虫,水蛭
地龙,自然铜,没药,肉桂,乳香,丹皮
丹参,泽兰,黑豆,玄胡,楂炭,焦艾
桃仁,丹参,没药,乳香,苏木,泽兰叶
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,三棱,莪术,皂角刺,穿山甲
玄胡,没药,丹皮,乳香,金银花,赤芍
桃仁,红花,玄胡,炮姜,小茴香,桂枝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,穿山甲,柴胡,大黄
全虫,虫,蜈蚣,川山甲
桃仁,红花,玄胡,五灵脂,丹皮,乌药
桃仁,红花,玄胡,灵脂,丹皮,乌药
丹参,郁金,川楝,乌药,柴胡,黄芩
桃仁,桂枝,牡丹,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,泽兰,红花,归尾,玄胡,牛膝
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,熟干地黄,干姜,芍药
没药,元胡,丹皮,乳香,连翘,大黄
红花,75,酒精
丹参,荆芥,姜川连,豆豉,石菖蒲,参三七
紫苏,肉桂,何首乌,乌药,香附,赤芍
红花,紫苏,黄连,乳香,苏木,三棱
归尾,伸筋草,松节,落得打,活,羌
香油,没药,乳香,麝香,冰片,黄丹
桃仁,红花,蝉衣,荆芥,当归尾,白蒺藜
桃仁,归尾,玄胡,半夏,防风,赤芍
蝙蝠,骨碎补,补骨脂,大黄,桂,当归
丹参,泽兰,金钱草,山药,黄芪,炮甲
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,酒归尾,赤芍,防风,木香
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,蟾酥,人参,珍珠,灵芝,麝香
没药,白术,肉桂,乳香,炮姜,黄芪
桃仁,红花,红花,黑豆,人参,玄胡
丹参,红花,虫,桂枝,虻虫,血通
桃仁,丹参,三棱,莪术,穿山甲,赤芍
桃仁,丹参,三棱,莪术,穿山甲,赤芍
丹参,三七,茜草,降香,赤芍
丹参,三七,益母草,香附,党参,川芎
