丹参,川芎,甘草,莲子心,当归,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,甘草,槟榔
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,地龙,黄连,大黄,黄芩
艾曲,椒目,干姜,桂,细辛,黑附子
油,葱,苎麻根,活鲤鱼,糯米,姜
香油,冰片面,白蜡,青黛面,用香油炸枯去滓滤净,生马钱子
大戟,没药,葶苈,乳香,甘遂,黑牵牛
白花败酱草,丛枝蓼,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,辣椒,鸡汤,活鲤鱼1尾,姜
大腹子,紫苏,人参,桑白皮,甘草,五味子
蟾酥,没药,血竭,乳香,枯矾,铜绿
蟾酥,没药,乳香,枯矾,铜绿,寒水石
花椒,铜绿,青盐,李仁,蕤仁,菊花
粳米,白糖,茶叶
冰片,没药,乳香,川军,花粉,赤芍
葶苈,紫苏,琥珀,郁李仁,杏仁,防己
续随子,甘遂,黑牵牛,全蝎,白牵牛,萝卜子
板蓝根,连翘,贝母,白花蛇舌草,射干,荆芥
白胶香,蓖麻子仁
橘核,酒炒破故纸,煨莪术,青盐,煨三棱,荔枝核
冰片,枯矾,龙衣,麝香5厘,胭脂,陈皮
西丹参,西月石,西瓜霜,飞青黛,濂珠,老式大泥冰
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠,枣仁
西月石,玄明粉,梅冰,炒僵蚕,飞辰砂
冰片,硼砂,明矾丹参,山豆根,青黛,皮硝
人中白,马勃,硼砂,人指甲,贝母,梅片5厘
大梅片,真熊胆,瓜制枪消,白玄明粉,明雄精,明硼砂
紫荆皮,赤豆,白芷,菖蒲,独活
川紫荆皮,木蜡,白芷,独活,芍药
冰片粉,苍耳子,液状石腊,辛夷,白芷,薄荷
蒲公英,自然铜,三七,赤芍,土鳖虫,黄柏
没药,乳香,自然铜,五倍子,赤芍,无名异
乳香,甘草,北细辛,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,朱砂,雄黄
蓖麻子
