红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,茯苓,生地,赤芍
红花,刘寄奴,芥子,姜黄,胆星,路通
虎杖,茜草,全瓜蒌,蚤休,生鳖甲,香附
地龙,荆芥,川芎,细辛,全蝎,防风
没药,乳香,紫荆皮,甘草,白芷
桃仁,虫,石苇,人参,瞿麦,桂枝
自然铜,没药,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补,川续断
桃仁,红花,栝楼,薤白,川芎,当归尾
香油,三七,没药,血竭,乳香,樟脑
没药,乳香,天花粉,全蜈蚣,山甲,皂刺
丹参,芎藭,杜仲
桃仁,红花,泽兰,丹皮,白芍药,香附
红花,三七,血竭,乳香,苏木,琥珀
桃仁,虫,干地黄,杏仁,蛴螬,芍药
地龙,自然铜,没药,丹皮,乳香,肉桂
丹参,泽兰,黑豆,玄胡,香附,楂炭
桃仁,丹参,没药,乳香,苏木,荆芥
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,三棱,莪术,穿山甲,皂角刺
玄胡,没药,丹皮,乳香,金银花,赤芍
桃仁,红花,玄胡,香附,川楝,桂枝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,瓜蒌根,大黄,甘草
虫,全虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,丹皮,香附
桃仁,红花,灵脂,玄胡,丹皮,香附
丹参,川楝,郁金,乌药,黄芩,百合
桃仁,桂枝,茯苓,芍药,牡丹
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,泽兰,归尾,玄胡,牛膝
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,熟干地黄,甘草
没药,元胡,丹皮,乳香,大黄,连翘
红花,75,酒精
丹参,丁香,琥珀,石菖蒲,荆芥,参三七
紫苏,何首乌,肉桂,香附,乌药,赤芍
红花,紫苏,黄连,三棱,苏木,乳香
