红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,孩儿参,生地,赤芍
红花,刘寄奴,姜黄,灵仙,路通,芥子
虎杖,茜草,全瓜蒌,生鳖甲,蚤休,郁金
地龙,荆芥,全蝎,川芎,防风,细辛
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,人参,蜂窠,乌扇
自然铜,没药,乳香,土鳖
黑豆,三七,血琥珀,鸡血藤膏,骨碎补,川续断
桃仁,红花,栝楼,薤白,当归尾,柴胡
香油,三七,没药,血竭,乳香,樟脑
没药,乳香,皂刺,天花粉,全蜈蚣,山甲
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,元胡索,白芍药
红花,三七,血竭,乳香,生地,苏木
桃仁,虫,水蛭,虻虫,蛴螬,干地黄
地龙,自然铜,没药,乳香,丹皮,肉桂
丹参,泽兰,黑豆,玄胡,楂炭,焦艾
桃仁,丹参,没药,乳香,苏木,泽兰叶
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,三棱,赤芍,皂角刺,莪术
玄胡,没药,乳香,丹皮,金银花,赤芍
桃仁,红花,玄胡,川楝,小茴香,赤芍
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,穿山甲,柴胡,当归
全虫,虫,川山甲,蜈蚣
桃仁,红花,五灵脂,玄胡,丹皮,赤芍
桃仁,红花,玄胡,灵脂,丹皮,赤芍
丹参,郁金,乌药,川楝,柴胡,百合
桃仁,牡丹,桂枝,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,泽兰,归尾,玄胡,牛膝
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,熟干地黄,当归
没药,元胡,乳香,丹皮,银花,连翘
红花,75,酒精
丹参,豆豉,参三七,龙齿,姜川连,琥珀
紫苏,何首乌,肉桂,赤芍,乌药,香附
红花,紫苏,黄连,乳香,苏木,三棱
归尾,松节,姜黄,伸筋草,落得打,路路通
香油,没药,乳香,轻粉,麝香,头发
桃仁,红花,蝉衣,当归尾,赤芍,白蒺藜
桃仁,归尾,玄胡,半夏,赤芍,防风
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
丹参,泽兰,金钱草,茯苓皮,炮甲,泽泻
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,酒归尾,赤芍,防风,木香
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,蟾酥,附子,人参,珍珠,麝香
没药,白术,附子,乳香,肉桂,炮姜
桃仁,红花,红花,黑豆,五灵脂,玄胡
丹参,红花,虫,血通,灵仙,水蛭
