红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,茯苓,赤芍,孩儿参
红花,刘寄奴,姜黄,路通,桑枝,灵仙
虎杖,茜草,生鳖甲,蚤休,全瓜蒌,茯苓
地龙,荆芥,全蝎,川芎,细辛,防风
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,人参,鼠妇,赤消
自然铜,没药,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补,麒麟竭
桃仁,红花,栝楼,薤白,当归尾,柴胡
香油,三七,没药,血竭,乳香,樟脑
没药,乳香,知母,天花粉,皂刺,全蜈蚣
丹参,杜仲,芎藭
桃仁,泽兰,红花,白芍药,丹皮,元胡索
红花,三七,血竭,乳香,苏木,赤芍
桃仁,虫,干地黄,杏仁,干漆,蛴螬
地龙,自然铜,没药,乳香,肉桂,丹皮
泽兰,丹参,黑豆,玄胡,楂炭,焦艾
桃仁,丹参,没药,乳香,苏木,细辛
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,赤芍,三棱,夏枯草,莪术
玄胡,没药,乳香,丹皮,金银花,赤芍
桃仁,红花,玄胡,川楝,炮姜,桂枝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,柴胡,穿山甲,大黄
虫,全虫,川山甲,蜈蚣
桃仁,红花,五灵脂,玄胡,丹皮,赤芍
桃仁,灵脂,红花,玄胡,丹皮,赤芍
丹参,川楝,郁金,柴胡,乌药,百合
桃仁,牡丹,茯苓,桂枝,芍药
桃仁,丹皮,茯苓,桂枝,芍药
桃仁,泽兰,红花,归尾,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,芍药,熟干地黄,干姜
没药,元胡,乳香,丹皮,连翘,大黄
红花,75,酒精
丹参,丁香,荆芥,辰砂,姜川连,参三七
紫苏,肉桂,何首乌,乌药,赤芍,香附
红花,紫苏,黄连,乳香,苏木,三棱
归尾,伸筋草,松节,路路通,海桐皮,活
香油,没药,乳香,麝香,头发,冰片
桃仁,红花,白蒺藜,荆芥,赤芍,蝉衣
桃仁,归尾,玄胡,赤芍,防风,半夏
蝙蝠,补骨脂,骨碎补,大黄,当归,桂
泽兰,丹参,金钱草,泽泻,山药,茯苓皮
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,酒归尾,防风,木香
刘寄奴,血竭,酒生地,苏木,赤芍,当归
红花,蟾酥,附子,人参,珍珠,麝香
没药,白术,附子,乳香,肉桂,炮姜
桃仁,红花,红花,黑豆,五灵脂,玄胡
丹参,红花,虫,桂枝,细辛,秦艽
桃仁,丹参,赤芍,三棱,莪术,穿山甲
桃仁,丹参,赤芍,三棱,莪术,穿山甲
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,香附,川芎,党参
桃仁,红花,五灵脂,没药,姜黄,人参
香油,茜草,伸筋草,刘寄奴,松节,透骨草
鸡血藤,乳香,双花,元参,土茯苓,甘草
桃仁,玄胡,丹皮,生石膏,银藤,赤芍
泽兰,丹参,鸡血藤,玄胡,没药,血竭
蒲公英,败酱草,赤小豆,川军,犀黄丸,土贝母
香油,章丹
丹参,红花,降香,赤芍,川芎
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,没药,熟军,血竭,乳香,土鳖虫
桃仁,红花,白术,附子,干姜,党参
红花,茯苓,泽泻,乌药,穿山甲,牛膝
桃仁,益母草,炮姜,芥穗,炙草,川芎
没药,乳香,荔核,橘核,瓜蒌,当归
桃仁,归尾,红花,炮山甲,板蓝根,白术
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,蒲黄,丹皮,生地黄,栀子,芍药
丹参,茜草,土贝母,元参,白术,赤芍
秦皮,酒黄芩,丹皮,赤芍,木通,生地
茅根,茜草,鸡血藤,仙鹤草,旱莲草,丹皮
红花,黄耆,茯苓,赤芍,白术1,地锦草
丹参,红花,鸡血藤,丹皮,女贞子,枸杞
