丹参,川芎,甘草,莲子心,当归,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,桔梗,栀子,甘草,黄连
白酒,羌活,鲜仙人掌,杏仁
乳香,黄柏,地龙,黄连,黄芩,大黄
艾曲,椒目,细辛,干姜,黑附子,桂
油,葱,苎麻根,活鲤鱼,糯米,姜
香油,冰片面,白蜡,黄柏,将白蜡兑入溶化,煅蛤粉
没药,葶苈,大戟,甘遂,乳香,黑牵牛
辅料,丛枝蓼,白花败酱草
青粱米,车前子
粳米,车前子
葱,赤小豆,活鲤鱼1尾,辣椒,鸡汤,姜
大腹子,紫苏,人参,桑白皮,五味子,甘草
没药,蟾酥,血竭,硼砂,枯矾,铜绿
没药,蟾酥,枯矾,铜绿,乳香,胆矾
花椒,铜绿,青盐,李仁,蕤仁,黄连
粳米,白糖,茶叶
冰片,没药,川军,赤芍,乳香,花粉
葶苈,紫苏,琥珀,郁李仁,陈皮,防己
续随子,甘遂,黑牵牛,白牵牛,全蝎,萝卜子
板蓝根,连翘,射干,贝母,荆芥,柴胡
白胶香,蓖麻子仁
橘核,青盐,煨三棱,煨莪术,酒炒破故纸,荔枝核
冰片,枯矾,龙衣,胭脂,麝香5厘,陈皮
西瓜霜,西丹参,西月石,老式大泥冰,濂珠,飞青黛
大梅片,真熊胆,瓜制枪消,珍珠,关犀黄,枣仁
西月石,梅冰,玄明粉,飞辰砂,炒僵蚕
冰片,硼砂,明矾丹参,山豆根,青黛,皮硝
硼砂,青鱼胆,马勃,人指甲,人中白,珍珠
大梅片,真熊胆,瓜制枪消,白玄明粉,珍珠,明硼砂
紫荆皮,赤豆,白芷,独活,菖蒲
川紫荆皮,木蜡,白芷,独活,芍药
白芷,苍耳子,液状石腊,冰片粉,辛夷,薄荷
蒲公英,赤芍,三七,透骨草,黄柏,土鳖虫
没药,五倍子,赤芍,乳香,川芎,自然铜
乳香,甘草,北细辛,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,白矾,雄黄
蓖麻子
油,油,黄丹,白蜡,商陆根,柳白皮
