丹参,川芎,甘草,当归,莲子心,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,桔梗,甘草,黄连,栀子
白酒,杏仁,鲜仙人掌,羌活
乳香,黄柏,黄连,地龙,黄芩,大黄
艾曲,椒目,干姜,黑附子,细辛,桂
油,葱,苎麻根,活鲤鱼,糯米,姜
香油,冰片面,白蜡,以上8味药料,轻粉面,待温浓时再兑
大戟,葶苈,没药,乳香,甘遂,黑牵牛
白花败酱草,丛枝蓼,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,活鲤鱼1尾,辣椒,鸡汤,陈皮
大腹子,紫苏,人参,桑白皮,茯苓,五味子
没药,血竭,蟾酥,枯矾,乳香,硼砂
没药,蟾酥,乳香,枯矾,铜绿,蜗牛
花椒,铜绿,青盐,蕤仁,李仁,黄连
粳米,白糖,茶叶
冰片,没药,赤芍,乳香,川军,花粉
葶苈,紫苏,泽泻,琥珀,防己,郁李仁
甘遂,续随子,全蝎,黑牵牛,白牵牛,沉香
板蓝根,连翘,贝母,射干,柴胡,白花蛇舌草
白胶香,蓖麻子仁
橘核,青盐,荔枝核,酒炒破故纸,煨莪术,煨三棱
冰片,枯矾,龙衣,麝香5厘,胭脂,陈皮
西丹参,西瓜霜,西月石,飞青黛,老式大泥冰,濂珠
真熊胆,大梅片,瓜制枪消,珍珠,关犀黄,枣仁
西月石,玄明粉,炒僵蚕,梅冰,飞辰砂
冰片,山豆根,硼砂,明矾丹参,青黛,皮硝
硼砂,青鱼胆,贝母,人指甲,马勃,人中白
真熊胆,大梅片,瓜制枪消,珍珠,白玄明粉,直僵蚕
紫荆皮,白芷,赤豆,菖蒲,独活
川紫荆皮,木蜡,白芷,芍药,独活
白芷,辛夷,冰片粉,麻油,液状石腊,薄荷
蒲公英,三七,土鳖虫,赤芍,自然铜,透骨草
没药,五倍子,乳香,赤芍,自然铜,无名异
乳香,甘草,苍术,北细辛
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,雄黄,朱砂
蓖麻子
