丹参,川芎,当归,菊花,甘草,连翘
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,槟榔,木香,桔梗,甘草
白酒,羌活,鲜仙人掌,杏仁
乳香,黄柏,黄连,地龙,大黄,黄芩
艾曲,椒目,干姜,桂,黑附子,细辛
油,葱,活鲤鱼,苎麻根,姜,糯米
香油,白蜡,冰片面,黄柏,以上8味药料,将白蜡兑入溶化
葶苈,没药,乳香,大戟,陈皮,黑牵牛
丛枝蓼,辅料,白花败酱草
车前子,青粱米
粳米,车前子
赤小豆,葱,陈皮,辣椒,活鲤鱼1尾,鸡汤
大腹子,人参,紫苏,桑白皮,五味子,茯苓
蟾酥,没药,血竭,乳香,硼砂,朱砂
没药,蟾酥,乳香,胆矾,蜗牛,寒水石
花椒,铜绿,黄连,青盐,当归,防风
粳米,白糖,茶叶
冰片,赤芍,没药,川军,乳香,花粉
葶苈,茯苓,紫苏,陈皮,琥珀,郁李仁
续随子,甘遂,黑牵牛,陈皮,全蝎,槟榔
板蓝根,连翘,贝母,白花蛇舌草,射干,柴胡
白胶香,蓖麻子仁
橘核,青盐,荔枝核,煨莪术,茴香,酒炒破故纸
冰片,陈皮,胭脂,麝香5厘,龙衣,枯矾
西瓜霜,西月石,西丹参,濂珠,飞青黛,老式大泥冰
大梅片,真熊胆,珍珠,瓜制枪消,枣仁,关犀黄
西月石,炒僵蚕,玄明粉,飞辰砂,梅冰
冰片,硼砂,山豆根,青黛,明矾丹参,皮硝
硼砂,贝母,马勃,珍珠,青鱼胆,梅片5厘
大梅片,真熊胆,珍珠,瓜制枪消,直僵蚕,明雄精
紫荆皮,赤豆,白芷,菖蒲,独活
川紫荆皮,木蜡,白芷,独活,芍药
苍耳子,白芷,液状石腊,冰片粉,麻油,薄荷
蒲公英,赤芍,三七,自然铜,黄柏,透骨草
没药,五倍子,乳香,自然铜,赤芍,川芎
乳香,甘草,北细辛,苍术
鲜败酱草
蓖麻子
黑丑,香附,五灵脂
鲫鱼,巴豆
食盐,朱砂,硼砂,火消,雄黄,皂矾
蓖麻子
油,油,商陆根,胡粉,白蜡,黄丹
