红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,孩儿参,茯苓
红花,刘寄奴,姜黄,灵仙,路通,桑枝
虎杖,茜草,生鳖甲,蚤休,全瓜蒌,赤芍
地龙,荆芥,全蝎,防风,细辛,川芎
没药,乳香,紫荆皮,甘草,白芷
桃仁,虫,石苇,人参,赤消,葶苈
自然铜,没药,乳香,土鳖
黑豆,三七,血琥珀,鸡血藤膏,骨碎补,川续断
桃仁,红花,薤白,柴胡,栝楼,当归尾
香油,三七,没药,血竭,乳香,樟脑
没药,全蜈蚣,山甲,皂刺,乳香,天花粉
丹参,杜仲,芎藭
桃仁,泽兰,红花,丹皮,白芍药,元胡索
红花,三七,血竭,苏木,乳香,赤芍
桃仁,虫,干地黄,蛴螬,干漆,杏仁
地龙,自然铜,没药,丹皮,乳香,肉桂
泽兰,丹参,黑豆,玄胡,赤芍,楂炭
桃仁,丹参,没药,苏木,乳香,荆芥
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,三棱,夏枯草,赤芍,莪术
玄胡,没药,丹皮,乳香,赤芍,金银花
桃仁,红花,玄胡,赤芍,川楝,桂枝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,柴胡,大黄,穿山甲
虫,全虫,蜈蚣,川山甲
桃仁,红花,玄胡,五灵脂,丹皮,赤芍
桃仁,红花,灵脂,玄胡,丹皮,赤芍
丹参,郁金,川楝,乌药,柴胡,黄芩
桃仁,茯苓,牡丹,桂枝,芍药
桃仁,丹皮,茯苓,桂枝,芍药
桃仁,泽兰,归尾,红花,玄胡,牛膝
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,熟干地黄,芍药,当归
没药,元胡,乳香,丹皮,连翘,甘草
红花,75,酒精
丹参,丁香,辰砂,参三七,姜川连,龙齿
紫苏,何首乌,赤芍,肉桂,乌药,香附
红花,紫苏,黄连,苏木,乳香,三棱
归尾,伸筋草,松节,海桐皮,落得打,姜黄
香油,没药,麝香,乳香,冰片,头发
桃仁,红花,赤芍,蝉衣,荆芥,白蒺藜
桃仁,归尾,玄胡,赤芍,半夏,黄芩
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
泽兰,丹参,金钱草,黄芪,茯苓皮,泽泻
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,酒归尾,防风,木香
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,蟾酥,珍珠,麝香,人参,附子
没药,白术,乳香,黄芪,肉桂,附子
桃仁,红花,红花,黑豆,玄胡,五灵脂
丹参,红花,虫,桂枝,秦艽,水蛭
桃仁,丹参,三棱,赤芍,莪术,大黄
桃仁,丹参,三棱,赤芍,莪术,大黄
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,香附,党参,川芎
桃仁,红花,五灵脂,没药,姜黄,麝香
香油,茜草,刘寄奴,伸筋草,松节,紫草根
鸡血藤,双花,元参,乳香,土茯苓,甘草
桃仁,玄胡,丹皮,生石膏,银藤,赤芍
泽兰,丹参,鸡血藤,玄胡,元参,没药
蒲公英,冬瓜子,败酱草,犀黄丸,赤小豆,川军
香油,章丹
丹参,红花,赤芍,降香,川芎
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,没药,熟军,土鳖虫,血竭,乳香
桃仁,红花,白术,附子,党参,干姜
红花,乌药,泽泻,茯苓,穿山甲,牛膝
桃仁,益母草,芥穗,炮姜,炙草,川芎
没药,乳香,橘核,瓜蒌,荔核,甘草
桃仁,归尾,红花,炮山甲,白术,板蓝根
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,蒲黄,丹皮,生地黄,栀子,芍药
丹参,茜草,元参,白术,土贝母,赤芍
秦皮,酒黄芩,丹皮,生地,赤芍,木通
茅根,茜草,鸡血藤,仙鹤草,旱莲草,三七粉
红花,黄耆,赤芍,茯苓,白术1,地锦草
丹参,红花,鸡血藤,丹皮,黄精,桑椹
桃仁,丹参,红花,赤芍,田七,生地
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,冬葵
泽兰,山栀,川楝,郁金,枳实,柴胡
丹参,五味子,沙参,赤芍,制半夏,茯苓
没药,赤芍,凌霄花,当归,木香,桂心
红花,五灵脂,赤芍,生地,黄芩,赤茯苓
炉甘石,珍珠,麝香,冰片,硼砂,牛黄
丹参,茯苓,牡丹,败酱,麦门冬,薏苡仁
归尾,草决,黄连,生地,蒺藜,薄荷
玄胡,肉桂,槟榔,三棱,茯苓,莪术
丹参,茜草,王不留行,茯苓,薏米仁,黄柏
地龙,玄胡,没药,赤小豆,血竭,麝香
归尾,红花,刘寄奴,酒生地,益母草,赤芍
桃仁,泽兰,新绛,瓦楞子,郁金,赤芍
桃仁,泽兰,丹参,红花,蒲公英,败酱草
地龙,仙灵脾,盐知母,盐黄柏,肉桂,黄芪
丹参,白花蛇舌草,牡蛎,三棱,郁金,黄芪
地龙,丹参,王不留行,川楝,橘叶,皂角刺
丹参,海藻,牡蛎,昆布,三棱,夏枯草
红花,三七,麝香,樟脑,薄荷脑,龙血竭
桃仁,地龙,红花,灵脂,没药,秦艽
红花,蒲黄,黄芪,三棱,党参,川芎
桃仁,人参,生地,大黄,黄芩,鳖甲
玄胡,乳香,枳实,广郁金,柴胡,白芍
桃仁,泽兰,红花,酒丹参,当归尾,香附
桃仁,黑姜,炙草,川芎,当归
红花,干葛,苏叶,半夏,防风,香附
没药,元胡,灵脂,香附
玄胡,五灵脂,没药,蒲黄,赤芍,小茴香
五灵脂,蒲黄
茅根,半枝莲,金钱草,石苇,海金砂,三棱
桃仁,黄连,吴萸,半夏,陈皮
生甘草,干葛,山楂,僵蚕,升麻,蝉蜕
玄胡,蓬术,北芍药,丹皮,川芎,当归
熟军,灵脂,元胡,藏红花,三棱,生地
桃仁,元胡,红花,制南星,黄柏,威灵仙
红花,山楂,乌药,泽泻,当归尾,青皮
桃仁,归尾,丹参,红花,乳香,蕺莱
桃仁,干漆,芍药,芎藭,当归,甘草
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,白术,陈橘皮,三棱,赤芍,鳖甲
桃仁,红花,丹皮,山栀,楂肉,郁金
莪茂,人参,丹皮,芍药,牛膝,川芎
