红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,孩儿参,茯苓,生地
红花,刘寄奴,姜黄,灵仙,路通,桑枝
虎杖,茜草,全瓜蒌,生鳖甲,蚤休,郁金
地龙,荆芥,全蝎,防风,川芎,细辛
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,人参,石苇,葶苈,柴胡
自然铜,没药,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补,川续断
桃仁,红花,栝楼,薤白,柴胡,当归尾
香油,三七,没药,血竭,乳香,樟脑
没药,乳香,全蜈蚣,山甲,皂刺,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,元胡索,白芍药
红花,三七,血竭,乳香,苏木,赤芍
桃仁,虫,蛴螬,水蛭,虻虫,干地黄
地龙,自然铜,没药,丹皮,乳香,肉桂
丹参,泽兰,黑豆,玄胡,焦艾,赤芍
桃仁,丹参,没药,乳香,苏木,泽兰叶
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,赤芍,三棱,莪术,皂角刺
玄胡,没药,丹皮,乳香,金银花,赤芍
桃仁,红花,玄胡,炮姜,柴胡,小茴香
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,柴胡,瓜蒌根,穿山甲,大黄
全虫,虫,蜈蚣,川山甲
桃仁,红花,玄胡,五灵脂,丹皮,乌药
桃仁,红花,玄胡,灵脂,丹皮,乌药
丹参,乌药,柴胡,郁金,川楝,百合
桃仁,茯苓,桂枝,牡丹,芍药
桃仁,丹皮,茯苓,桂枝,芍药
桃仁,红花,泽兰,归尾,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,芍药,熟干地黄,干姜
没药,元胡,丹皮,乳香,大黄,银花
红花,75,酒精
丹参,参三七,龙齿,豆豉,姜川连,琥珀
紫苏,肉桂,乌药,赤芍,香附,何首乌
红花,紫苏,黄连,乳香,柴胡,苏木
归尾,松节,伸筋草,路路通,姜黄,活
香油,没药,乳香,麝香,冰片,蜂蜡
桃仁,红花,蝉衣,当归尾,赤芍,白蒺藜
桃仁,归尾,玄胡,半夏,赤芍,川芎
蝙蝠,骨碎补,补骨脂,大黄,桂,当归
丹参,泽兰,金钱草,泽泻,山药,黄芪
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,酒归尾,木香,防风
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,蟾酥,人参,珍珠,冰片等,灵芝
没药,白术,肉桂,乳香,炮姜,熟地
桃仁,红花,红花,黑豆,玄胡,五灵脂
红花,丹参,虫,水蛭,虻虫,血通
桃仁,丹参,赤芍,三棱,莪术,穿山甲
桃仁,丹参,赤芍,三棱,莪术,穿山甲
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,香附,党参,川芎
桃仁,红花,五灵脂,没药,姜黄,人参
松节,茜草,香油,刘寄奴,伸筋草,透骨草
鸡血藤,元参,双花,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,生石膏,银藤,水蛭
丹参,泽兰,鸡血藤,玄胡,元参,没药
蒲公英,犀黄丸,冬瓜子,土贝母,赤小豆,川军
香油,章丹
红花,丹参,赤芍,降香,川芎
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,黑豆,玄胡,苏木,益母草
自然铜,没药,血竭,熟军,乳香,土鳖虫
桃仁,红花,白术,附子,党参,干姜
红花,乌药,泽泻,茯苓,牛膝,穿山甲
桃仁,炮姜,益母草,芥穗,川芎,炙草
没药,乳香,荔核,瓜蒌,橘核,当归
桃仁,红花,归尾,炮山甲,白术,板蓝根
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,丹皮,蒲黄,栀子,生地黄,川芎
丹参,茜草,土贝母,元参,白术,赤芍
酒黄芩,秦皮,丹皮,木通,赤芍,生地
茅根,鸡血藤,茜草,仙鹤草,丹皮,旱莲草
红花,黄耆,茯苓,赤芍,白术1,人参1
红花,丹参,鸡血藤,丹皮,熟地,黄精
桃仁,红花,丹参,田七,生地,赤芍
自然铜,没药,乳香,土鳖虫,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,柴胡
泽兰,山栀,柴胡,香附,郁金,川楝
丹参,五味子,茯苓,麦冬,赤芍,枳实
没药,赤芍,凌霄花,木香,当归,桂心
红花,五灵脂,赤芍,生地,赤茯苓,川芎
炉甘石,珍珠,冰片,麝香,硼砂,牛黄
丹参,茯苓,败酱,牡丹,生地黄,薏苡仁
归尾,草决,黄连,蒺藜,栀子,生地
玄胡,肉桂,槟榔,三棱,茯苓,莪术
丹参,茜草,王不留行,茯苓,清风藤,地鳖
地龙,玄胡,赤小豆,没药,血竭,乳香
红花,归尾,刘寄奴,酒生地,益母草,赤芍
桃仁,泽兰,瓦楞子,新绛,郁金,参三七
桃仁,红花,泽兰,丹参,蒲公英,没药
地龙,仙灵脾,盐知母,盐黄柏,泽泻,肉桂
丹参,白花蛇舌草,牡蛎,柴胡,郁金,黄芪
地龙,丹参,王不留行,川楝,橘叶,皂角刺
丹参,海藻,牡蛎,昆布,柴胡,橘叶
红花,三七,地黄,樟脑,龙血竭,薄荷脑
桃仁,地龙,红花,灵脂,没药,香附
红花,蒲黄,黄芪,三棱,党参,川芎
桃仁,人参,生地,大黄,鳖甲,当归
玄胡,广郁金,乳香,柴胡,枳实,香附
桃仁,红花,泽兰,酒丹参,当归尾,香附
桃仁,黑姜,川芎,炙草,当归
红花,干葛,苏叶,香附,半夏,细辛
没药,元胡,灵脂,香附
玄胡,五灵脂,没药,蒲黄,赤芍,小茴香
五灵脂,蒲黄
茅根,半枝莲,金钱草,石苇,海金砂,木通
桃仁,黄连,吴萸,半夏,陈皮
生甘草,干葛,山楂,僵蚕,升麻,蝉蜕
玄胡,蓬术,北芍药,丹皮,川芎,当归
藏红花,元胡,丹皮,熟军,灵脂,熟地
桃仁,红花,元胡,制南星,威灵仙,桂枝
红花,山楂,乌药,泽泻,当归尾,香附
桃仁,红花,丹参,归尾,乳香,蕺莱
桃仁,芍药,干漆,芎藭,当归,桂心
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,白术,陈橘皮,赤芍,三棱,诃黎勒皮
桃仁,红花,丹皮,山栀,泽兰叶,郁金
莪茂,丹皮,人参,芍药,牛膝,川芎
红花,自然铜,没药,血竭,乳香,苏木
没药,丹皮,肉桂,乳香,骨碎补,生地
地龙,丹参,鸡血藤,蜈蚣,忍冬藤,乌梢蛇
桃仁,红花,路路通,丝瓜络,柴胡,生地
丹参,没药,血竭,乳香,柴胡,公英
桃仁,红花,柴胡,生地,赤芍,牛膝
玄胡,苦楝,地黄,川芎,芍药,当归
玄胡,当归
桃仁,青龙齿,木通,制香附,柴胡,枸杞子
干蟾,使君子,九肋鳖甲,麦蘖,海藻,黄连
没药,蒲公英,乳香,栀子,木瓜,地鳖虫
红花,蓬术,透骨草,川山甲,萝卜子,独头蒜
麻仁,炮山甲,牡蛎,五倍子,乌梅,苦参
丹参,三七,山楂,郁金,槐花,桂枝
茅根,过路黄,凤尾草,山楂
桃仁,自然铜,丹参,玄胡,没药,乳香
泽兰,佛手,白术,山楂,茵陈,牡蛎
虎杖,仙灵脾,仙鹤草,半枝莲,鹿衔草,土茯苓
桃仁,没药,金钱草,乳香,赤芍,薏苡仁
桃仁,红花,木蝴蝶,杷叶,熟地,麦冬
虎杖,泽兰,蒲公英,酒大黄,板蓝根,土茯苓
虎杖,土鳖虫,草乌薄荷脑,横经席,买麻藤,过江龙
桃仁,地龙,红花,鸡血藤,丹参,伸筋草
苦楝皮,槐皮,雄黄
