红花,三七,葛根,山楂,川芎
红花,三七,葛根,山楂,川芎
桃仁,红花,丹参,川芎,当归,孩儿参
红花,刘寄奴,姜黄,川芎,当归,桑枝
虎杖,茜草,当归,全瓜蒌,生鳖甲,郁金
地龙,川芎,荆芥,细辛,全蝎,防风
没药,乳香,紫荆皮,白芷,甘草
桃仁,蜣螂,蜂窠,赤消,紫葳,人参
自然铜,没药,乳香,土鳖
黑豆,三七,当归,鸡血藤膏,血琥珀,骨碎补
桃仁,红花,川芎,当归尾,栝楼,牛膝
三七,香油,没药,血竭,乳香,樟脑
没药,乳香,天花粉,山甲,知母,全蜈蚣
丹参,芎藭,杜仲
桃仁,泽兰,红花,白芍药,川芎,当归
红花,三七,血竭,乳香,川芎,当归
桃仁,虫,干地黄,杏仁,干漆,蛴螬
地龙,自然铜,没药,乳香,丹皮,肉桂
丹参,泽兰,黑豆,玄胡,赤芍,楂炭
桃仁,丹参,没药,蔓荆子,川芎,当归
红花,鸡血藤,黄耆,当归,胆草,炼蜜
桃仁,红花,川芎,夏枯草,赤芍,穿山甲
玄胡,没药,丹皮,乳香,赤芍,金银花
桃仁,红花,玄胡,小茴香,当归,赤芍
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,当归,瓜蒌根,穿山甲,柴胡
虫,全虫,蜈蚣,川山甲
桃仁,红花,玄胡,五灵脂,川芎,丹皮
桃仁,红花,灵脂,玄胡,川芎,丹皮
丹参,郁金,乌药,黄芩,川楝,柴胡
桃仁,牡丹,芍药,桂枝,茯苓
桃仁,丹皮,芍药,桂枝,茯苓
桃仁,红花,泽兰,归尾,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,熟干地黄,干姜,当归,肉桂,蒲黄
没药,元胡,丹皮,乳香,连翘,紫花地丁
红花,75,酒精
丹参,荆芥,藿香,丁香,龙齿,辰砂
紫苏,川芎,当归,肉桂,何首乌,赤芍
红花,紫苏,黄连,乳香,赤芍,苏木
归尾,伸筋草,松节,路路通,海桐皮,羌
香油,没药,乳香,头发,轻粉,麝香
桃仁,红花,白蒺藜,蝉衣,荆芥,赤芍
桃仁,归尾,玄胡,川芎,半夏,赤芍
蝙蝠,当归,骨碎补,桂,补骨脂,大黄
丹参,泽兰,泽泻,金钱草,茯苓皮,炮甲
丹参,没药,当归,乳香
丹参,没药,当归,乳香
桃仁,三棱,莪术
红花,丹皮,赤芍,酒归尾,防风,木香
刘寄奴,血竭,川芎,当归,酒生地,苏木
红花,蟾酥,人参,附子,珍珠,麝香
没药,白术,附子,乳香,熟地,肉桂
桃仁,红花,红花,人参,黑豆,玄胡
红花,丹参,虫,细辛,秦艽,虻虫
桃仁,丹参,川芎,当归,鳖甲,穿山甲
桃仁,丹参,川芎,当归,鳖甲,穿山甲
丹参,茜草,三七,降香,赤芍
丹参,三七,川芎,当归,益母草,香附
桃仁,红花,人参,吴茱萸,五灵脂,没药
茜草,香油,松节,木通,刘寄奴,伸筋草
鸡血藤,元参,乳香,双花,土茯苓,甘草
桃仁,玄胡,丹皮,赤芍,生石膏,虻虫
丹参,泽兰,鸡血藤,玄胡,没药,元参
蒲公英,土贝母,败酱草,川军,冬瓜子,犀黄丸
香油,章丹
红花,丹参,川芎,赤芍,降香
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,黑豆,玄胡,苍术,川芎
自然铜,没药,熟军,血竭,当归,乳香
桃仁,红花,附子,白术,干姜,党参
红花,泽泻,川芎,穿山甲,乌药,当归
桃仁,川芎,当归,益母草,炙草,芥穗
没药,乳香,当归,橘核,荔核,瓜蒌
桃仁,红花,归尾,炮山甲,白术,川芎
桃仁,红花,白芍药,川芎,当归,熟地黄
茅根,川芎,当归,丹皮,芍药,蒲黄
丹参,茜草,土贝母,元参,白术,当归
秦皮,酒黄芩,木通,丹皮,赤芍,栀子
茅根,茜草,鸡血藤,当归,丹皮,仙鹤草
红花,黄耆,川芎,赤芍,当归,茯苓
红花,丹参,鸡血藤,丹皮,熟地,桑椹
桃仁,红花,丹参,川芎,当归,田七
自然铜,没药,乳香,土鳖虫,麻黄,马前子
醋,半夏
桃仁,红花,海藻,昆布,海金砂,冬葵
泽兰,郁金,枳实,山栀,川楝,香附
丹参,五味子,制半夏,川芎,枳实,赤芍
没药,赤芍,当归,凌霄花,桂心,木香
红花,五灵脂,赤茯苓,生姜,川芎,赤芍
炉甘石,珍珠,硼砂,麝香,牛黄,冰片
丹参,生姜,麦门冬,牡丹,败酱,茯苓
归尾,草决,薄荷,蔓荆子,菊花,黄连
玄胡,槟榔,苍术,干姜,丁皮,缩砂
丹参,茜草,地鳖,薏米仁,王不留行,清风藤
地龙,没药,玄胡,血竭,赤小豆,乳香
红花,归尾,刘寄奴,酒生地,益母草,川芎
桃仁,泽兰,当归,郁金,赤芍,新绛
桃仁,红花,泽兰,丹参,蒲公英,没药
地龙,仙灵脾,木通,当归,盐知母,盐黄柏
丹参,牡蛎,白花蛇舌草,夏枯草,郁金,三棱
地龙,丹参,橘叶,王不留行,皂角刺,川楝
丹参,海藻,牡蛎,夏枯草,昆布,橘核
红花,三七,樟脑,麝香,薄荷脑,龙血竭
桃仁,红花,地龙,灵脂,没药,川芎
红花,川芎,蒲黄,三棱,当归,黄芪
桃仁,人参,当归,鳖甲,黄芩,生地
玄胡,乳香,枳实,白芍,广郁金,香附
桃仁,红花,泽兰,当归尾,酒丹参,牛膝
桃仁,川芎,当归,炙草,黑姜
红花,干葛,细辛,川芎,苏叶,升麻
没药,元胡,灵脂,香附
玄胡,五灵脂,没药,小茴香,干姜,川芎
五灵脂,蒲黄
茅根,木通,半枝莲,石苇,郁金,金钱草
桃仁,黄连,半夏,吴萸,陈皮
生甘草,干葛,山楂,当归,升麻,蝉蜕
玄胡,川芎,蓬术,当归,丹皮,北芍药
藏红花,元胡,灵脂,熟军,当归,三棱
桃仁,红花,元胡,龙胆草,苍术,川芎
红花,山楂,泽泻,当归尾,乌药,香附
桃仁,红花,归尾,丹参,乳香,蕺莱
桃仁,当归,芎藭,干漆,芍药,桂心
桃仁,消石,蒲黄,大枣,大黄,甘草
桃仁,白术,陈橘皮,当归,鳖甲,诃黎勒皮
桃仁,红花,丹皮,当归,郁金,赤曲
莪茂,人参,丹皮,牛膝,川芎,当归
红花,自然铜,没药,血竭,乳香,苏木
没药,乳香,丹皮,骨碎补,肉桂,五加皮
地龙,丹参,鸡血藤,蜈蚣,络石藤,钩藤
桃仁,红花,路路通,川芎,当归,赤芍
丹参,没药,血竭,乳香,金银花,公英
桃仁,红花,川芎,当归,赤芍,牛膝
玄胡,川芎,当归,苦楝,地黄,芍药
玄胡,当归
桃仁,木通,枸杞子,荆芥,桑白皮,赤芍
干蟾,海藻,麦蘖,使君子,九肋鳖甲,黄连
没药,蒲公英,乳香,木瓜,栀子,地鳖虫
红花,蓬术,透骨草,川山甲,萝卜子,三棱
麻仁,炮山甲,牡蛎,五倍子,射干,乌梅
丹参,三七,山楂,川芎,郁金,泽泻
茅根,山楂,凤尾草,过路黄
桃仁,丹参,没药,自然铜,玄胡,乳香
泽兰,山楂,牡蛎,白术,苍术,当归
虎杖,仙灵脾,半枝莲,当归,仙鹤草,生鸡内金
桃仁,没药,厚朴,乳香,穿山甲,金钱草
桃仁,红花,玄参,熟地,当归,木蝴蝶
虎杖,泽兰,蒲公英,板蓝根,酒大黄,土茯苓
虎杖,千斤拔,穿壁风,豆豉姜,猪牙皂,樟脑
桃仁,红花,地龙,丹参,鸡血藤,伸筋草
苦楝皮,槐皮,雄黄
