红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,赤芍,生地,白芍
红花,刘寄奴,姜黄,川芎,路通,灵仙
虎杖,茜草,蚤休,生鳖甲,全瓜蒌,莪术
地龙,川芎,荆芥,全蝎,防风,细辛
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,赤消,人参,紫葳
没药,自然铜,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补,麒麟竭
桃仁,红花,薤白,栝楼,川芎,桔梗
香油,没药,三七,血竭,乳香,樟脑
没药,乳香,皂刺,天花粉,全蜈蚣,山甲
丹参,杜仲,芎藭
桃仁,红花,泽兰,白芍药,丹皮,川芎
红花,三七,血竭,乳香,赤芍,生地
桃仁,虫,蛴螬,干地黄,杏仁,黄芩
地龙,没药,自然铜,乳香,肉桂,丹皮
丹参,泽兰,黑豆,玄胡,赤芍,楂炭
桃仁,丹参,没药,乳香,泽兰叶,川芎
红花,鸡血藤,黄耆,炼蜜,胆草,当归
桃仁,红花,莪术,赤芍,三棱,皂角刺
玄胡,没药,乳香,丹皮,赤芍,金银花
桃仁,红花,玄胡,赤芍,川楝,小茴香
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,穿山甲,柴胡,当归
虫,全虫,川山甲,蜈蚣
桃仁,红花,五灵脂,玄胡,丹皮,赤芍
桃仁,红花,玄胡,灵脂,丹皮,赤芍
丹参,郁金,川楝,黄芩,乌药,柴胡
桃仁,牡丹,桂枝,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,泽兰,归尾,玄胡,牛膝
桃仁,丹参,莪术,赤芍,三棱
桃仁,丹参,莪术,赤芍,三棱
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,熟干地黄,当归,干姜
没药,元胡,丹皮,乳香,连翘,银花
红花,75,酒精
丹参,丁香,参三七,龙齿,豆豉,姜川连
紫苏,肉桂,何首乌,赤芍,川芎,乌药
红花,紫苏,黄连,莪术,乳香,黄柏
归尾,松节,伸筋草,海桐皮,落得打,羌
香油,没药,乳香,蛇蜕,黄丹,儿茶面
桃仁,红花,赤芍,蝉衣,白蒺藜,荆芥
桃仁,归尾,玄胡,赤芍,半夏,川芎
蝙蝠,骨碎补,补骨脂,当归,大黄,桂
丹参,泽兰,金钱草,茯苓皮,炮甲,黄芪
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,莪术,三棱
红花,丹皮,赤芍,酒归尾,防风,木香
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,蟾酥,珍珠,人参,附子,冰片等
没药,白术,肉桂,乳香,附子,党参
桃仁,红花,红花,黑豆,五灵脂,玄胡
丹参,红花,虫,秦艽,血通,水蛭
桃仁,丹参,莪术,赤芍,三棱,川芎
桃仁,丹参,莪术,赤芍,三棱,川芎
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,党参,川芎,当归
桃仁,红花,五灵脂,没药,人参,乳香
茜草,松节,刘寄奴,伸筋草,香油,紫草根
双花,鸡血藤,元参,乳香,土茯苓,甘草
桃仁,玄胡,银藤,丹皮,赤芍,生石膏
丹参,泽兰,元参,玄胡,鸡血藤,没药
蒲公英,犀黄丸,土贝母,冬瓜子,川军,赤小豆
香油,章丹
丹参,红花,赤芍,降香,川芎
鸡子,自然铜,孩儿牙齿,朱砂
桃仁,红花,黑豆,玄胡,益母草,泽兰叶
没药,自然铜,熟军,血竭,乳香,土鳖虫
桃仁,红花,白术,附子,党参,干姜
红花,泽泻,茯苓,穿山甲,川芎,乌药
