丹参,川芎,甘草,莲子心,当归,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,桔梗,木香,甘草,黄连
白酒,鲜仙人掌,杏仁,羌活
乳香,黄柏,地龙,黄连,大黄,黄芩
艾曲,椒目,干姜,黑附子,细辛,桂
油,葱,苎麻根,活鲤鱼,糯米,姜
香油,冰片面,白蜡,轻粉面,黄柏,将白蜡兑入溶化
大戟,没药,葶苈,乳香,甘遂,黑牵牛
白花败酱草,丛枝蓼,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,鸡汤,活鲤鱼1尾,辣椒,陈皮
大腹子,紫苏,人参,桑白皮,五味子,甘草
枯矾,血竭,没药,蟾酥,乳香,铜绿
没药,枯矾,蟾酥,乳香,铜绿,寒水石
花椒,铜绿,青盐,蕤仁,李仁,菊花
粳米,白糖,茶叶
冰片,没药,川军,乳香,赤芍,花粉
葶苈,紫苏,琥珀,郁李仁,杏仁,防己
续随子,甘遂,黑牵牛,全蝎,萝卜子,陈皮
板蓝根,连翘,射干,柴胡,贝母,荆芥
白胶香,蓖麻子仁
橘核,煨莪术,青盐,煨三棱,酒炒破故纸,荔枝核
冰片,枯矾,龙衣,麝香5厘,胭脂,陈皮
西瓜霜,西丹参,西月石,濂珠,飞青黛,老式大泥冰
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠,枣仁
西月石,玄明粉,梅冰,飞辰砂,炒僵蚕
冰片,硼砂,明矾丹参,青黛,皮硝,山豆根
马勃,青鱼胆,人指甲,人中白,硼砂,琥珀
大梅片,真熊胆,瓜制枪消,明硼砂,明雄精,直僵蚕
紫荆皮,赤豆,白芷,菖蒲,独活
川紫荆皮,白芷,木蜡,独活,芍药
冰片粉,液状石腊,辛夷,白芷,苍耳子,薄荷
蒲公英,赤芍,三七,黄柏,自然铜,土鳖虫
没药,五倍子,乳香,自然铜,赤芍,苏木
乳香,甘草,北细辛,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,皂矾,雄黄,朱砂
蓖麻子
油,油,白蜡,黄丹,商陆根,柳白皮
