红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,孩儿参,陈皮,生地
红花,刘寄奴,白芷,姜黄,羌活,胆星
虎杖,茜草,柴胡,黄芩,茯苓,生鳖甲
地龙,细辛,全蝎,防风,荆芥,川芎
没药,乳香,白芷,甘草,紫荆皮
桃仁,虫,紫葳,柴胡,鼠妇,蜂窠
没药,自然铜,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补,麒麟竭
桃仁,红花,当归尾,柴胡,栝楼,桔梗
香油,三七,没药,血竭,东丹,樟脑
没药,乳香,天花粉,知母,皂刺,山甲
丹参,杜仲,芎藭
桃仁,泽兰,红花,元胡索,香附,熟地黄
红花,三七,血竭,生地,琥珀,朱砂
桃仁,干漆,杏仁,黄芩,虫,水蛭
地龙,自然铜,没药,丹皮,丁香,无名异
丹参,泽兰,黑豆,玄胡,楂炭,焦艾
桃仁,丹参,细辛,白芷,没药,羌活
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,穿山甲,夏枯草,莪术,三棱
玄胡,没药,丹皮,乳香,金银花,大黄
桃仁,红花,玄胡,柴胡,川楝,小茴香
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,柴胡,穿山甲,瓜蒌根,大黄
全虫,虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,香附,枳壳
桃仁,红花,玄胡,灵脂,香附,枳壳
丹参,柴胡,黄芩,百合,川楝,乌药
桃仁,茯苓,桂枝,牡丹,芍药
桃仁,茯苓,桂枝,丹皮,芍药
桃仁,泽兰,归尾,红花,玄胡,牛膝
桃仁,丹参,莪术,三棱,赤芍
桃仁,丹参,莪术,三棱,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,熟干地黄,干姜,肉桂,甘草,蒲黄
没药,元胡,乳香,丹皮,大黄,银花
红花,75,酒精
丹参,琥珀,丁香,辰砂,参三七,石菖蒲
紫苏,肉桂,何首乌,乌药,白芷,香附
红花,紫苏,黄连,柴胡,菖蒲,三棱
归尾,伸筋草,松节,海桐皮,落得打,姜黄
香油,没药,麝香,乳香,头发,蜂蜡
桃仁,红花,蝉衣,当归尾,白蒺藜,荆芥
桃仁,归尾,玄胡,陈皮,黄芩,防风
蝙蝠,骨碎补,补骨脂,桂,大黄,当归
丹参,泽兰,泽泻,大腹皮,金钱草,黄芪
丹参,没药,当归,乳香
丹参,没药,当归,乳香
桃仁,莪术,三棱
红花,酒归尾,木香,丹皮,防风,赤芍
刘寄奴,血竭,酒生地,苏木,枳壳,赤芍
红花,蟾酥,人参,珍珠,麝香,牛黄
没药,白术,附子,乳香,肉桂,炮姜
桃仁,红花,红花,黑豆,玄胡,五灵脂
丹参,红花,虫,细辛,秦艽,灵仙
桃仁,丹参,穿山甲,莪术,大黄,三棱
桃仁,丹参,穿山甲,莪术,大黄,三棱
丹参,三七,茜草,降香,赤芍
丹参,三七,益母草,党参,香附,川芎
桃仁,红花,五灵脂,没药,川椒炭,香附米
香油,刘寄奴,伸筋草,茜草,松节,昆布
鸡血藤,元参,双花,乳香,土茯苓,甘草
桃仁,玄胡,黄芩,水蛭,大黄,银藤
丹参,泽兰,鸡血藤,玄胡,元参,没药
蒲公英,赤小豆,犀黄丸,冬瓜子,川军,败酱草
香油,章丹
丹参,红花,降香,赤芍,川芎
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,黑豆,玄胡,大黄,香附
没药,自然铜,熟军,土鳖虫,血竭,乳香
桃仁,红花,党参,干姜,白术,附子
红花,茯苓,泽泻,乌药,陈皮,穿山甲
桃仁,芥穗,炮姜,益母草,炙草,川芎
没药,乳香,荔核,瓜蒌,甘草,橘核
桃仁,归尾,红花,炮山甲,夏枯草,板蓝根
桃仁,红花,熟地黄,白芍药,川芎,当归
茅根,栀子,丹皮,生地黄,甘草,蒲黄
丹参,茜草,元参,生地,土贝母,夏枯草
酒黄芩,秦皮,生地,丹皮,栀子,青黛
茅根,茜草,鸡血藤,仙鹤草,旱莲草,山栀
红花,黄耆,人参1,茯苓,地锦草,白术1
丹参,红花,鸡血藤,玉竹,黄精,女贞子
桃仁,丹参,红花,生地,田七,赤芍
没药,自然铜,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,柴胡,昆布,琥珀,滑石
泽兰,柴胡,枳实,川楝,山栀,香附
丹参,麦冬,茯苓,枳实,制半夏,沙参
没药,赤芍,凌霄花,木香,桂心,当归
红花,五灵脂,生地,陈皮,黄芩,赤茯苓
炉甘石,珍珠,麝香,牛黄,硼砂,冰片
丹参,麦门冬,茯苓,桔梗,败酱,生姜
归尾,草决,黄连,生地,羌活,黄芩
玄胡,三棱,槟榔,茯苓,肉桂,莪术
丹参,茜草,清风藤,茯苓,王不留行,地鳖
地龙,玄胡,赤小豆,没药,血竭,麝香
红花,归尾,刘寄奴,酒生地,益母草,赤芍
桃仁,泽兰,新绛,参三七,苏梗,瓦楞子
桃仁,泽兰,丹参,蒲公英,红花,白芷
地龙,仙灵脾,盐黄柏,盐知母,泽泻,穿山甲
丹参,牡蛎,白花蛇舌草,柴胡,夏枯草,三棱
丹参,地龙,川楝,王不留行,皂角刺,橘叶
丹参,海藻,牡蛎,昆布,柴胡,天门冬
红花,三七,麝香,龙血竭,薄荷脑,独活
桃仁,地龙,红花,灵脂,没药,羌活
红花,三棱,党参,黄芪,蒲黄,川芎
桃仁,生地,黄芩,大黄,人参,甘草
玄胡,柴胡,广郁金,乳香,枳实,香附
桃仁,泽兰,红花,当归尾,酒丹参,香附
桃仁,黑姜,炙草,川芎,当归
红花,干葛,细辛,白芷,羌活,桔梗
没药,元胡,灵脂,香附
玄胡,五灵脂,没药,小茴香,干姜,蒲黄
五灵脂,蒲黄
茅根,半枝莲,滑石,石苇,金钱草,三棱
桃仁,陈皮,黄连,半夏,吴萸
生甘草,干葛,山楂,蝉蜕,升麻,僵蚕
玄胡,蓬术,北芍药,丹皮,甘草,川芎
元胡,藏红花,熟军,灵脂,丹皮,三棱
桃仁,元胡,红花,防己,白芷,羌活
红花,山楂,泽泻,当归尾,乌药,木香
桃仁,归尾,丹参,红花,蕺莱,牛膝
桃仁,干漆,芎藭,甘草,桂心,芍药
桃仁,大黄,大枣,甘草,消石,蒲黄
桃仁,诃黎勒皮,三棱,白术,陈橘皮,赤芍
桃仁,红花,山栀,赤曲,丹皮,泽兰叶
莪茂,人参,丹皮,甘草,牛膝,川芎
红花,自然铜,没药,血竭,丁香,马钱子
没药,丹皮,乳香,肉桂,骨碎补,生地
丹参,地龙,鸡血藤,全蝎,忍冬藤,钩藤
桃仁,红花,柴胡,生地,桔梗,石菖蒲
丹参,没药,血竭,柴胡,金银花,瓜蒌
桃仁,红花,柴胡,生地,桔梗,枳壳
玄胡,苦楝,地黄,川芎,芍药,当归
玄胡,当归
桃仁,枸杞子,柴胡,琥珀,桑白皮,制香附
麦蘖,海藻,九肋鳖甲,使君子,干蟾,黄连
蒲公英,没药,乳香,栀子,大黄,地鳖虫
红花,蓬术,杏仁,川山甲,三棱,透骨草
炮山甲,麻仁,牡蛎,五倍子,苦参,乌梅
丹参,三七,山楂,泽泻,木香,黄芪
茅根,山楂,过路黄,凤尾草
桃仁,自然铜,丹参,玄胡,当归尾,骨碎补
泽兰,山楂,牡蛎,佛手,白术,党参
虎杖,仙灵脾,仙鹤草,半枝莲,柴胡,白花蛇舌草
桃仁,白芷,没药,穿山甲,莪术,金钱草
桃仁,红花,麦冬,生地,黄芩,知母
虎杖,泽兰,蒲公英,板蓝根,土茯苓,茵陈
虎杖,土鳖虫,朱砂根,香樟,草乌薄荷脑,香加皮
桃仁,土鳖虫,地龙,丹参,红花,鸡血藤
槐皮,苦楝皮,雄黄
