半夏,白芥子,白术,益智,薏仁
党参,黄芪,水牛角浓缩粉,薄荷,郁金
天南星,川甜消,银箔,朱砂,金箔
天竺黄,天南星,生龙脑,金箔,丹参
朱砂,龙脑,银箔,金箔,牙消
天竺黄,天南星,僵蚕,朱砂,琥珀
天竺黄,升麻,真珠,朱砂,龙脑
百部,桔梗,元参,陈皮,麦冬
贝母,半夏,远志,陈皮,瓜蒌
半夏,天南星,远志,僵蚕,金箔
半夏,紫菀,葶苈,杏仁,桔梗
半夏,缩砂仁,杏仁,桔梗,紫苏
半夏,杏仁,桔梗,紫苏,陈皮
紫菀,款冬花,桔梗,牛膝,麦冬
远志,辰砂,白术,菖蒲,茯神
半夏,远志,杏仁,桔梗,陈皮
远志,金箔,银箔,白附子,朱砂
天南星,白附子,白术,黑附子,茯苓
贝母,薄荷,金银花,小木通,葛根
贝母,半夏,芍药,桔梗,陈皮
陈茶叶,粳米
半夏,丁香,全蝎,术香,肉豆蔻
半夏,天南星,山芋,远志,辰砂
天南星,白附子,辰砂,天麻,二
天南星,白附子,辰砂,天麻,麝香
半夏,天南星,辰砂,白矾
半夏,天南星,皂角,陈皮,麦糵
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,生姜,茯苓
粳米,白糖,茶叶
半夏,茱萸,陈皮,苍术,神曲
半夏,茱萸,陈皮,苍术,茯苓
山芋,牛膝,地黄,五味子,百合
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,芍药,桔梗,夏枯草
半夏,柴胡,山栀,薄荷,苏叶
贝母,葶苈,蜂蜜,桑白皮,麻黄
贝母,杏仁,桔梗,白糖,柠檬酸5厘
贝母,桔梗,薄荷,枇杷叶
贝母,杏仁,蜂蜜
半夏,牛膝,钩藤,白蒺藜,白蔻
桔梗,两细辛,二十,三十,七十五
780克,09千克,12千克,150克,1
桔梗,龙脑,薄荷,细辛,川芎
苏合香,诃梨勒皮,脑香,吃力伽,熏陆香
贝母,青礞石,硼砂,沉香,猪脱氧胆酸
贝母,冰糖,粳米
贝母,粳米,砂糖
贝母,桔梗,陈皮,瓜蒌,花粉
贝母,紫菀,百部,杏仁,五味子
贝母,款冬花,杏仁,五味子,知母
贝母,杏仁,柴胡,百合,茯苓
贝母,紫菀,杏仁,桔梗,甘草
紫菀,地黄,五味子,黄耆,桑白皮
半夏,胆南星,远志,黄芪,当归
半夏,紫菀,杏仁,桔梗,黄芪
缩砂仁,盐,栝楼,薄荷,白檀
缩砂仁,桔梗,四,三,薄荷
缩砂仁,桔梗,薄荷,防风,川芎
缩砂仁,桔梗,薄荷,防风,川芎
鸡苏叶,缩砂仁,盐,瓜蒌根十,荆芥
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥
蓬莪荗,京三棱,黑牵牛,枳实,陈皮
百部,杏仁,麻黄
朱砂,梅片,熊胆,丹参5厘,象牙末
紫菀,杏仁,葶苈,制覆花,制桑白皮
贝母,柴胡,辰砂,上肉桂,血竭
贝母,元参,桔梗,百合,当归
贝母,桔梗,百合,当归,麦冬
牵牛,甘遂末,龙脑,雷丸末,轻粉
贝母,蝉蜕,连翘,板蓝根,牛蒡
生龙脑,朱砂,枣仁,茯苓,麦门冬
贝母,诃黎勒皮,玄参,地黄,白矾
上好片术
半夏,白术,干姜,人参,甘草
天南星,白僵蚕,全蝎,地龙干,五灵脂
天南星,远志,辰砂,天麻,麝1字
天竺黄,檀香,天南星,金箔,辰砂
天竺黄,胆南星,僵蚕,辰砂,琥珀
天竺黄,郁金,雄黄,白矾
半夏,茶叶,杏仁,枳实,瓜蒌霜
贝母,天南星,杏仁,桔梗,紫苏
白冰,甜杏
天南星,半复,黄芩
半夏,黑附子,生姜
半夏,苍术,广皮,茯苓,厚朴
贝母,半夏,桔梗,瓜萎仁,枳亮
半夏,杏仁
半夏,芍药,桔梗,旋复花,陈皮
半夏,升麻,柴胡,藁本,苍术
半夏,黄柏,白术,泽泻,天麻
半夏,白术,天麻
半夏,白术,天麻,蔓荆子,陈皮
半夏,黄柏,泽泻,白术,天麻
半夏,秫米
半夏,麦芽,陈皮,香附,苍术
半夏,紫苏,诃黎勒皮,茯苓,枳壳
半夏,昆布,杏仁,桔梗,牛蒡
半夏,干苏叶,生姜,茯苓,厚朴
贝母,半夏,天南星,白术,滑石
半夏,防风
半夏,朱砂,黄丹,白矾
半夏,白矾
半夏,瓜蒌子
半夏,朴消,茯苓,枳壳
半夏,陈皮,郁李仁,木香,槟榔
半夏,破故纸,沉香,猪苓
半夏,天南星,香附,栀子,石膏
雪梨,白砂糖,北杏
檀香,白葡萄干,拳参,丁香,北沙参
檀香,白葡萄干,拳参,丁香,北沙参
片脑,硼砂,紫苏,霍香叶,桂花
贝母,黄柏,柴胡,金银花,当归
天南星,朱砂,巴豆,神曲
胆南星,朱砂,全蝎,巴豆,神曲
荸荠,白萝卜,雪梨,生藕,麦冬
胆南星,芥穗,淡全蝎,薄荷,独活
