珍珠母,酒曲,磁石,酒曲,赭石
枣仁,小麦,甘草
朱砂,天竺黄,珍珠,琥珀,天麻
辰砂,郁金,黄芩,丹参,山栀仁
琥珀,天麻,天南星,乌蛇,丹参
枣仁,远志,贝母,黄芩,陈皮
茯神,柏子仁,干姜,炙草,当归
茯神,远志,枣仁,金箔,珍珠
茯神,枣仁,辰砂,琥珀,乳香
茯神,远志,枣仁,朱砂,菖蒲
枣仁,辰砂,人参
菖蒲,安神膏,丹参,五味子
珍珠母,菖蒲,合欢皮,夜交藤,丹参
远志,石莲肉,芡实,麦冬,莲须
茯神,远志,枣仁,琥珀,白芍
茯神,远志,朱砂,天麻,麦门冬
茯神,远志,枣仁,菖蒲,黄耆
茯神,远志,枣仁,牡蛎,芡实
茯神,远志,菖蒲,麦冬,陈皮
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
枣仁,天竺黄,珍珠,琥珀,当归
合欢皮,合欢花,夜交藤,桑椹子,丹参
朱砂,金箔,琥珀,天麻,防风
茯神,菖蒲,当归,全蝎,龙胆草
茯神,枣仁,朱砂,生地,当归
茯神,珍珠母,枣仁,朱砂,合欢花
朱砂,麦冬,知母,天冬,黄连
茯神,远志,辰砂,菖蒲,细辛
茯神,远志,辰砂,菖蒲,细辛
茯神,枣仁,朱砂,麝香,乳香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,桂心,牛膝
枣仁,牡蛎,桂枝,黄芩,大黄
大龟
茯神,远志,枸杞,熟地,白芍
枣仁,夜交藤,百合,淮小麦,莲肉
朱砂,天麻,当归,牙皂,大黄
朱砂,天竺黄,苍术,钩藤,天南星
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,山药,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑
枣仁,远志,黄耆,柏子仁,当归
枣仁,远志,朱砂,柏子仁,当归
茯神,菖蒲,枸杞,柏子仁,麦门冬
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,牡蛎,柏子仁,党参,五味子
鹿角霜,柏子仁,鹿角胶,地黄,菟丝子
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,菖蒲,麦门冬,丹参
枣仁,大米,芡实,薏仁,百合
枣仁,檀香,天竺黄,红花,紫檀香
枣仁,檀香,天竺黄,红花,紫檀香
枣仁,石灰华,乳香,诃子,木香
枣仁,石灰华,乳香,诃子,木香
朱砂,磁石,乳香,代赭石,禹余粮
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,天竺黄,远志,珍珠,辰砂
远志,天竺黄,珍珠,琥珀,防风
枣仁,覆盆子,巴戟,肉苁蓉,柏子仁
辰砂,琥珀,天麻,防风,天南星
茯神,朱砂,天麻,琥珀,犀角
琥珀,珍珠,马宝,龙涎香,丹参
檀香,赤小豆,鹤虱,熊胆,麝香
远志,巴戟,细辛,覆盆子,菖蒲
茯神,丹皮,生地,淡竹叶,益元散
茯神,黑附子,郁金,熟地,龙齿
茯神,远志,枣仁,熟地,当归
茯神,远志,朱砂,菖蒲,麦冬
蝎梢,半夏,丁香
茯神,远志,枣仁,柏子仁,黄耆
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,白术,僵蚕
枣仁,金箔,辰砂,麦门冬,蚌粉
陈曲,枸杞,肉苁蓉,地黄,甘菊
朱砂,天竺黄,天麻,丹参,麝香
茯神,天竺黄,远志,菖蒲,天麻
菖蒲,贝母,麦门冬,当归,陈皮
米酒,丹参
辰砂,菖蒲,青龙齿,丹参,琥珀末
枣仁,生地,麦冬,木通,玄参
远志,覆盆子,菖蒲,柏子仁,生地
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花
茯神,远志,菖蒲,麦门冬,丹参
寒水石,干姜,牡蛎,桂枝,大黄
茯神,远志,枣仁,独活,细辛
茯苓细粉,白糖等份,米粉
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星
茯神,远志,辰砂,菖蒲,天南星
茯神,远志,枣仁,独活,细辛
茯神,麦门冬,龙齿,羚羊角,防风
茯神,远志,枣仁,独活,细辛
茯神,菖蒲,麦门冬,丹皮,石斛
寄生,风仙花全草,五味子,益母草,泽兰
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
牡蛎,桂枝,龙骨,甘草
枣仁,牡蛎,桂心,芍药,龙骨
朱砂,21克
珍珠母,丹皮,磁石,仙茅酒,钩藤
枣仁,枣仁,远志,龙眼肉,当归
獖猪心,颗块朱砂,灯心
茯神,远志,枣仁,金箔,龙齿
茯神,远志,山萸,五味子,山药
远志,菖蒲,当归,龟版,五倍子
远志,菖蒲,丹参,茜草,干地龙
朱砂,琥珀,当归,百草霜,白僵蚕
茯神,枣仁,枸杞,麦门冬,秦艽
牡丹,覆盆子,黑附子,肉苁蓉,黄耆
乌犀角,拣人参,枸杞,肉苁蓉,防风
黄精,甘桑椹,枸杞,麦门冬,牛膝
远志,巴戟,菖蒲,枸杞,肉苁蓉
朱砂,芍药,麝香,黄芩,槟榔
朱砂,远志,菖蒲,琥珀,白芍
茯神,远志,枣仁,朱砂,菖蒲
檀香,朱砂,天竺黄,琥珀,天南星
朱砂,天竺黄,琥珀,天南星,丹参
朱砂,天竺黄,珍珠,琥珀,天麻
茯神,远志,菖蒲,天南星,人乳
茯神,远志,枣仁,辰砂,琥珀
茯神,远志,羚羊角,真琥珀,人参
茯神,远志,枣仁,朱砂,琥珀
