半夏,白芥子,白术,益智,薏仁
水牛角浓缩粉,党参,黄芪,冰片,郁金
天南星,银箔,川甜消,朱砂,金箔
天竺黄,天南星,生龙脑,金箔,腻粉
银箔,朱砂,牙消,金箔,龙脑
天竺黄,天南星,僵蚕,朱砂,全蝎
天竺黄,真珠,升麻,龙脑,朱砂
百部,桔梗,元参,陈皮,麦冬
贝母,半夏,远志,陈皮,黄芩
半夏,天南星,远志,僵蚕,金箔
半夏,紫菀,葶苈,杏仁,紫苏
半夏,缩砂仁,杏仁,紫苏,桔梗
半夏,杏仁,紫苏,桔梗,陈皮
紫菀,款冬花,牛膝,桔梗,天冬
远志,辰砂,丹参,白术,菖蒲
半夏,远志,杏仁,桔梗,陈皮
银箔,朱砂,天麻,远志,金箔
天南星,黑附子,白术,白附子,茯苓
贝母,小木通,金银花,枇杷叶,薄荷
贝母,半夏,芍药,桔梗,陈皮
粳米,陈茶叶
半夏,丁香,全蝎,术香,砂仁
半夏,天南星,山芋,远志,铁粉
天南星,天麻,二,辰砂,麝香
天南星,天麻,辰砂,麝香,白附子
半夏,天南星,辰砂,白矾
半夏,天南星,皂角,陈皮,神曲
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,茯苓,生姜
粳米,白糖,茶叶
半夏,茱萸,陈皮,苍术,神曲
半夏,茱萸,陈皮,苍术,茯苓
山芋,沉香,牛膝,枸杞,柏子仁
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,芍药,柴胡,桔梗
半夏,柴胡,山栀,薄荷,黄芩
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,杏仁,白糖,桔梗,枇杷叶
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
半夏,牛膝,白蔻,薏仁,钩藤
三十,桔梗,七十五,两细辛,二十
09千克,780克,12千克,150克,1
苏合香,熏陆香,吃力伽,丁子香,诃梨勒皮
