丹参,川芎,甘草,当归,莲子心,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连,槟榔
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,黄连,大黄,地龙,黄芩
艾曲,椒目,细辛,桂,黑附子,干姜
油,葱,活鲤鱼,苎麻根,姜,糯米
香油,白蜡,冰片面,以上8味药料,用香油炸枯去滓滤净,红粉面
没药,甘遂,葶苈,乳香,大戟,黑牵牛
辅料,白花败酱草,丛枝蓼
车前子,青粱米
粳米,车前子
赤小豆,葱,辣椒,鸡汤,活鲤鱼1尾,姜
大腹子,紫苏,桑白皮,人参,五味子,陈皮
蟾酥,血竭,没药,乳香,铜绿,硼砂
蟾酥,没药,乳香,铜绿,枯矾,寒水石
花椒,铜绿,李仁,青盐,白矾,菊花
粳米,白糖,茶叶
冰片,没药,赤芍,乳香,川军,花粉
葶苈,紫苏,郁李仁,琥珀,沉香,防己
甘遂,续随子,黑牵牛,全蝎,白牵牛,萝卜子
连翘,板蓝根,贝母,白花蛇舌草,射干,柴胡
白胶香,蓖麻子仁
橘核,荔枝核,煨三棱,煨莪术,青盐,酒炒破故纸
冰片,龙衣,枯矾,麝香5厘,胭脂,陈皮
西瓜霜,西丹参,西月石,飞青黛,濂珠,老式大泥冰
大梅片,瓜制枪消,真熊胆,关犀黄,珍珠,枣仁
玄明粉,西月石,飞辰砂,炒僵蚕,梅冰
冰片,硼砂,山豆根,青黛,明矾丹参,皮硝
青鱼胆,硼砂,人指甲,马勃,贝母,人中白
大梅片,瓜制枪消,真熊胆,直僵蚕,明雄精,白玄明粉
紫荆皮,赤豆,白芷,菖蒲,独活
川紫荆皮,木蜡,白芷,独活,芍药
苍耳子,白芷,薄荷,麻油,液状石腊,辛夷
三七,蒲公英,赤芍,土鳖虫,自然铜,透骨草
没药,五倍子,赤芍,乳香,自然铜,苏木
乳香,北细辛,甘草,苍术
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,雄黄,朱砂,皂矾,火消
油,油,白蜡,商陆根,柳白皮,黄丹
