红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,川芎,白芍
红花,刘寄奴,姜黄,芥子,灵仙,川芎
虎杖,茜草,蚤休,生鳖甲,全瓜蒌,赤芍
地龙,荆芥,防风,川芎,全蝎,细辛
没药,紫荆皮,乳香,白芷,甘草
桃仁,虫,石苇,牡丹,厚朴,桂枝
自然铜,没药,土鳖,乳香
黑豆,三七,骨碎补,鸡血藤膏,血琥珀,当归
桃仁,红花,当归尾,川芎,薤白,牛膝
香油,三七,没药,樟脑,乳香,冰片
没药,皂刺,山甲,全蜈蚣,乳香,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,白芍药,川芎
红花,三七,苏木,赤芍,乳香,川芎
桃仁,虫,干地黄,虻虫,水蛭,杏仁
地龙,自然铜,没药,丹皮,肉桂,乳香
丹参,泽兰,黑豆,玄胡,赤芍,香附
桃仁,丹参,没药,苏木,乳香,防风
红花,鸡血藤,黄耆,炼蜜,当归,胆草
桃仁,红花,赤芍,三棱,穿山甲,川芎
玄胡,没药,丹皮,赤芍,红藤,乳香
桃仁,红花,玄胡,炮姜,红藤,赤芍
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,当归,瓜蒌根,大黄
虫,全虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,丹皮,乌药
桃仁,红花,玄胡,灵脂,丹皮,乌药
丹参,郁金,乌药,川楝,柴胡,黄芩
桃仁,牡丹,桂枝,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,当归,芍药,熟干地黄
元胡,没药,丹皮,红藤,乳香,紫花地丁
红花,75,酒精
丹参,姜川连,龙齿,豆豉,荆芥,参三七
紫苏,何首乌,肉桂,赤芍,乌药,防风
红花,紫苏,苏木,赤芍,乳香,千里马
归尾,伸筋草,松节,海桐皮,羌,落得打
香油,没药,血竭面,儿茶面,乳香,蜂蜡
桃仁,红花,赤芍,白蒺藜,当归尾,荆芥
桃仁,归尾,玄胡,赤芍,防风,川芎
蝙蝠,骨碎补,补骨脂,当归,大黄,桂
丹参,泽兰,金钱草,黄芪,炮甲,茯苓皮
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,防风,酒归尾,木香
刘寄奴,酒生地,血竭,苏木,赤芍,川芎
红花,珍珠,灵芝,熊胆,冰片等,牛黄
没药,炮姜,肉桂,黄芪,乳香,附子
桃仁,红花,红花,玄胡,黑豆,五灵脂
丹参,红花,虫,虻虫,水蛭,灵仙
桃仁,丹参,赤芍,三棱,穿山甲,川芎
桃仁,丹参,赤芍,三棱,穿山甲,川芎
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,川芎,当归,党参
桃仁,红花,五灵脂,没药,姜黄,虻虫
香油,刘寄奴,茜草,伸筋草,松节,透骨草
鸡血藤,双花,元参,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,赤芍,虻虫,水蛭
丹参,泽兰,玄胡,鸡血藤,没药,元参
蒲公英,赤小豆,丹皮,犀黄丸,土贝母,川军
香油,章丹
丹参,红花,赤芍,川芎,降香
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,土鳖虫,没药,熟军,乳香,硼砂
桃仁,红花,附子,党参,白术,干姜
红花,乌药,川芎,当归,穿山甲,独活
桃仁,益母草,炮姜,芥穗,川芎,当归
没药,荔核,橘核,瓜蒌,乳香,当归
桃仁,红花,归尾,炮山甲,赤芍,板蓝根
桃仁,红花,白芍药,川芎,当归,熟地黄
茅根,丹皮,蒲黄,川芎,当归,栀子
丹参,茜草,元参,土贝母,赤芍,白芍
酒黄芩,秦皮,丹皮,赤芍,木通,生地
茅根,茜草,鸡血藤,仙鹤草,丹皮,旱莲草
红花,赤芍,白术1,黄耆,地锦草,人参1
丹参,红花,鸡血藤,丹皮,熟地,玉竹
桃仁,丹参,红花,赤芍,川芎,当归
自然铜,土鳖虫,没药,马前子,乳香,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,白芍
泽兰,郁金,香附,山栀,川楝,枳实
丹参,赤芍,沙参,麦冬,川芎,枳实
没药,凌霄花,赤芍,当归,木香,桂心
红花,五灵脂,赤芍,川芎,当归,生地
炉甘石,珍珠,牛黄,硼砂,冰片,麝香
丹参,牡丹,败酱,茯苓,芍药,薏苡仁
归尾,草决,蒺藜,荆芥,白芍,防风
玄胡,肉桂,苍术,三棱,槟榔,莪术
丹参,茜草,王不留行,薏米仁,地鳖,黄柏
地龙,玄胡,没药,赤小豆,乳香,冰片
红花,归尾,刘寄奴,酒生地,益母草,赤芍
桃仁,泽兰,赤芍,参三七,郁金,当归
桃仁,丹参,红花,泽兰,蒲公英,王不留行
地龙,仙灵脾,盐知母,盐黄柏,肉桂,木通
丹参,白花蛇舌草,牡蛎,黄芪,郁金,三棱
丹参,地龙,王不留行,橘叶,川楝,皂角刺
丹参,海藻,橘核,牡蛎,瓜蒌,昆布
红花,三七,樟脑,龙血竭,冰片,麝香
桃仁,红花,地龙,灵脂,没药,秦艽
红花,蒲黄,黄芪,三棱,川芎,当归
桃仁,生地,当归,人参,大黄,黄芩
玄胡,广郁金,乳香,白芍,香附,枳实
桃仁,红花,泽兰,当归尾,香附,酒丹参
桃仁,川芎,当归,黑姜,炙草
红花,干葛,苏叶,升麻,防风,川芎
元胡,灵脂,没药,香附
玄胡,五灵脂,没药,蒲黄,赤芍,川芎
五灵脂,蒲黄
茅根,半枝莲,石苇,海金砂,金钱草,木通
桃仁,半夏,吴萸,黄连,陈皮
