红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,茯苓,生地,白芍
红花,刘寄奴,芥子,姜黄,羌活,路通
虎杖,茜草,全瓜蒌,郁金,茯苓,香附
地龙,防风,荆芥,川芎,全蝎,细辛
没药,紫荆皮,乳香,甘草,白芷
桃仁,虫,牡丹,石苇,桂枝,厚朴
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,血琥珀,鸡血藤膏,麒麟竭
桃仁,红花,当归尾,川芎,薤白,栝楼
香油,三七,没药,樟脑,乳香,冰片
没药,皂刺,山甲,全蜈蚣,乳香,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,白芍药,青皮
红花,三七,苏木,乳香,生地,朱砂
桃仁,虫,杏仁,水蛭,虻虫,干地黄
地龙,自然铜,没药,丹皮,肉桂,乳香
丹参,泽兰,玄胡,黑豆,香附,赤芍
桃仁,丹参,没药,苏木,防风,乳香
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,夏枯草,三棱,莪术,赤芍
玄胡,没药,丹皮,红藤,紫花地丁,乳香
桃仁,红花,玄胡,红藤,桂枝,香附
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,瓜蒌根,大黄,柴胡
虫,全虫,蜈蚣,川山甲
桃仁,红花,玄胡,丹皮,五灵脂,乌药
桃仁,红花,玄胡,灵脂,丹皮,乌药
丹参,郁金,乌药,柴胡,百合,川楝
桃仁,牡丹,茯苓,桂枝,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,甘草,当归
没药,元胡,丹皮,红藤,紫花地丁,银花
红花,酒精,75
丹参,参三七,龙齿,丁香,豆豉,姜川连
紫苏,肉桂,防风,何首乌,乌药,香附
红花,紫苏,苏木,乳香,三棱,黄柏
归尾,伸筋草,松节,姜黄,海桐皮,活
香油,没药,血竭面,蜂蜡,儿茶面,红粉
桃仁,红花,白蒺藜,当归尾,赤芍,荆芥
桃仁,归尾,玄胡,防风,川芎,赤芍
蝙蝠,骨碎补,补骨脂,大黄,桂,当归
丹参,泽兰,金钱草,黄芪,山药,泽泻
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,防风,赤芍,酒归尾,木香
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,珍珠,熊胆,灵芝,冰片等,蟾酥
没药,肉桂,乳香,黄芪,熟地,附子
桃仁,红花,红花,益母草,玄胡,黑豆
丹参,红花,虫,水蛭,虻虫,桂枝
桃仁,丹参,三棱,莪术,川芎,穿山甲
桃仁,丹参,三棱,莪术,川芎,穿山甲
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,香附,川芎,党参
桃仁,红花,姜黄,没药,水蛭,当归尾
刘寄奴,香油,茜草,伸筋草,松节,透骨草
鸡血藤,元参,双花,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,水蛭,虻虫,赤芍
丹参,泽兰,玄胡,鸡血藤,没药,元参
蒲公英,土贝母,败酱草,丹皮,赤小豆,犀黄丸
香油,章丹
丹参,红花,川芎,赤芍,降香
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,玄胡,益母草,黑豆,苏木
自然铜,没药,熟军,土鳖虫,血竭,乳香
桃仁,红花,附子,党参,白术,甘草
红花,乌药,茯苓,川芎,泽泻,独活
桃仁,益母草,川芎,芥穗,炮姜,炙草
没药,瓜蒌,橘核,乳香,荔核,当归
桃仁,红花,归尾,炮山甲,夏枯草,板蓝根
桃仁,红花,白芍药,川芎,熟地黄,当归
茅根,丹皮,蒲黄,芍药,川芎,栀子
丹参,茜草,元参,土贝母,夏枯草,黄柏
秦皮,丹皮,酒黄芩,木通,赤芍,生地
茅根,茜草,鸡血藤,仙鹤草,丹皮,旱莲草
红花,黄耆,茯苓,白术1,人参1,地锦草
丹参,红花,鸡血藤,丹皮,熟地,枸杞
桃仁,丹参,红花,生地,川芎,赤芍
自然铜,没药,土鳖虫,乳香,麻黄,马前子
醋,半夏
桃仁,红花,海藻,海金砂,昆布,白芍
泽兰,郁金,香附,山栀,枳实,柴胡
丹参,麦冬,茯苓,沙参,赤芍,五味子
没药,凌霄花,赤芍,当归,木香,桂心
红花,五灵脂,赤芍,生地,川芎,赤茯苓
炉甘石,珍珠,麝香,冰片,牛黄,硼砂
丹参,牡丹,败酱,茯苓,芍药,薏苡仁
归尾,草决,蒺藜,防风,白芍,生地
玄胡,肉桂,槟榔,苍术,三棱,茯苓
丹参,茜草,王不留行,黄柏,茯苓,清风藤
地龙,玄胡,没药,赤小豆,血竭,乳香
红花,归尾,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,参三七,郁金,青皮,苏梗
桃仁,丹参,红花,泽兰,蒲公英,没药
地龙,仙灵脾,盐知母,肉桂,盐黄柏,黄芪
丹参,牡蛎,白花蛇舌草,郁金,夏枯草,黄芪
丹参,地龙,王不留行,橘叶,皂角刺,川楝
丹参,牡蛎,海藻,瓜蒌,橘核,橘叶
红花,三七,樟脑,冰片,麝香,独活
桃仁,红花,地龙,没药,灵脂,秦艽
红花,蒲黄,黄芪,三棱,川芎,党参
桃仁,生地,人参,大黄,鳖甲,黄芩
玄胡,广郁金,乳香,香附,白芍,枳实
桃仁,红花,泽兰,当归尾,香附,酒丹参
桃仁,黑姜,川芎,炙草,当归
红花,干葛,防风,苏叶,香附,川芎
灵脂,没药,元胡,香附
玄胡,没药,五灵脂,蒲黄,赤芍,川芎
五灵脂,蒲黄
茅根,半枝莲,金钱草,石苇,郁金,海金砂
桃仁,吴萸,半夏,黄连,陈皮
干葛,山楂,生甘草,升麻,蝉蜕,当归
玄胡,丹皮,北芍药,蓬术,川芎,甘草
灵脂,丹皮,熟军,元胡,藏红花,熟地
桃仁,红花,元胡,桂枝,苍术,龙胆草
红花,山楂,当归尾,乌药,香附,青皮
桃仁,丹参,红花,归尾,乳香,蕺莱
桃仁,芍药,干漆,甘草,芎藭,当归
桃仁,蒲黄,大黄,大枣,消石,甘草
桃仁,三棱,赤芍,白术,陈橘皮,鳖甲
桃仁,红花,丹皮,郁金,山栀,赤芍
莪茂,丹皮,人参,芍药,川芎,牛膝
红花,自然铜,没药,苏木,乳香,丁香
没药,丹皮,芥子,骨碎补,肉桂,五加皮
丹参,地龙,鸡血藤,蜈蚣,地鳖虫,黄芪
桃仁,红花,路路通,生地,赤芍,川芎
丹参,没药,瓜蒌,乳香,青皮,血竭
桃仁,红花,生地,川芎,赤芍,柴胡
玄胡,苦楝,芍药,川芎,地黄,当归
玄胡,当归
桃仁,木通,赤芍,白芍,荆芥,枸杞子
海藻,麦蘖,干蟾,使君子,九肋鳖甲,夜明砂
蒲公英,没药,地鳖虫,乳香,栀子,大黄
红花,杏仁,透骨草,川山甲,蓬术,木鳖仁
炮山甲,麻仁,牡蛎,五倍子,乌梅,苦参
丹参,三七,山楂,郁金,黄芪,桂枝
茅根,山楂,凤尾草,过路黄
桃仁,丹参,玄胡,自然铜,没药,当归尾
泽兰,山楂,牡蛎,王不留行,佛手,苍术
虎杖,仙鹤草,仙灵脾,半枝莲,白花蛇舌草,生鸡内金
桃仁,没药,金钱草,乳香,厚朴,三棱
桃仁,红花,玄参,麦冬,熟地,生地
虎杖,泽兰,蒲公英,酒大黄,板蓝根,土茯苓
虎杖,樟脑,土鳖虫,碎骨木,香加皮,九龙川
桃仁,丹参,红花,地龙,鸡血藤,伸筋草
槐皮,苦楝皮,雄黄
