珍珠母,磁石,半夏,酒曲,赭石,酒曲
枣仁,小麦,甘草
朱砂,珍珠,天竺黄,琥珀,钩藤,天南星
辰砂,丹参,郁金,山栀仁,黄芩,黄连
琥珀,干蝎,天南星,丹参,天麻,白附子
枣仁,远志,半夏,贝母,陈皮,瓜蒌
茯神,柏子仁,干姜,人参,当归,炙草
茯神,枣仁,金箔,远志,珍珠,辰砂
茯神,枣仁,辰砂,琥珀,乳香,人参
茯神,朱砂,枣仁,远志,琥珀,菖蒲
枣仁,辰砂,人参
安神膏,菖蒲,丹参,五味子
珍珠母,夜交藤,合欢皮,菖蒲,丹参,地黄
远志,麦冬,石莲肉,芡实,人参,莲须
茯神,枣仁,远志,琥珀,党参,白芍
茯神,朱砂,远志,麦门冬,天麻,白附子
茯神,枣仁,远志,菖蒲,党参,黄耆
茯神,枣仁,远志,芡实,牡蛎,知母
茯神,远志,菖蒲,麦冬,半夏,杏仁
菖蒲,龙齿
朱砂,地黄,当归,甘草,黄连
枣仁,珍珠,天竺黄,琥珀,丹参,天南星
夜交藤,合欢花,合欢皮,丹参,地黄,桑椹子
朱砂,金箔,琥珀,地黄,天麻,山药
茯神,菖蒲,全蝎,当归,龙胆草,黄连
茯神,朱砂,枣仁,白术,当归,白参
茯神,朱砂,珍珠母,枣仁,合欢花,夜交藤
朱砂,麦冬,知母,天冬,黄连
茯神,远志,铁粉,辰砂,菖蒲,麦门冬
茯神,远志,铁粉,辰砂,菖蒲,麦门冬
茯神,朱砂,枣仁,麝香,乳香,代赭石
辰砂,天南星,白矾,半夏
辰砂,天南星,白矾,半夏
远志,菖蒲,黑附子,牛膝,人参,桂心
枣仁,桂枝,牡蛎,半夏,龙骨,人参
大龟
茯神,远志,枸杞,沉香,白芍,白术
枣仁,夜交藤,淮小麦,百合,莲肉,甘草
朱砂,天麻,黄土,赤金,僵蚕,全蝎
朱砂,天竺黄,钩藤,丹参,天南星,僵蚕
粳米,白糖,鲜百合,杏仁
大米,芡实,糯米,山药,莲肉
朱砂,枣仁,麦门冬,人参,茯苓,生龙脑
枣仁,远志,半夏,柏子仁,五味子,黄耆
朱砂,枣仁,远志,党参,柏子仁,半夏
茯神,菖蒲,麦门冬,枸杞,柏子仁,熟地
粳米,蜂蜜,柏子仁
粳米,蜂蜜,柏子仁
枣仁,党参,半夏,牡蛎,五味子,柏子仁
柏子仁,鹿角霜,鹿角胶,地黄,菟丝子
铅,水银
朱砂,白矾,半夏,黄丹
茯神,远志,菖蒲,麦门冬,丹参,白术
枣仁,大米,芡实,薏仁,山药,百合
檀香,枣仁,天竺黄,沉香,紫檀香,红花
檀香,枣仁,天竺黄,沉香,紫檀香,红花
枣仁,石灰华,诃子,沉香,木棉花,乳香
枣仁,石灰华,诃子,沉香,木棉花,乳香
朱砂,磁石,人中黄,乳香,赤石脂,代赭石
朱砂,胆南星,神曲,巴豆
金箔,腻粉
茯神,珍珠,远志,天竺黄,琥珀,辰砂
远志,珍珠,天竺黄,琥珀,钩藤,天南星
枣仁,巴戟,覆盆子,肉苁蓉,地黄,枸杞
琥珀,辰砂,天南星,天麻,白附子,麝香
茯神,朱砂,琥珀,天麻,犀角,防风
珍珠,琥珀,丹参,马宝,龙涎香
檀香,鹤虱,熊胆,牵牛,赤小豆,沉香
远志,巴戟,覆盆子,菖蒲,肉苁蓉,地黄
茯神,丹皮,莲子心30支,辰砂染灯心20支,莹白童便150毫升,细木通
茯神,郁金,龙齿,黑附子,泽兰,人参
茯神,枣仁,远志,熟地,当归,酒炒白芍
茯神,朱砂,远志,菖蒲,麦冬,白术
茯神,枣仁,远志,地黄,柏子仁,五味子
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,大赭石,金银箔,白术
枣仁,金箔,辰砂,麦门冬,大赭石,白术
陈曲,枸杞,肉苁蓉,地黄,桂,甘菊
朱砂,天竺黄,丹参,天麻,麝香,人参
茯神,远志,天竺黄,琥珀,菖蒲,丹参
菖蒲,麦门冬,丹参,天门冬,贝母,五味子
辰砂,菖蒲,琥珀末,丹参,紫贝齿,半夏
枣仁,麦冬,生地,茯苓,木通,甘草
远志,覆盆子,菖蒲,白酒,肉苁蓉,麦门冬
珍珠,石灰华,麝香等药味加工制成的丸剂,丹参,红花,草果
茯神,远志,菖蒲,麦门冬,丹参,地黄
寒水石,桂枝,紫石英,牡蛎,白石脂,龙骨
茯神,枣仁,远志,独活,防风,白术
茯苓细粉,白糖等份,米粉
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星,半夏
茯神,远志,辰砂,菖蒲,天南星,半夏
茯神,枣仁,远志,独活,防风,龙骨
茯神,麦门冬,龙齿,枳实,防风,羚羊角
茯神,枣仁,远志,独活,防风,龙骨
茯神,菖蒲,麦门冬,石斛,知母,丹皮
寄生,风仙花全草,泽兰,五味子,益母草
肉苁蓉,枸杞,巴戟天,菊花
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
桂枝,牡蛎,龙骨,甘草
枣仁,牡蛎,龙骨,桂心,甘草,芍药
朱砂,21克
珍珠母,麦冬,钩藤,磁石,地黄,地黄
枣仁,枣仁,远志,龙眼肉,党参,白术
颗块朱砂,獖猪心,灯心
茯神,枣仁,金箔,远志,龙齿,颗块大朱砂
茯神,远志,山药,五味子,山萸,莲须
远志,菖蒲,龟版,五味子,茱萸,人参
远志,菖蒲,琥珀末,丹参,旋覆花,半夏
朱砂,琥珀,白附子,京墨,血苗灰,黑衣
茯神,枣仁,麦门冬,地黄,枸杞,知母
牡丹,肉苁蓉,覆盆子,鹿角胶,地黄,黑附子
枸杞,肉苁蓉,乌犀角,拣人参,麦门冬,山药
黄精,枸杞,甘桑椹,麦门冬,地黄,地黄
远志,巴戟,菖蒲,肉苁蓉,地黄,枸杞
朱砂,苏枋,蓝叶,麝香,羚羊角,人参
朱砂,远志,琥珀,菖蒲,丹参,白芍
茯神,朱砂,枣仁,远志,琥珀,菖蒲
朱砂,檀香,天竺黄,琥珀,天南星,枳实
朱砂,天竺黄,琥珀,丹参,天南星,麝香
朱砂,珍珠,天竺黄,琥珀,钩藤,丹参
茯神,远志,菖蒲,天南星,人参,人乳
茯神,枣仁,远志,辰砂,琥珀,地黄
茯神,远志,羚羊角,人参,真琥珀,甘草
茯神,朱砂,枣仁,远志,琥珀,沉香
茯神,枣仁,远志,巴戟,辰砂,琥珀
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,丹参,山药
朱砂,珍珠,琥珀,丹参,龙涎香,麝香
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,天南星,蜈蚣,山药
茯神,朱砂,金箔,天竺黄,丹参,胆南星
茯神,朱砂,金箔,远志,天竺黄,铁粉
金箔,辰砂,丹参,天麻,麝香,犀角
金箔,天竺黄,铁粉,丹参,龙齿,麝香
茯神,朱砂,金箔,远志,铁粉,麦门冬
金箔,天竺黄,辰砂,皂荚仁,生白龙脑,白矾
金箔,天竺黄,辰砂,皂荚仁,生白龙脑,白矾
茯神,金箔,远志,辰砂,菖蒲,丹参
茯神,枣仁,合欢花,郁金,丹参,沉香
辰砂,明矾,天南星,半夏
茯神,朱砂,枣仁,远志,菖蒲,乳香
枣仁,远志,麦门冬,丹参,阿胶,白芍
枣仁,远志,麦冬,丹参,泽兰,丹皮
朱砂,琥珀,钩藤,牵牛,丹参,天麻
钱,土鳖虫,2钱,熟军,自然铜,乳香
朱砂,减半,雄黄,山栀仁,黄柏,黄芩
随风子,谷蘖,大腹子,枇杷叶,薏仁,沉香
川姜,干蝎,天南星,天麻,白附子,半夏
茯神,远志,菖蒲,麦冬,钩藤,丹参
枣仁,远志,地黄,枳实,竹茹,半夏
茯神,枣仁,远志,菖蒲,柏子仁,人参
朱砂,枣仁,远志,菖蒲,地黄,柏子仁
茯神,远志,半夏,茯苓,紫苏,厚朴
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞
川姜,干蝎,天南星,天麻,白附子,半夏
茯神,枣仁,远志,麦冬,石斛,白芍
茯神,远志,麦冬,知母,犀角,羚羊角
茯神,巴戟,肉苁蓉,阳起石,黑附子,沉香
肉桂心,生川连
琥珀,茯苓,香附
檀香,石灰华,红景天,高山辣根菜,榜嘎,洪连
檀香,石灰华,红景天,高山辣根菜,榜嘎,洪连
珍珠母,太子参,地黄,菟丝子,山药,何首乌
远志,菖蒲,龟甲,龙骨
茯神,远志,麦门冬,地黄,龙齿,天门冬
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,朱砂,琥珀,郁金,丹参,沉香
山药,磁石,控干,锉,椒等洗,菟丝子
巴戟,肉蔻,钟乳,阳起石,灵砂,葫芦芭
辰砂,蝎梢,真麝香1字,蜈蚣,半夏,白僵蚕
干百合,蜂蜜
茯神,枣仁,半夏,五味子,人参,当归
茯神,枣仁,金箔,远志,辰砂,琥珀
茯神,枣仁,远志,黄耆,当归,罗参
茯神,天竺黄,钩藤,胆南星,贝母,防风
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,麝香,人参
茯神,朱砂,枣仁,远志,麦门冬,龙齿
茯神,远志,菖蒲,麦冬,丹参,丹参
茯神,紫石英,肉苁蓉,地黄,芡实,韭子
