半夏,白芥子,诃黎勒,薏仁,白术,肉桂
黄芪,水牛角浓缩粉,党参,郁金,薄荷,黄芩
天南星,银箔,金箔,朱砂,川甜消,脑子
天竺黄,天南星,生龙脑,金箔,腻粉,白矾
银箔,龙脑,金箔,朱砂,牙消,蛤粉
天竺黄,天南星,朱砂,琥珀,僵蚕,全蝎
天竺黄,真珠,龙脑,朱砂,黄芩,升麻
百部,陈皮,桔梗,元参,麦冬,花粉
贝母,半夏,远志,陈皮,黄芩,茯苓
半夏,天南星,远志,金箔,陈皮,辰砂
半夏,紫菀,杏仁,桔梗,葶苈,陈皮
半夏,杏仁,缩砂仁,桔梗,陈皮,紫苏
半夏,杏仁,桔梗,陈皮,紫苏,前胡
紫菀,款冬花,桔梗,麦冬,天冬,牛膝
远志,辰砂,麦门冬,菖蒲,白术,丹参
半夏,杏仁,远志,桔梗,陈皮,麦冬
银箔,远志,金箔,朱砂,真珠末,琥珀
天南星,黑附子,白附子,白术,茯苓
贝母,薄荷,枇杷叶,小木通,桑叶,金银花
贝母,半夏,桔梗,陈皮,枳实,山楂
粳米,陈茶叶
半夏,丁香,术香,全蝎,槟榔,砂仁
半夏,天南星,山芋,远志,辰砂,天麻
天南星,二,辰砂,天麻,白附子,白芷
天南星,辰砂,天麻,白附子,白芷,麝香
半夏,天南星,辰砂,白矾
半夏,天南星,陈皮,皂角,神曲,白矾
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,生姜,茯苓,甘草
粳米,白糖,茶叶
半夏,陈皮,神曲,茱萸,茯苓,砂仁
半夏,陈皮,茱萸,茯苓,黄连,苍术
山芋,陈皮,肉苁蓉,麦门冬,五味子,牛膝
半夏,陈皮,柴胡,生姜,甘草
贝母,半夏,桔梗,夏枯草,柴胡,黄芩
半夏,薄荷,红花,苏叶,柴胡,黄芩
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,杏仁,桔梗,白糖,枇杷叶,杨梅香精
贝母,桔梗,薄荷,枇杷叶
