红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,生地,白芍
红花,刘寄奴,姜黄,芥子,川芎,桑枝
虎杖,茜草,生鳖甲,赤芍,郁金,全瓜蒌
地龙,荆芥,防风,川芎,全蝎,细辛
紫荆皮,没药,乳香,甘草,白芷
桃仁,牡丹,虫,石苇,人参,葶苈
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,血琥珀,鸡血藤膏,麒麟竭
桃仁,红花,当归尾,川芎,薤白,牛膝
香油,三七,没药,樟脑,冰片,乳香
没药,全蜈蚣,皂刺,山甲,乳香,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,白芍药,香附
红花,三七,苏木,赤芍,乳香,生地
桃仁,虫,杏仁,干地黄,蛴螬,芍药
地龙,自然铜,没药,肉桂,丹皮,乳香
丹参,泽兰,黑豆,玄胡,赤芍,香附
桃仁,丹参,没药,苏木,乳香,荆芥
红花,鸡血藤,黄耆,炼蜜,胆草,当归
桃仁,红花,赤芍,三棱,川芎,夏枯草
玄胡,没药,丹皮,紫花地丁,赤芍,红藤
桃仁,红花,玄胡,赤芍,红藤,香附
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,穿山甲,大黄,当归
虫,全虫,蜈蚣,川山甲
桃仁,红花,玄胡,五灵脂,丹皮,乌药
桃仁,红花,灵脂,玄胡,丹皮,乌药
丹参,乌药,郁金,黄芩,川楝,百合
桃仁,牡丹,茯苓,芍药,桂枝
桃仁,丹皮,茯苓,芍药,桂枝
桃仁,红花,泽兰,归尾,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,芍药,当归,甘草
没药,元胡,丹皮,紫花地丁,银花,红藤
红花,酒精,75
丹参,龙齿,参三七,豆豉,荆芥,姜川连
紫苏,肉桂,乌药,赤芍,何首乌,防风
红花,紫苏,苏木,赤芍,乳香,黄柏
归尾,伸筋草,松节,姜黄,活,海桐皮
香油,没药,儿茶面,红粉,血竭面,蜂蜡
桃仁,红花,当归尾,赤芍,白蒺藜,荆芥
桃仁,归尾,玄胡,赤芍,防风,川芎
蝙蝠,骨碎补,补骨脂,当归,大黄,桂
丹参,泽兰,金钱草,茯苓皮,黄芪,炮甲
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,防风,酒归尾,木香
刘寄奴,酒生地,苏木,赤芍,川芎,血竭
红花,珍珠,熊胆,灵芝,冰片等,蟾酥
没药,肉桂,乳香,熟地,黄芪,附子
桃仁,红花,红花,玄胡,黑豆,五灵脂
丹参,红花,虫,秦艽,血通,牛膝
桃仁,丹参,赤芍,三棱,川芎,穿山甲
桃仁,丹参,赤芍,三棱,川芎,穿山甲
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,香附,川芎,当归
桃仁,红花,五灵脂,没药,当归尾,姜黄
茜草,香油,刘寄奴,透骨草,伸筋草,松节
鸡血藤,双花,元参,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,赤芍,黄芩,栀子
丹参,泽兰,玄胡,鸡血藤,没药,元参
蒲公英,丹皮,冬瓜子,犀黄丸,川军,赤小豆
香油,章丹
丹参,红花,赤芍,川芎,降香
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,没药,土鳖虫,熟军,乳香,血竭
桃仁,红花,附子,党参,白术,甘草
红花,乌药,茯苓,川芎,牛膝,穿山甲
桃仁,益母草,川芎,炮姜,芥穗,当归
没药,瓜蒌,橘核,荔核,乳香,当归
桃仁,红花,归尾,炮山甲,赤芍,板蓝根
桃仁,红花,白芍药,川芎,熟地黄,当归
茅根,丹皮,蒲黄,川芎,栀子,芍药
丹参,茜草,元参,土贝母,赤芍,黄柏
秦皮,酒黄芩,丹皮,赤芍,木通,生地
茅根,茜草,鸡血藤,仙鹤草,丹皮,旱莲草
红花,赤芍,黄耆,地锦草,人参1,川芎
丹参,红花,鸡血藤,丹皮,熟地,黄精
桃仁,丹参,红花,赤芍,生地,田七
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,昆布,海金砂,白芍
泽兰,郁金,香附,山栀,枳实,川楝
丹参,赤芍,沙参,茯苓,川芎,枳实
没药,凌霄花,赤芍,当归,桂心,木香
红花,五灵脂,赤芍,生地,川芎,黄芩
炉甘石,珍珠,冰片,硼砂,牛黄,麝香
丹参,牡丹,败酱,茯苓,薏苡仁,芍药
归尾,草决,蒺藜,荆芥,生地,防风
玄胡,肉桂,槟榔,苍术,三棱,缩砂
