红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,白芍,生地
红花,刘寄奴,姜黄,芥子,川芎,羌活
虎杖,茜草,生鳖甲,蚤休,全瓜蒌,郁金
地龙,荆芥,防风,川芎,全蝎,细辛
没药,紫荆皮,乳香,甘草,白芷
桃仁,牡丹,石苇,虫,桂枝,芍药
自然铜,没药,土鳖,乳香
黑豆,三七,骨碎补,鸡血藤膏,血琥珀,麒麟竭
桃仁,红花,当归尾,川芎,牛膝,薤白
香油,没药,三七,樟脑,冰片,乳香
没药,皂刺,山甲,全蜈蚣,乳香,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,白芍药,川芎
红花,三七,苏木,赤芍,生地,乳香
桃仁,虫,水蛭,虻虫,干地黄,蛴螬
地龙,没药,自然铜,丹皮,肉桂,乳香
丹参,泽兰,黑豆,玄胡,赤芍,香附
桃仁,丹参,没药,苏木,防风,荆芥
红花,鸡血藤,黄耆,当归,胆草,炼蜜
桃仁,红花,三棱,赤芍,夏枯草,川芎
玄胡,没药,丹皮,红藤,紫花地丁,赤芍
桃仁,红花,玄胡,红藤,炮姜,川楝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,大黄,穿山甲,当归,瓜蒌根
虫,全虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,丹皮,乌药
桃仁,红花,玄胡,灵脂,丹皮,乌药
丹参,郁金,乌药,川楝,黄芩,柴胡
桃仁,牡丹,桂枝,芍药,茯苓
桃仁,丹皮,桂枝,芍药,茯苓
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,当归,甘草
没药,元胡,红藤,丹皮,银花,紫花地丁
红花,75,酒精
