丹参,川芎,甘草,莲子心,当归,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,黄连,大黄,地龙,黄芩
艾曲,椒目,细辛,桂,黑附子,干姜
葱,油,活鲤鱼,苎麻根,姜,盐
香油,冰片面,白蜡,青黛面,红粉面,煅蛤粉
没药,葶苈,乳香,大戟,甘遂,黑牵牛
辅料,丛枝蓼,白花败酱草
车前子,青粱米
粳米,车前子
葱,赤小豆,辣椒,活鲤鱼1尾,鸡汤,姜
大腹子,紫苏,桑白皮,人参,陈皮,五味子
没药,蟾酥,血竭,乳香,铜绿,硼砂
没药,蟾酥,乳香,铜绿,寒水石,枯矾
花椒,铜绿,李仁,青盐,防风,白矾
粳米,白糖,茶叶
冰片,没药,乳香,赤芍,川军,贝母
葶苈,紫苏,琥珀,郁李仁,陈皮,防己
甘遂,续随子,黑牵牛,全蝎,白牵牛,萝卜子
连翘,板蓝根,白花蛇舌草,贝母,射干,荆芥
白胶香,蓖麻子仁
橘核,青盐,通草,煨莪术,煨三棱,酒炒破故纸
冰片,龙衣,枯矾,胭脂,麝香5厘,陈皮
西丹参,西月石,西瓜霜,老式大泥冰,濂珠,飞青黛
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠,枣仁
西月石,玄明粉,炒僵蚕,飞辰砂,梅冰
冰片,硼砂,山豆根,青黛,明矾丹参,皮硝
青鱼胆,硼砂,贝母,马勃,人指甲,人中白
大梅片,真熊胆,瓜制枪消,白玄明粉,明雄精,明硼砂
紫荆皮,白芷,赤豆,菖蒲,独活
木蜡,白芷,川紫荆皮,独活,芍药
白芷,液状石腊,冰片粉,辛夷,苍耳子,薄荷
赤芍,蒲公英,三七,土鳖虫,自然铜,透骨草
没药,赤芍,乳香,五倍子,自然铜,苏木
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,雄黄,皂矾,朱砂,火消
黄丹,油,油,商陆根,白蜡,柳白皮
没药,乳香,白蜡,密陀僧,铅粉,黄蜡
