五灵脂,牛膝,木鳖子,巴戟,菟丝子,虎骨
枸杞,五味子,地黄,地黄,麦门冬,山药
牛膝,覆盆子,菟丝子,白酒,枸杞,麦冬
薏仁,木瓜,枇杷叶,白蔻壳,苍术,石斛
牛膝,覆盆子,巴戟,菟丝子,枸杞,麦冬
牛膝,覆盆子,菟丝子,萆薢,枸杞,拣参
青蒿子,天仙藤,苍术,黄耆,茴香,厚朴
黑牵牛,菖蒲,木贼,全蝎,茱萸,枳壳
肉苁蓉,枸杞,巴戟天,菊花
威灵仙,苍术,仙茅,何首乌,菖蒲,白丑
川椒,苍术,茴香,熟地,川乌,山药
苍术
苍术不拘多少
苍术
牛膝,蛇床子,菟丝子,木瓜,鹿茸,肉苁蓉
牛膝,菟丝子,鹿茸,苁蓉,黑附子
牛膝,覆盆子,菟丝子,枸杞,肉苁蓉,山芋
菟丝子,磁石,牛酥,雄雀粪,桂心,雄黄
鹿茸,沉香,麝香
牛膝,菟丝子,枸杞,肉苁蓉,五味子,仙灵脾
牛膝,巴戟,石斛,破故纸,沉香,茴香
菟丝子,破故纸,沉香,没药,胡桃肉,乳香
牛膝,虎骨,龟版,地黄,知母,锁阳
覆盆子,枸杞,金樱子膏,续断,白蒺藜,山萸
生芩,拣参,鼠苓,地黄,地黄,麦门冬
牛膝,川椒,破故纸,茴香,巴戟天,青盐
牛膝,蛇床子,卷柏,川椒,石斛,肉苁蓉
牛膝,菟丝子,地黄,远志,地骨皮,枳壳
威灵仙,乌头,破故纸,茴香,葫芦巴,高良姜
威灵仙,乌头,苍术,巴戟天,芍药
牛膝,菟丝子,五味子,沉香,破故纸,茴香
牛膝,地龙,枸杞,鹿茸,骨碎补,沉香
牛膝,萆薢,破故纸,茴香,巴戟天,狗脊
萆薢,桂,厚朴,黑附子,荆三棱,当归
牛膝,萆薢,薏仁,菖蒲,天台乌药
牛膝,三七,肉苁蓉,沉香,破故纸,骨碎补
覆盆子,蛇床子,川椒,卷柏,地黄,桂心
牛膝,菟丝子,枸杞,肉苁蓉,龟版,五味子
牛膝,枸杞,鹿角霜,五味子,黄耆,杜仲
菟丝子,鹿角霜,地黄,鹿角胶,柏子仁
乌头,蛇床子,草乌,莨菪子,马蔺子,黑附子
代赭石,人中黄,磁石,没药,禹余粮,赤石脂
肉苁蓉,枸杞,破故纸,黄耆,何首乌,人乳
牛膝,枸杞,杜仲,生地,五加皮,当归
牛膝,知母,何首乌,茱萸,柏子仁,当归
代赭石,伏火朱砂,石中黄,真磁石,没药,禹余粮
木鳖子,独活,茴香,茴香,地黄,地黄
牛膝,虎骨,枸杞,麦冬,川椒,苍术
枸杞,三七,木瓜,骨碎补,破故纸,黄耆
破故纸,薏仁,虎骨,骨碎补,杜仲,生地
枸杞,三七,木瓜,骨碎补,破故纸,黄耆
牛膝,蛇床子,木鳖子,麦冬,鹿茸,五味子
牛膝,巴戟,枸杞,肉苁蓉,五味子,茴香
苍术,厚朴,甘草,陈皮
牛膝,杜仲,地黄,黑附子,芍药,白术
牛膝,黄耆,杜仲,地黄,黑附子,芍药
牛膝,黄耆,杜仲,地黄,黑附子,芍药
牛膝,巴戟,菟丝子,萆薢,鹿茸,石斛
五灵脂,金箔200箔,麝香净肉,细香墨,没药,黑附子
小草,川椒,杏仁,远志,厚朴,桂心
大朱砂
糯米5斗,面曲,地黄
牛膝,地黄,五加皮
覆盆子,菟丝子,白酒,木鳖子,地龙,肉苁蓉
牛膝,覆盆子,木鳖子,萆薢,地龙,川椒
牛膝,萆薢,黄耆,杜仲,地黄,黑附子
