丹参,川芎,甘草,当归,莲子心,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连,槟榔
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,黄连,地龙,大黄,黄芩
艾曲,椒目,桂,细辛,黑附子,干姜
葱,油,活鲤鱼,苎麻根,糯米,姜
香油,冰片面,轻粉面,黄柏,待温浓时再兑,白蜡
没药,葶苈,大戟,乳香,甘遂,黑牵牛
丛枝蓼,辅料,白花败酱草
车前子,青粱米
粳米,车前子
赤小豆,葱,鸡汤,活鲤鱼1尾,辣椒,姜
大腹子,紫苏,桑白皮,人参,陈皮,五味子
没药,血竭,硼砂,蟾酥,乳香,铜绿
没药,蟾酥,乳香,铜绿,枯矾,寒水石
花椒,铜绿,李仁,青盐,菊花,黄连
粳米,白糖,茶叶
冰片,没药,川军,赤芍,乳香,花粉
葶苈,紫苏,郁李仁,琥珀,沉香,防己
续随子,甘遂,黑牵牛,全蝎,萝卜子,白牵牛
板蓝根,连翘,贝母,白花蛇舌草,射干,荆芥
蓖麻子仁,白胶香
橘核,青盐,煨三棱,酒炒破故纸,煨莪术,荔枝核
冰片,枯矾,龙衣,胭脂,麝香5厘,陈皮
西瓜霜,西月石,西丹参,老式大泥冰,飞青黛,濂珠
大梅片,瓜制枪消,真熊胆,关犀黄,珍珠,枣仁
玄明粉,西月石,炒僵蚕,飞辰砂,梅冰
冰片,硼砂,山豆根,青黛,明矾丹参,皮硝
硼砂,贝母,马勃,青鱼胆,人指甲,梅片5厘
大梅片,瓜制枪消,真熊胆,白玄明粉,明雄精,明硼砂
赤豆,白芷,紫荆皮,菖蒲,独活
白芷,木蜡,川紫荆皮,独活,芍药
白芷,薄荷,苍耳子,液状石腊,冰片粉,辛夷
蒲公英,土鳖虫,三七,赤芍,自然铜,黄柏
没药,五倍子,赤芍,乳香,自然铜,苏木
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,雄黄,皂矾,火消,水银
油,油,黄丹,商陆根,柳白皮,白蜡
