丹参,川芎,甘草,莲子心,当归,朱砂
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,栀子,薄荷,桔梗,黄连,槟榔
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,大黄,黄连,地龙,黄芩
艾曲,椒目,细辛,黑附子,干姜,桂
葱,油,活鲤鱼,苎麻根,姜,盐
香油,白蜡,冰片面,铜绿面,黄柏,红粉面
没药,葶苈,大戟,乳香,甘遂,黑牵牛
白花败酱草,丛枝蓼,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,鸡汤,辣椒,活鲤鱼1尾,姜
大腹子,紫苏,桑白皮,人参,五味子,陈皮
血竭,没药,蟾酥,硼砂,乳香,铜绿
没药,蟾酥,乳香,铜绿,枯矾,寒水石
花椒,铜绿,李仁,青盐,菊花,白矾
粳米,白糖,茶叶
冰片,没药,赤芍,乳香,川军,花粉
葶苈,紫苏,郁李仁,琥珀,沉香,防己
续随子,甘遂,黑牵牛,全蝎,白牵牛,萝卜子
板蓝根,贝母,连翘,白花蛇舌草,射干,荆芥
蓖麻子仁,白胶香
橘核,青盐,煨莪术,煨三棱,酒炒破故纸,荔枝核
冰片,枯矾,龙衣,麝香5厘,胭脂,陈皮
西瓜霜,西丹参,西月石,飞青黛,濂珠,老式大泥冰
大梅片,瓜制枪消,珍珠,真熊胆,关犀黄,枣仁
玄明粉,西月石,炒僵蚕,飞辰砂,梅冰
冰片,硼砂,青黛,明矾丹参,山豆根,皮硝
硼砂,贝母,马勃,珍珠,人中白,梅片5厘
大梅片,瓜制枪消,珍珠,真熊胆,明硼砂,白玄明粉
紫荆皮,白芷,赤豆,菖蒲,独活
川紫荆皮,白芷,木蜡,独活,芍药
白芷,苍耳子,薄荷,麻油,冰片粉,液状石腊
蒲公英,三七,赤芍,土鳖虫,自然铜,透骨草
没药,五倍子,乳香,赤芍,自然铜,无名异
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
硼砂,食盐,雄黄,火消,朱砂,皂矾
油,油,白蜡,黄丹,商陆根,柳白皮
