红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,当归,白芍
红花,刘寄奴,姜黄,芥子,当归,路通
虎杖,茜草,全瓜蒌,蚤休,赤芍,生鳖甲
地龙,防风,荆芥,川芎,全蝎,细辛
紫荆皮,没药,乳香,甘草,白芷
桃仁,牡丹,虫,石苇,大黄,芍药
自然铜,没药,土鳖,乳香
黑豆,三七,骨碎补,血琥珀,鸡血藤膏,当归
桃仁,红花,当归尾,薤白,栝楼,川芎
香油,三七,没药,樟脑,乳香,冰片
全蜈蚣,没药,山甲,皂刺,乳香,天花粉
丹参,杜仲,芎藭
桃仁,泽兰,红花,丹皮,白芍药,青皮
红花,三七,乳香,赤芍,苏木,当归
桃仁,虫,杏仁,虻虫,干地黄,芍药
地龙,自然铜,没药,丹皮,肉桂,乳香
丹参,泽兰,黑豆,玄胡,赤芍,香附
桃仁,丹参,没药,乳香,苏木,防风
红花,鸡血藤,当归,黄耆,炼蜜,胆草
桃仁,红花,赤芍,夏枯草,三棱,莪术
玄胡,没药,丹皮,紫花地丁,乳香,赤芍
桃仁,红花,玄胡,炮姜,红藤,赤芍
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,当归,大黄,穿山甲,瓜蒌根
虫,全虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,丹皮,乌药
桃仁,红花,灵脂,玄胡,丹皮,乌药
丹参,乌药,郁金,川楝,黄芩,柴胡
桃仁,牡丹,芍药,茯苓,桂枝
桃仁,丹皮,芍药,茯苓,桂枝
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,当归,芍药,甘草
元胡,没药,丹皮,银花,紫花地丁,乳香
红花,75,酒精
丹参,豆豉,姜川连,龙齿,参三七,荆芥
紫苏,乌药,肉桂,何首乌,赤芍,防风
红花,紫苏,乳香,赤芍,青皮,苏木
归尾,松节,伸筋草,姜黄,海桐皮,羌
香油,没药,红粉,乳香,儿茶面,冰片
桃仁,红花,赤芍,当归尾,荆芥,白蒺藜
桃仁,归尾,玄胡,赤芍,防风,半夏
蝙蝠,骨碎补,补骨脂,当归,大黄,桂
丹参,泽兰,金钱草,黄芪,炮甲,茯苓皮
丹参,没药,乳香,当归
