红花,三七,山楂,川芎,葛根
红花,三七,山楂,川芎,葛根
桃仁,丹参,红花,赤芍,川芎,白芍
红花,刘寄奴,芥子,姜黄,川芎,桑枝
虎杖,茜草,全瓜蒌,蚤休,赤芍,郁金
地龙,川芎,荆芥,防风,全蝎,细辛
没药,紫荆皮,乳香,甘草,白芷
桃仁,牡丹,虫,石苇,桂枝,人参
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,血琥珀,鸡血藤膏,牛膝
桃仁,红花,当归尾,川芎,牛膝,薤白
香油,三七,没药,樟脑,冰片,乳香
没药,皂刺,山甲,全蜈蚣,乳香,天花粉
丹参,杜仲,芎藭
桃仁,泽兰,红花,丹皮,川芎,白芍药
红花,三七,苏木,川芎,乳香,赤芍
桃仁,虫,虻虫,杏仁,干地黄,水蛭
地龙,自然铜,丹皮,没药,肉桂,乳香
丹参,泽兰,黑豆,玄胡,赤芍,香附
桃仁,丹参,没药,苏木,川芎,乳香
红花,鸡血藤,黄耆,当归,胆草,炼蜜
桃仁,红花,赤芍,川芎,三棱,夏枯草
玄胡,丹皮,没药,紫花地丁,赤芍,乳香
桃仁,红花,玄胡,赤芍,炮姜,桂枝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,瓜蒌根,当归,大黄
虫,全虫,蜈蚣,川山甲
桃仁,红花,玄胡,五灵脂,丹皮,川芎
桃仁,红花,玄胡,灵脂,丹皮,川芎
丹参,郁金,川楝,乌药,柴胡,百合
桃仁,牡丹,桂枝,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,泽兰,归尾,红花,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,当归,甘草
元胡,没药,丹皮,紫花地丁,乳香,银花
红花,酒精,75
丹参,姜川连,参三七,豆豉,龙齿,荆芥
紫苏,肉桂,赤芍,何首乌,川芎,香附
红花,紫苏,苏木,赤芍,黄柏,乳香
归尾,松节,伸筋草,海桐皮,活,羌
香油,没药,蜂蜡,红粉,儿茶面,冰片
桃仁,红花,赤芍,白蒺藜,荆芥,当归尾
桃仁,归尾,玄胡,赤芍,川芎,防风
蝙蝠,骨碎补,补骨脂,当归,大黄,桂
丹参,泽兰,金钱草,黄芪,炮甲,茯苓皮
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,防风,酒归尾,木香
刘寄奴,酒生地,赤芍,川芎,苏木,血竭
红花,珍珠,冰片等,灵芝,熊胆,蟾酥
没药,肉桂,乳香,熟地,黄芪,炮姜
桃仁,红花,红花,玄胡,黑豆,五灵脂
丹参,红花,虫,虻虫,秦艽,水蛭
桃仁,丹参,赤芍,川芎,三棱,莪术
桃仁,丹参,赤芍,川芎,三棱,莪术
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,川芎,香附,党参
桃仁,红花,虻虫,五灵脂,没药,姜黄
