红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,白芍,生地
红花,刘寄奴,姜黄,芥子,川芎,当归
虎杖,茜草,生鳖甲,蚤休,赤芍,全瓜蒌
地龙,防风,荆芥,全蝎,川芎,细辛
没药,紫荆皮,乳香,甘草,白芷
桃仁,虫,牡丹,石苇,桂枝,葶苈
自然铜,没药,乳香,土鳖
三七,黑豆,骨碎补,血琥珀,鸡血藤膏,麒麟竭
桃仁,红花,川芎,牛膝,薤白,栝楼
三七,香油,樟脑,没药,冰片,乳香
没药,山甲,皂刺,全蜈蚣,乳香,天花粉
丹参,杜仲,芎藭
桃仁,泽兰,红花,丹皮,白芍药,川芎
红花,三七,苏木,赤芍,乳香,生地
桃仁,虫,虻虫,水蛭,干地黄,杏仁
地龙,自然铜,没药,丹皮,肉桂,乳香
丹参,泽兰,玄胡,黑豆,赤芍,楂炭
桃仁,丹参,没药,苏木,防风,荆芥
红花,鸡血藤,黄耆,炼蜜,胆草,当归
桃仁,红花,赤芍,莪术,三棱,川芎
玄胡,没药,丹皮,红藤,紫花地丁,赤芍
桃仁,红花,玄胡,红藤,炮姜,赤芍
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,大黄,穿山甲,当归,瓜蒌根
虫,全虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,丹皮,乌药
桃仁,红花,玄胡,丹皮,灵脂,乌药
丹参,乌药,郁金,川楝,黄芩,柴胡
桃仁,牡丹,桂枝,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,泽兰,红花,归尾,玄胡,牛膝
桃仁,丹参,赤芍,莪术,三棱
桃仁,丹参,赤芍,莪术,三棱
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,当归,芍药,熟干地黄
没药,元胡,丹皮,红藤,紫花地丁,银花
红花,75,酒精
丹参,豆豉,荆芥,姜川连,龙齿,丁香
紫苏,肉桂,防风,乌药,何首乌,赤芍
红花,紫苏,苏木,赤芍,莪术,黄柏
归尾,松节,伸筋草,羌,海桐皮,姜黄
香油,没药,蜂蜡,冰片,乳香,血竭面
桃仁,红花,荆芥,赤芍,白蒺藜,蝉衣
桃仁,归尾,玄胡,防风,赤芍,川芎
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
丹参,泽兰,金钱草,黄芪,炮甲,泽泻
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,莪术,三棱
红花,丹皮,防风,赤芍,酒归尾,木香
刘寄奴,血竭,酒生地,赤芍,苏木,川芎
红花,珍珠,灵芝,冰片等,熊胆,蟾酥
没药,肉桂,熟地,乳香,炮姜,黄芪
桃仁,红花,红花,玄胡,黑豆,五灵脂
丹参,红花,虫,虻虫,水蛭,秦艽
桃仁,丹参,赤芍,莪术,三棱,大黄
桃仁,丹参,赤芍,莪术,三棱,大黄
丹参,三七,茜草,赤芍,降香
丹参,三七,益母草,党参,川芎,当归
桃仁,红花,五灵脂,虻虫,姜黄,没药
香油,茜草,刘寄奴,透骨草,松节,伸筋草
鸡血藤,元参,双花,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,虻虫,水蛭,赤芍
丹参,泽兰,玄胡,鸡血藤,没药,元参
蒲公英,土贝母,败酱草,冬瓜子,犀黄丸,丹皮
香油,章丹
丹参,红花,赤芍,川芎,降香
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,玄胡,黑豆,益母草,苏木
自然铜,没药,熟军,土鳖虫,血竭,乳香
桃仁,红花,党参,附子,白术,甘草
红花,乌药,穿山甲,川芎,泽泻,茯苓
桃仁,益母草,炮姜,芥穗,川芎,当归
没药,瓜蒌,橘核,荔核,乳香,当归
桃仁,归尾,红花,炮山甲,熟地,板蓝根
桃仁,红花,白芍药,川芎,当归,熟地黄
茅根,丹皮,蒲黄,栀子,川芎,当归
丹参,茜草,元参,土贝母,赤芍,黄柏
秦皮,酒黄芩,丹皮,木通,赤芍,生地
茅根,茜草,鸡血藤,仙鹤草,丹皮,旱莲草
红花,赤芍,黄耆,地锦草,白术1,川芎
丹参,红花,鸡血藤,丹皮,熟地,玉竹
桃仁,丹参,红花,赤芍,生地,川芎
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,昆布,海金砂,白芍
泽兰,郁金,山栀,川楝,香附,枳实
丹参,赤芍,麦冬,沙参,川芎,枳实
没药,凌霄花,赤芍,当归,木香,桂心
红花,五灵脂,赤芍,生地,川芎,当归
炉甘石,珍珠,冰片,麝香,硼砂,牛黄
丹参,牡丹,败酱,茯苓,薏苡仁,麦门冬
归尾,草决,蒺藜,防风,荆芥,白芍
玄胡,肉桂,槟榔,莪术,缩砂,三棱
丹参,茜草,王不留行,清风藤,黄柏,薏米仁
地龙,玄胡,没药,赤小豆,冰片,乳香
归尾,红花,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,郁金,赤芍,当归,青皮
桃仁,丹参,泽兰,红花,蒲公英,王不留行
地龙,仙灵脾,盐黄柏,盐知母,肉桂,木通
丹参,牡蛎,白花蛇舌草,郁金,黄芪,白芍
丹参,地龙,王不留行,橘叶,川楝,皂角刺
丹参,海藻,瓜蒌,橘核,牡蛎,昆布
红花,三七,樟脑,冰片,龙血竭,薄荷脑
桃仁,地龙,红花,没药,灵脂,秦艽
红花,蒲黄,黄芪,三棱,党参,川芎
桃仁,生地,大黄,当归,人参,黄芩
玄胡,广郁金,白芍,乳香,香附,枳实
桃仁,泽兰,红花,牛膝,酒丹参,香附
桃仁,黑姜,川芎,当归,炙草
红花,干葛,苏叶,防风,升麻,半夏
灵脂,元胡,没药,香附
玄胡,五灵脂,没药,蒲黄,赤芍,川芎
五灵脂,蒲黄
茅根,半枝莲,金钱草,石苇,木通,海金砂
桃仁,半夏,吴萸,黄连,陈皮
干葛,山楂,生甘草,升麻,当归,僵蚕
玄胡,丹皮,北芍药,蓬术,川芎,当归
灵脂,元胡,熟军,丹皮,藏红花,炮姜
桃仁,红花,元胡,黄柏,桂枝,川芎
红花,山楂,乌药,香附,青皮,泽泻
桃仁,丹参,红花,归尾,乳香,牛膝
桃仁,当归,干漆,芍药,甘草,芎藭
桃仁,蒲黄,大黄,大枣,消石,甘草
桃仁,赤芍,三棱,当归,白术,鳖甲
桃仁,红花,丹皮,郁金,赤芍,山栀
莪茂,丹皮,川芎,当归,牛膝,人参
红花,自然铜,没药,苏木,乳香,丁香
没药,丹皮,骨碎补,芥子,肉桂,五加皮
丹参,地龙,鸡血藤,蜈蚣,地鳖虫,黄芪
桃仁,红花,路路通,赤芍,生地,川芎
丹参,没药,瓜蒌,乳香,金银花,血竭
桃仁,红花,赤芍,生地,川芎,当归
玄胡,苦楝,川芎,地黄,当归,芍药
玄胡,当归
