红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,赤芍,生地,白芍
红花,刘寄奴,姜黄,芥子,川芎,当归
虎杖,茜草,生鳖甲,赤芍,蚤休,白芍
地龙,川芎,荆芥,防风,全蝎,细辛
没药,紫荆皮,乳香,白芷,甘草
桃仁,虫,牡丹,石苇,乌扇,大黄
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,鸡血藤膏,血琥珀,麒麟竭
桃仁,红花,当归尾,川芎,牛膝,薤白
香油,三七,没药,樟脑,乳香,冰片
没药,全蜈蚣,皂刺,山甲,乳香,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,白芍药,川芎
红花,三七,苏木,乳香,赤芍,生地
桃仁,虫,干地黄,大黄,虻虫,杏仁
自然铜,地龙,没药,丹皮,肉桂,乳香
丹参,泽兰,玄胡,黑豆,赤芍,香附
桃仁,丹参,没药,苏木,乳香,川芎
红花,鸡血藤,黄耆,当归,炼蜜,胆草
桃仁,红花,赤芍,三棱,川芎,莪术
玄胡,没药,丹皮,乳香,赤芍,红藤
桃仁,红花,玄胡,赤芍,炮姜,红藤
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,大黄,当归,穿山甲,瓜蒌根
虫,全虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,丹皮,赤芍
桃仁,红花,玄胡,灵脂,丹皮,赤芍
丹参,乌药,郁金,川楝,黄芩,百合
桃仁,牡丹,桂枝,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,泽兰,归尾,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,当归,芍药,干姜
元胡,没药,丹皮,乳香,紫花地丁,红藤
红花,75,酒精
丹参,姜川连,豆豉,龙齿,参三七,荆芥
紫苏,肉桂,何首乌,赤芍,乌药,川芎
红花,紫苏,苏木,乳香,赤芍,黄柏
归尾,姜黄,松节,伸筋草,落得打,活
香油,没药,儿茶面,蜂蜡,乳香,红粉
桃仁,红花,赤芍,当归尾,荆芥,白蒺藜
桃仁,归尾,玄胡,赤芍,川芎,防风
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
丹参,泽兰,金钱草,黄芪,茯苓皮,炮甲
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,防风,酒归尾,木香
刘寄奴,血竭,苏木,酒生地,赤芍,川芎
红花,珍珠,灵芝,熊胆,冰片等,牛黄
没药,肉桂,乳香,炮姜,熟地,黄芪
桃仁,红花,红花,玄胡,黑豆,五灵脂
丹参,红花,虫,秦艽,虻虫,水蛭
桃仁,丹参,赤芍,三棱,川芎,莪术
桃仁,丹参,赤芍,三棱,川芎,莪术
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,川芎,香附,当归
桃仁,红花,五灵脂,没药,姜黄,当归尾
香油,茜草,刘寄奴,松节,伸筋草,透骨草
鸡血藤,双花,元参,乳香,土茯苓,甘草
桃仁,玄胡,丹皮,赤芍,虻虫,大黄
丹参,泽兰,玄胡,鸡血藤,没药,元参
蒲公英,败酱草,土贝母,丹皮,川军,冬瓜子
香油,章丹
丹参,红花,赤芍,川芎,降香
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,玄胡,黑豆,益母草,苏木
自然铜,土鳖虫,没药,熟军,乳香,当归
桃仁,红花,党参,附子,白术,干姜
红花,乌药,川芎,独活,当归,穿山甲
桃仁,益母草,炮姜,川芎,当归,芥穗
没药,橘核,乳香,瓜蒌,荔核,当归
桃仁,红花,归尾,炮山甲,赤芍,白芍
桃仁,红花,白芍药,川芎,当归,熟地黄
茅根,丹皮,蒲黄,川芎,当归,栀子
丹参,茜草,土贝母,元参,赤芍,生地
秦皮,酒黄芩,丹皮,赤芍,生地,木通
茅根,茜草,鸡血藤,仙鹤草,丹皮,当归
红花,赤芍,黄耆,川芎,地锦草,白术1
丹参,红花,鸡血藤,丹皮,熟地,黄精
桃仁,丹参,红花,赤芍,生地,川芎
自然铜,土鳖虫,没药,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,白芍
泽兰,郁金,枳实,山栀,香附,川楝
丹参,赤芍,沙参,麦冬,川芎,枳实
没药,凌霄花,赤芍,当归,桂心,木香
红花,五灵脂,赤芍,生地,川芎,当归
炉甘石,珍珠,冰片,牛黄,麝香,硼砂
丹参,牡丹,败酱,薏苡仁,芍药,茯苓
归尾,草决,蒺藜,生地,白芍,川芎
玄胡,肉桂,槟榔,三棱,莪术,青皮
丹参,茜草,王不留行,黄柏,木瓜,牛膝
地龙,玄胡,没药,赤小豆,乳香,冰片
红花,归尾,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,赤芍,参三七,郁金,青皮
桃仁,丹参,红花,泽兰,蒲公英,没药
地龙,仙灵脾,盐黄柏,盐知母,肉桂,木通
丹参,牡蛎,白花蛇舌草,三棱,郁金,白芍
丹参,地龙,王不留行,橘叶,川楝,皂角刺
丹参,海藻,橘核,牡蛎,瓜蒌,昆布
红花,三七,樟脑,冰片,独活,麝香
桃仁,红花,地龙,灵脂,没药,秦艽
红花,蒲黄,三棱,川芎,黄芪,当归
桃仁,生地,大黄,当归,人参,黄芩
玄胡,广郁金,乳香,白芍,枳实,香附
桃仁,红花,泽兰,当归尾,香附,牛膝
桃仁,川芎,当归,黑姜,炙草
红花,干葛,川芎,升麻,香附,防风
元胡,灵脂,没药,香附
玄胡,五灵脂,没药,蒲黄,赤芍,川芎
五灵脂,蒲黄
茅根,半枝莲,金钱草,石苇,海金砂,木通
桃仁,半夏,吴萸,黄连,陈皮
干葛,生甘草,山楂,升麻,当归,僵蚕
玄胡,丹皮,北芍药,蓬术,川芎,当归
元胡,灵脂,丹皮,熟军,藏红花,赤芍
桃仁,红花,元胡,川芎,黄柏,苍术
红花,山楂,乌药,当归尾,香附,青皮
桃仁,丹参,红花,归尾,乳香,牛膝
桃仁,当归,芍药,干漆,芎藭,甘草
桃仁,蒲黄,大黄,消石,大枣,甘草
桃仁,赤芍,三棱,当归,白术,鳖甲
桃仁,红花,丹皮,赤芍,郁金,山栀
莪茂,丹皮,川芎,当归,牛膝,人参
红花,自然铜,没药,苏木,乳香,丁香
没药,丹皮,骨碎补,肉桂,五加皮,乳香
丹参,地龙,鸡血藤,地鳖虫,蜈蚣,黄芪
桃仁,红花,路路通,赤芍,生地,川芎
丹参,没药,乳香,瓜蒌,青皮,金银花
桃仁,红花,赤芍,生地,川芎,当归
玄胡,苦楝,川芎,当归,芍药,地黄
玄胡,当归
桃仁,赤芍,白芍,木通,荆芥,党参
海藻,干蟾,麦蘖,使君子,九肋鳖甲,夜明砂
蒲公英,没药,地鳖虫,乳香,大黄,木瓜
红花,透骨草,川山甲,蓬术,三棱,杏仁
炮山甲,麻仁,五倍子,乌梅,牡蛎,苦参
丹参,三七,山楂,冰片,川芎,郁金
茅根,山楂,凤尾草,过路黄
桃仁,丹参,自然铜,玄胡,没药,骨碎补
泽兰,山楂,王不留行,牡蛎,佛手,白芍
虎杖,半枝莲,仙灵脾,仙鹤草,鹿衔草,生鸡内金
桃仁,没药,金钱草,乳香,赤芍,三棱
桃仁,红花,玄参,生地,麦冬,熟地
泽兰,虎杖,蒲公英,酒大黄,土茯苓,板蓝根
虎杖,土鳖虫,樟脑,海风藤,过江龙,鹰不扑
桃仁,丹参,红花,地龙,鸡血藤,土鳖虫
苦楝皮,槐皮,雄黄
