丹参,川芎,甘草,当归,莲子心,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄芩,黄连
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,大黄,黄芩,地龙,黄连
艾曲,椒目,细辛,干姜,桂,黑附子
油,葱,活鲤鱼,苎麻根,糯米,姜
香油,白蜡,冰片面,轻粉面,用香油炸枯去滓滤净,青黛面
葶苈,没药,乳香,甘遂,大戟,黑牵牛
白花败酱草,辅料,丛枝蓼
车前子,青粱米
粳米,车前子
赤小豆,葱,鸡汤,活鲤鱼1尾,辣椒,姜
大腹子,紫苏,桑白皮,人参,陈皮,五味子
蟾酥,血竭,没药,乳香,硼砂,铜绿
蟾酥,没药,乳香,铜绿,蜗牛,寒水石
花椒,李仁,铜绿,青盐,防风,白矾
粳米,白糖,茶叶
冰片,没药,乳香,川军,赤芍,花粉
葶苈,紫苏,郁李仁,琥珀,沉香,防己
续随子,甘遂,黑牵牛,全蝎,白牵牛,萝卜子
板蓝根,连翘,贝母,白花蛇舌草,射干,荆芥
蓖麻子仁,白胶香
橘核,荔枝核,煨三棱,煨莪术,酒炒破故纸,青盐
冰片,龙衣,枯矾,麝香5厘,胭脂,陈皮
西月石,西瓜霜,西丹参,老式大泥冰,濂珠,飞青黛
大梅片,关犀黄,瓜制枪消,真熊胆,珍珠,枣仁
西月石,玄明粉,飞辰砂,炒僵蚕,梅冰
冰片,硼砂,青黛,山豆根,明矾丹参,皮硝
硼砂,马勃,人指甲,青鱼胆,梅片5厘,贝母
大梅片,瓜制枪消,真熊胆,明雄精,直僵蚕,白玄明粉
赤豆,紫荆皮,白芷,菖蒲,独活
木蜡,川紫荆皮,白芷,独活,芍药
白芷,薄荷,冰片粉,苍耳子,辛夷,液状石腊
蒲公英,三七,土鳖虫,自然铜,透骨草,赤芍
没药,五倍子,乳香,自然铜,赤芍,无名异
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
硼砂,食盐,雄黄,水银,皂矾,火消
油,油,白蜡,商陆根,黄丹,柳白皮
