红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,红花,白芍,生地,赤芍
红花,刘寄奴,姜黄,芥子,桑枝,路通
虎杖,茜草,蚤休,生鳖甲,全瓜蒌,白芍
地龙,荆芥,防风,川芎,全蝎,细辛
紫荆皮,没药,乳香,甘草,白芷
桃仁,牡丹,虫,石苇,桂枝,厚朴
自然铜,没药,土鳖,乳香
黑豆,三七,骨碎补,血琥珀,鸡血藤膏,麒麟竭
桃仁,红花,当归尾,薤白,川芎,牛膝
香油,三七,没药,樟脑,冰片,血竭
全蜈蚣,没药,皂刺,山甲,乳香,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,白芍药,香附
红花,三七,苏木,血竭,生地,乳香
桃仁,虫,虻虫,杏仁,水蛭,干地黄
地龙,自然铜,没药,丹皮,肉桂,乳香
丹参,泽兰,玄胡,黑豆,赤芍,香附
桃仁,丹参,没药,苏木,防风,荆芥
红花,鸡血藤,黄耆,当归,胆草,炼蜜
桃仁,红花,赤芍,夏枯草,三棱,川芎
玄胡,没药,丹皮,红藤,紫花地丁,赤芍
桃仁,红花,玄胡,红藤,川楝,炮姜
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,当归,瓜蒌根,大黄,穿山甲
虫,全虫,蜈蚣,川山甲
桃仁,红花,玄胡,五灵脂,丹皮,乌药
桃仁,红花,灵脂,玄胡,丹皮,乌药
丹参,乌药,川楝,郁金,黄芩,百合
桃仁,牡丹,桂枝,芍药,茯苓
桃仁,丹皮,桂枝,芍药,茯苓
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,当归,熟干地黄
元胡,没药,银花,丹皮,红藤,紫花地丁
红花,酒精,75
丹参,龙齿,姜川连,豆豉,荆芥,丁香
紫苏,肉桂,乌药,防风,何首乌,赤芍
红花,紫苏,苏木,黄柏,乳香,赤芍
归尾,松节,活,伸筋草,羌,落得打
香油,没药,蜂蜡,血竭面,红粉,儿茶面
桃仁,红花,当归尾,白蒺藜,荆芥,赤芍
桃仁,归尾,玄胡,防风,赤芍,半夏
蝙蝠,骨碎补,补骨脂,当归,大黄,桂
丹参,泽兰,金钱草,黄芪,茯苓皮,炮甲
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,防风,赤芍,酒归尾,木香
刘寄奴,血竭,酒生地,苏木,赤芍,当归
红花,珍珠,冰片等,熊胆,灵芝,蟾酥
没药,肉桂,炮姜,黄芪,乳香,熟地
桃仁,红花,红花,玄胡,黑豆,五灵脂
丹参,红花,虫,虻虫,水蛭,秦艽
桃仁,丹参,赤芍,三棱,当归,川芎
桃仁,丹参,赤芍,三棱,当归,川芎
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,党参,香附,川芎
桃仁,红花,当归尾,虻虫,五灵脂,没药
茜草,香油,刘寄奴,松节,伸筋草,透骨草
