丹参,川芎,甘草,莲子心,当归,薄荷
粳米,白糖,牛蒡
乳香,绿豆粉
连翘,薄荷,栀子,桔梗,黄连,槟榔
白酒,鲜仙人掌,羌活,杏仁
乳香,黄柏,地龙,大黄,黄连,黄芩
艾曲,椒目,细辛,桂,黑附子,干姜
葱,油,活鲤鱼,苎麻根,糯米,姜
香油,白蜡,冰片面,黄柏,用香油炸枯去滓滤净,煅蛤粉
葶苈,没药,乳香,大戟,甘遂,黑牵牛
辅料,丛枝蓼,白花败酱草
车前子,青粱米
粳米,车前子
葱,赤小豆,鸡汤,辣椒,活鲤鱼1尾,姜
大腹子,紫苏,桑白皮,人参,五味子,陈皮
蟾酥,血竭,没药,乳香,铜绿,硼砂
蟾酥,没药,乳香,铜绿,胆矾,寒水石
花椒,铜绿,李仁,青盐,白矾,菊花
粳米,白糖,茶叶
冰片,没药,乳香,川军,赤芍,白芷
葶苈,紫苏,郁李仁,琥珀,泽泻,沉香
甘遂,续随子,黑牵牛,全蝎,萝卜子,白牵牛
板蓝根,连翘,贝母,白花蛇舌草,射干,柴胡
白胶香,蓖麻子仁
橘核,煨三棱,酒炒破故纸,煨莪术,青盐,荔枝核
冰片,龙衣,枯矾,麝香5厘,胭脂,陈皮
西瓜霜,西丹参,西月石,老式大泥冰,飞青黛,濂珠
大梅片,真熊胆,瓜制枪消,关犀黄,珍珠,枣仁
玄明粉,西月石,炒僵蚕,飞辰砂,梅冰
冰片,硼砂,山豆根,青黛,明矾丹参,皮硝
硼砂,人中白,马勃,青鱼胆,人指甲,贝母
大梅片,真熊胆,瓜制枪消,明雄精,明硼砂,白玄明粉
赤豆,紫荆皮,白芷,菖蒲,独活
川紫荆皮,木蜡,白芷,独活,芍药
薄荷,白芷,冰片粉,苍耳子,辛夷,液状石腊
蒲公英,三七,土鳖虫,自然铜,赤芍,黄柏
没药,乳香,五倍子,赤芍,自然铜,无名异
乳香,北细辛,苍术,甘草
鲜败酱草
黑丑,五灵脂,香附
鲫鱼,巴豆
硼砂,食盐,雄黄,皂矾,白矾,火消
黄丹,油,油,商陆根,白蜡,柳白皮
