红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,生地,白芍,孩儿参
红花,刘寄奴,姜黄,芥子,桑枝,胆星
虎杖,茜草,蚤休,生鳖甲,全瓜蒌,白芍
地龙,荆芥,全蝎,川芎,防风,细辛
没药,紫荆皮,乳香,白芷,甘草
桃仁,虫,石苇,人参,瞿麦,蜣螂
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,血琥珀,鸡血藤膏,川续断
桃仁,红花,薤白,栝楼,柴胡,牛膝
香油,三七,没药,血竭,樟脑,乳香
没药,乳香,天花粉,山甲,全蜈蚣,皂刺
丹参,杜仲,芎藭
桃仁,泽兰,红花,丹皮,白芍药,元胡索
红花,三七,血竭,苏木,乳香,生地
桃仁,虫,干地黄,杏仁,蛴螬,水蛭
地龙,自然铜,没药,肉桂,丹皮,乳香
丹参,泽兰,黑豆,玄胡,赤芍,楂炭
桃仁,丹参,没药,苏木,乳香,荆芥
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,三棱,莪术,皂角刺,穿山甲
玄胡,没药,丹皮,乳香,金银花,赤芍
桃仁,红花,玄胡,小茴香,桂枝,川楝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,穿山甲,柴胡,甘草
全虫,虫,蜈蚣,川山甲
桃仁,红花,五灵脂,玄胡,丹皮,乌药
桃仁,红花,玄胡,丹皮,灵脂,乌药
丹参,乌药,郁金,川楝,百合,柴胡
桃仁,桂枝,茯苓,芍药,牡丹
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,归尾,泽兰,红花,玄胡,牛膝
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,芍药,熟干地黄,干姜
没药,元胡,丹皮,乳香,银花,大黄
红花,75,酒精
丹参,荆芥,石菖蒲,辰砂,丁香,琥珀
紫苏,肉桂,乌药,赤芍,何首乌,香附
红花,紫苏,苏木,乳香,三棱,黄柏
归尾,伸筋草,松节,羌,活,落得打
香油,没药,乳香,红粉,儿茶面,蜂蜡
桃仁,红花,荆芥,白蒺藜,蝉衣,赤芍
桃仁,归尾,玄胡,防风,赤芍,黄芩
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
丹参,泽兰,金钱草,黄芪,炮甲,茯苓皮
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,防风,酒归尾,木香
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,蟾酥,珍珠,人参,灵芝,麝香
没药,肉桂,乳香,熟地,黄芪,白术
桃仁,红花,红花,黑豆,玄胡,五灵脂
红花,丹参,虫,秦艽,桂枝,细辛
桃仁,丹参,三棱,莪术,赤芍,穿山甲
桃仁,丹参,三棱,莪术,赤芍,穿山甲
丹参,三七,茜草,赤芍,降香
丹参,三七,益母草,党参,香附,川芎
桃仁,红花,没药,五灵脂,姜黄,人参
香油,伸筋草,松节,刘寄奴,茜草,透骨草
鸡血藤,元参,双花,土茯苓,乳香,甘草
