珍珠母,磁石,酒曲,赭石,酒曲,牛膝,半夏,薄荷
枣仁,甘草,小麦
朱砂,天竺黄,珍珠,琥珀,防风,天麻,钩藤,天南星
辰砂,郁金,黄芩,山栀仁,丹参,黄连
琥珀,天麻,雄黄,天南星,丹参,麝香,乌蛇,僵蚕
枣仁,远志,贝母,黄芩,陈皮,瓜蒌,茯苓,半夏
茯神,柏子仁,干姜,炙草,当归,陈皮,益智,人参
茯神,金箔,珍珠,枣仁,远志,独活,辰砂,郁金
茯神,枣仁,琥珀,辰砂,乳香,人参
茯神,枣仁,远志,朱砂,琥珀,菖蒲,柏子仁,乳香
枣仁,辰砂,人参
菖蒲,安神膏,丹参,五味子
珍珠母,夜交藤,菖蒲,合欢皮,女贞子,丹参,菟丝子,五味子
远志,石莲肉,芡实,麦冬,人参,莲须,甘草
茯神,枣仁,远志,琥珀,白芍,生地,黄耆,双钩藤
茯神,远志,朱砂,天麻,麦门冬,全蝎,莲肉,白附子
茯神,枣仁,远志,菖蒲,黄耆,炙草,酒地,杭芍
茯神,枣仁,远志,牡蛎,芡实,生地,金樱,莲子肉
茯神,远志,菖蒲,陈皮,麦冬,杏仁,桔梗,半夏
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
枣仁,天竺黄,珍珠,琥珀,丹参,天南星,地黄,当归
夜交藤,合欢花,合欢皮,桑椹子,女贞子,丹参,地黄,玄参
朱砂,金箔,琥珀,防风,天麻,全蝎,山药,地黄
茯神,菖蒲,全蝎,当归,龙胆草,黄连
茯神,枣仁,朱砂,生地,白参,白术,寸冬,当归
茯神,珍珠母,枣仁,朱砂,夜交藤,合欢花,琥珀,白芍
朱砂,麦冬,知母,天冬,黄连
茯神,远志,细辛,菖蒲,辰砂,铁粉,山芋,天麻
茯神,远志,细辛,菖蒲,辰砂,铁粉,山芋,天麻
茯神,枣仁,朱砂,麝香,乳香,代赭石
辰砂,天南星,白矾,半夏
辰砂,天南星,白矾,半夏
远志,菖蒲,黑附子,桂心,牛膝,人参,茯苓,桔梗
枣仁,桂枝,牡蛎,黄芩,大黄,龙骨,人参,铅丹
大龟
茯神,远志,熟地,枸杞,白芍,黄耆,牛膝,白术
枣仁,夜交藤,百合,莲肉,淮小麦,甘草
朱砂,天麻,当归,全蝎,僵蚕,大黄,赤金,牙皂
朱砂,天竺黄,钩藤,丹参,天南星,苍术,滑石,薄荷
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,山药,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓,甘草
枣仁,远志,柏子仁,黄耆,五味子,当归,人参,肉桂
枣仁,朱砂,远志,柏子仁,五味子,当归,黄芪,肉桂
茯神,菖蒲,熟地,枸杞,柏子仁,麦门冬,元参,当归
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,牡蛎,柏子仁,白术,浮小麦,五味子,麻黄根,半夏
鹿角霜,柏子仁,鹿角胶,菟丝子,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,菖蒲,麦门冬,丹参,白术,人参,茯苓
枣仁,大米,薏仁,芡实,山药,百合,莲肉,扁豆
檀香,枣仁,天竺黄,红花,肉豆蔻,沉香,北沙参,紫檀香
檀香,枣仁,天竺黄,红花,肉豆蔻,沉香,北沙参,紫檀香
枣仁,石灰华,乳香,沉香,诃子,肉豆蔻,木棉花,木香
