红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,生地,白芍,赤芍
红花,刘寄奴,姜黄,芥子,桑枝,川芎
虎杖,茜草,全瓜蒌,白芍,生鳖甲,蚤休
地龙,荆芥,川芎,全蝎,细辛,防风
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,瞿麦,桂枝,紫葳
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,鸡血藤膏,麒麟竭,血琥珀
桃仁,红花,栝楼,当归尾,薤白,牛膝
香油,三七,没药,樟脑,血竭,乳香
没药,皂刺,乳香,全蜈蚣,山甲,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,白芍药,丹皮,元胡索
红花,三七,血竭,生地,苏木,乳香
桃仁,虫,干地黄,大黄,蛴螬,水蛭
地龙,自然铜,没药,肉桂,丹皮,乳香
丹参,泽兰,黑豆,玄胡,赤芍,香附
桃仁,丹参,没药,苏木,荆芥,乳香
红花,鸡血藤,黄耆,炼蜜,胆草,当归
桃仁,红花,三棱,夏枯草,赤芍,皂角刺
玄胡,没药,丹皮,乳香,赤芍,金银花
桃仁,红花,玄胡,赤芍,桂枝,川楝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,大黄,穿山甲,瓜蒌根,当归
全虫,虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,丹皮,赤芍
桃仁,红花,玄胡,灵脂,丹皮,赤芍
丹参,郁金,川楝,乌药,黄芩,柴胡
桃仁,桂枝,牡丹,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,三棱,赤芍,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,当归,芍药,熟干地黄
没药,元胡,丹皮,乳香,紫花地丁,大黄
红花,75,酒精
丹参,荆芥,琥珀,辰砂,石菖蒲,参三七
紫苏,肉桂,赤芍,何首乌,乌药,香附
红花,紫苏,苏木,乳香,三棱,黄柏
归尾,伸筋草,松节,活,落得打,路路通
香油,没药,乳香,冰片,头发,黄丹
桃仁,红花,白蒺藜,荆芥,赤芍,蝉衣
桃仁,归尾,玄胡,赤芍,川芎,黄芩
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
丹参,泽兰,金钱草,黄芪,茯苓皮,炮甲
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,酒归尾,木香,防风
刘寄奴,酒生地,血竭,苏木,赤芍,川芎
红花,蟾酥,珍珠,熊胆,冰片等,灵芝
没药,肉桂,乳香,白术,熟地,黄芪
桃仁,红花,红花,黑豆,玄胡,五灵脂
红花,丹参,虫,秦艽,桂枝,水蛭
桃仁,丹参,三棱,赤芍,大黄,穿山甲
桃仁,丹参,三棱,赤芍,大黄,穿山甲
丹参,茜草,三七,赤芍,降香
丹参,三七,益母草,香附,川芎,党参
桃仁,红花,五灵脂,没药,姜黄,元胡索
香油,茜草,刘寄奴,伸筋草,松节,透骨草
鸡血藤,双花,元参,乳香,土茯苓,甘草
桃仁,玄胡,丹皮,赤芍,大黄,生石膏
丹参,泽兰,鸡血藤,玄胡,没药,元参
蒲公英,败酱草,赤小豆,丹皮,冬瓜子,川军
香油,章丹
红花,丹参,赤芍,降香,川芎
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,没药,熟军,土鳖虫,血竭,乳香
桃仁,红花,党参,附子,白术,干姜
红花,泽泻,牛膝,穿山甲,乌药,茯苓
桃仁,益母草,炮姜,芥穗,川芎,当归
没药,乳香,当归,瓜蒌,橘核,荔核
桃仁,归尾,红花,炮山甲,白芍,板蓝根
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,蒲黄,丹皮,栀子,川芎,当归
丹参,茜草,元参,土贝母,生地,白芍
秦皮,酒黄芩,丹皮,生地,木通,赤芍
茅根,茜草,鸡血藤,仙鹤草,丹皮,山栀
红花,黄耆,赤芍,人参1,白术1,地锦草
丹参,红花,鸡血藤,丹皮,熟地,女贞子
桃仁,红花,丹参,生地,赤芍,田七
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,白芍,昆布
泽兰,山栀,郁金,川楝,枳实,香附
丹参,沙参,赤芍,枳实,茯苓,五味子
没药,赤芍,凌霄花,当归,木香,桂心
红花,五灵脂,生地,赤芍,川芎,当归
炉甘石,珍珠,硼砂,冰片,牛黄,麝香
丹参,败酱,薏苡仁,茯苓,牡丹,桔梗
归尾,草决,生地,荆芥,白芍,蒺藜
玄胡,肉桂,三棱,槟榔,茯苓,青皮
丹参,茜草,王不留行,黄柏,木瓜,牛膝
地龙,玄胡,没药,赤小豆,血竭,乳香
红花,归尾,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,郁金,赤芍,新绛,瓦楞子
桃仁,丹参,红花,泽兰,蒲公英,没药
地龙,仙灵脾,肉桂,盐知母,盐黄柏,木通
丹参,牡蛎,白芍,三棱,白花蛇舌草,郁金
丹参,地龙,皂角刺,王不留行,川楝,橘叶
丹参,海藻,牡蛎,昆布,三棱,夏枯草
红花,三七,樟脑,冰片,地黄,龙血竭
桃仁,红花,地龙,灵脂,没药,秦艽
红花,蒲黄,三棱,党参,黄芪,川芎
桃仁,生地,大黄,鳖甲,当归,黄芩
玄胡,白芍,乳香,枳实,香附,广郁金
桃仁,红花,泽兰,当归尾,酒丹参,香附
桃仁,川芎,黑姜,当归,炙草
红花,干葛,香附,川芎,羌活,苏叶
没药,灵脂,元胡,香附
玄胡,五灵脂,没药,蒲黄,赤芍,小茴香
五灵脂,蒲黄
茅根,半枝莲,石苇,海金砂,金钱草,三棱
桃仁,吴萸,黄连,陈皮,半夏
生甘草,干葛,山楂,僵蚕,蝉蜕,当归
玄胡,蓬术,丹皮,北芍药,川芎,当归
灵脂,熟军,元胡,藏红花,丹皮,生地
桃仁,红花,元胡,黄柏,防己,桂枝
红花,山楂,泽泻,当归尾,香附,乌药
桃仁,丹参,归尾,红花,乳香,蕺莱
桃仁,干漆,当归,芎藭,芍药,桂心
桃仁,蒲黄,大黄,大枣,消石,甘草
桃仁,三棱,赤芍,鳖甲,白术,当归
桃仁,红花,丹皮,山栀,郁金,泽兰叶
