红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,赤芍,白芍,生地
红花,刘寄奴,姜黄,芥子,桑枝,胆星
虎杖,茜草,全瓜蒌,赤芍,蚤休,生鳖甲
地龙,荆芥,防风,川芎,全蝎,细辛
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,瞿麦,紫葳,蜂窠
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,血琥珀,鸡血藤膏,麒麟竭
桃仁,红花,栝楼,牛膝,当归尾,薤白
香油,三七,没药,樟脑,血竭,乳香
没药,乳香,全蜈蚣,皂刺,山甲,天花粉
丹参,杜仲,芎藭
桃仁,泽兰,红花,白芍药,丹皮,元胡索
红花,三七,赤芍,苏木,血竭,乳香
桃仁,虫,干地黄,杏仁,蛴螬,干漆
地龙,自然铜,没药,丹皮,肉桂,乳香
泽兰,黑豆,丹参,玄胡,赤芍,香附
桃仁,丹参,没药,苏木,荆芥,防风
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,赤芍,三棱,夏枯草,皂角刺
玄胡,没药,丹皮,赤芍,乳香,金银花
桃仁,红花,玄胡,赤芍,炮姜,香附
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,大黄,瓜蒌根,当归
虫,全虫,川山甲,蜈蚣
桃仁,红花,玄胡,五灵脂,丹皮,赤芍
桃仁,红花,玄胡,灵脂,丹皮,赤芍
丹参,郁金,乌药,川楝,柴胡,百合
桃仁,桂枝,牡丹,芍药,茯苓
桃仁,丹皮,桂枝,芍药,茯苓
桃仁,归尾,泽兰,红花,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,当归,芍药,熟干地黄
没药,元胡,丹皮,乳香,红藤,紫花地丁
红花,酒精,75
丹参,荆芥,石菖蒲,琥珀,丁香,姜川连
紫苏,肉桂,何首乌,赤芍,防风,乌药
红花,紫苏,赤芍,苏木,三棱,乳香
归尾,松节,伸筋草,海桐皮,姜黄,活
香油,没药,乳香,冰片,头发,蜂蜡
桃仁,红花,赤芍,白蒺藜,荆芥,蝉衣
桃仁,归尾,玄胡,赤芍,防风,川芎
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
泽兰,丹参,金钱草,黄芪,山药,炮甲
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,防风,酒归尾,木香
刘寄奴,酒生地,苏木,血竭,赤芍,川芎
红花,蟾酥,珍珠,牛黄,熊胆,灵芝
没药,肉桂,乳香,黄芪,党参,炮姜
桃仁,红花,红花,黑豆,玄胡,益母草
红花,丹参,虫,秦艽,水蛭,虻虫
桃仁,丹参,赤芍,三棱,莪术,穿山甲
桃仁,丹参,赤芍,三棱,莪术,穿山甲
丹参,茜草,三七,赤芍,降香
丹参,益母草,三七,香附,川芎,党参
桃仁,红花,五灵脂,没药,姜黄,杏仁
香油,刘寄奴,茜草,伸筋草,松节,透骨草
鸡血藤,双花,土茯苓,元参,乳香,甘草
桃仁,玄胡,丹皮,赤芍,水蛭,虻虫
泽兰,丹参,鸡血藤,玄胡,没药,元参
蒲公英,赤小豆,川军,犀黄丸,冬瓜子,土贝母
香油,章丹
红花,丹参,赤芍,降香,川芎
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,黑豆,益母草,玄胡,苏木
自然铜,没药,熟军,土鳖虫,血竭,乳香
桃仁,红花,党参,附子,白术,干姜
