半夏,白芥子,薏仁,白术,益智,诃黎勒
黄芪,党参,水牛角浓缩粉,郁金,甘松,薄荷
天南星,银箔,朱砂,川甜消,金箔,铁粉
天竺黄,天南星,生龙脑,金箔,丹参,雄黄
银箔,朱砂,牙消,金箔,龙脑,蛤粉
天竺黄,朱砂,天南星,僵蚕,全蝎,琥珀
天竺黄,朱砂,真珠,龙脑,升麻,丹参
百部,桔梗,元参,陈皮,麦冬,花粉
贝母,半夏,远志,陈皮,瓜蒌,黄芩
半夏,天南星,远志,天麻,金箔,僵蚕
半夏,紫菀,杏仁,紫苏,葶苈,桔梗
半夏,缩砂仁,杏仁,紫苏,桔梗,陈皮
半夏,杏仁,紫苏,桔梗,陈皮,千葛
紫菀,款冬花,牛膝,桔梗,麦冬,五味子
半夏,远志,杏仁,桔梗,菖蒲,陈皮
银箔,朱砂,金箔,远志,白僵蚕,真珠末
天南星,黑附子,白术,白附子,茯苓
贝母,枇杷叶,金银花,小木通,葛根,薄荷
贝母,半夏,芍药,枳实,桔梗,苍术
陈茶叶,粳米
半夏,丁香,全蝎,术香,槟榔,肉豆蔻
半夏,天南星,山芋,远志,天麻,辰砂
天南星,天麻,辰砂,二,白附子,麝香
天南星,天麻,辰砂,白附子,麝香,川芎
半夏,天南星,辰砂,白矾
半夏,天南星,皂角,陈皮,神曲,麦糵
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,茯苓,生姜,甘草
粳米,茶叶,白糖
半夏,茱萸,苍术,陈皮,神曲,砂仁
半夏,茱萸,苍术,陈皮,茯苓,黄连
山芋,牛膝,陈皮,柏子仁,枸杞,地黄
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,芍药,桔梗,柴胡,夏枯草
半夏,柴胡,苏叶,山栀,红花,薄荷
贝母,蜂蜜,葶苈,桑白皮,麻黄
贝母,杏仁,白糖,桔梗,枇杷叶,尼泊金
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
半夏,牛膝,薏仁,白蔻,钩藤,赤芍
三十,七十五,二十,两细辛,桔梗,龙脑
1,780克,12千克,09千克,150克,3
苏合香,熏陆香,丁子香,脑香,诃梨勒皮,吃力伽
贝母,硼砂,青礞石,沉香,猪脱氧胆酸,人工竺黄
贝母,冰糖,粳米
贝母,粳米,砂糖
贝母,桔梗,陈皮,瓜蒌,花粉,茯苓
贝母,紫菀,百部,杏仁,五味子,甘草
贝母,杏仁,款冬花,五味子,知母,甘草
贝母,杏仁,柴胡,百合,石膏,茯苓
