藁本,当归,川芎,防风,芍药,地黄,前胡
蝎梢,天南星,天麻,川芎,白僵蚕,防风,石膏,白花蛇
威灵仙,刘寄奴,红花,羌活,当归,白芥子,川芎,桑枝
地龙,五灵脂,红花,桃仁,羌活,当归,牛膝,没药
橘核,山萸,煨莪术,煨三棱,荔枝核,酒炒破故纸,通草,青盐
王不留行,黄耆,通草,当归,川芎,熟地,枸杞,人参
酒精,75,破故纸
地龙,红花,赤芍,桃仁,归尾,川芎,黄耆
鹿角霜,伸筋草,党参,川断,羌活,当归,山楂,黄芪
桂枝,粳米,石膏,知母,甘草
樟丹,冰片,枯矾,龙骨,麝香
蜈蚣,没药,山甲,皂刺,乳香,花粉,知母
木瓜,桂枝,干地龙,蜈蚣,防己,牛膝,当归,川断
桂枝,通草,当归,芍药,枣仁,茱萸,生姜,细辛
白酒,大豆,麻子仁,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,当归,川断,乌药,黄柏,苏木
蜈蚣,淡干姜,熟地,生地,川乌,细辛,白术,甘草
地龙,没药,乳香,无名异,肉桂,木鳖子,自然铜,丹皮
江米酒,丹参,川芎,杜仲
鸡血藤,橘核,丹参,丝瓜络,白芥子,金银花藤,熟地,生地
鸡血藤,石斛,蒲公英,川断,苍术,双花,板蓝根,大青叶
鸡血藤,党参,黄芪,生地,紫草,北沙参,络石藤,丹皮
红花,红花,草乌,龙骨,朱砂,诃子,珍珠母,珍珠
木瓜,红花,草乌,川乌,乌梅,麻黄,甘草
芎劳,防己,防风,独活,石膏,秦艽,干姜,杏仁
桂枝,防己,甘草
蜈蚣,赤芍,钩藤,白芍,丹参,当归,川芎,桔梗
鸡血藤,赤小豆,赤芍,防己,当归,牛膝,金银花,活血止痛散1
红花,桃仁,瓜蒌根,当归,柴胡,穿山甲,大黄,甘草
威灵仙,桂枝,荆芥,没药,防风,乳香,五加皮,细辛
王不留行,刘寄奴,钩藤,荆芥,金银花藤,宽筋藤,防风,大黄
鸡血藤,臭梧桐,金银花,白鱼鲄,白毛草,比茎藤,白木槿,五月红
桂枝,防风,芍药,生姜,黑附子,麻黄,知母,甘草
红花,桂枝,赤芍,归尾,防风,独活,生地,香附
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
地龙,威灵仙,当归,白僵蚕,漏芦,芎藭,桂心,木香
茜草,五灵脂,远志,干地龙,丹参,山楂,薤白,琥珀末
红花,赤芍,丹参,川芎,降香
桂枝,党参,白芍,牛膝,寄生,黄耆,熟地,生地
桂枝,片姜黄,白芍,当归,寄生,防风,薏仁,熟地
黄芪,白芍,当归,川芎,地黄,甘草
明矾,蛇床子,白凤仙花,陈米醋,丹参,枯矾,朱砂,白鲜皮
红花,当归,花椒,樟脑,肉桂,干姜,细辛
赤芍,益母草,黄芪,丹参,当归,川芎,苍术,熟地
木瓜,桂枝,干地龙,丹参,当归,川芎,防风,茺蔚子
伸筋草,赤芍,片姜黄,归尾,续断,松节,防风,路路通
红花,赤芍,没药,乳香,夏枯草,丹皮,酒归尾,木香
红花,透骨草,三七,防己,归尾,牛膝,续断,没药
地龙,蜈蚣,川断,桃仁,山甲,天南星,羌活,当归
红花,刘寄奴,钩藤,当归,没药,乳香,紫草,生地
丹参,没药,当归,乳香
丹参,没药,当归,乳香
地龙,天南星,没药,草乌,乳香,川乌
红花,赤芍,防风,丹皮,酒归尾,木香
刘寄奴,赤芍,当归,川芎,生地,枳壳,苏木,血竭
