红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,生地,白芍,赤芍
红花,刘寄奴,姜黄,芥子,胆星,羌活
虎杖,茜草,生鳖甲,蚤休,全瓜蒌,郁金
地龙,荆芥,全蝎,川芎,细辛,防风
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,牡丹,瞿麦,蜣螂
自然铜,没药,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,川续断,骨碎补
桃仁,红花,当归尾,栝楼,薤白,川芎
香油,没药,三七,血竭,乳香,樟脑
没药,乳香,山甲,皂刺,全蜈蚣,天花粉
丹参,杜仲,芎藭
桃仁,红花,泽兰,丹皮,白芍药,元胡索
红花,三七,血竭,苏木,生地,乳香
桃仁,虫,干地黄,杏仁,蛴螬,虻虫
自然铜,地龙,没药,丹皮,肉桂,乳香
丹参,黑豆,泽兰,玄胡,赤芍,焦艾
桃仁,丹参,没药,苏木,乳香,荆芥
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,赤芍,三棱,皂角刺,夏枯草
玄胡,没药,丹皮,乳香,赤芍,金银花
桃仁,红花,玄胡,赤芍,小茴香,川楝
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,瓜蒌根,大黄,穿山甲,柴胡
全虫,虫,蜈蚣,川山甲
桃仁,红花,五灵脂,玄胡,丹皮,乌药
桃仁,红花,玄胡,灵脂,丹皮,乌药
丹参,郁金,乌药,川楝,百合,柴胡
桃仁,牡丹,桂枝,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍,三棱,莪术
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,当归,熟干地黄
没药,元胡,丹皮,乳香,紫花地丁,大黄
红花,75,酒精
丹参,荆芥,辰砂,琥珀,豆豉,参三七
紫苏,肉桂,乌药,何首乌,赤芍,羌活
红花,紫苏,苏木,乳香,黄连,三棱
归尾,伸筋草,松节,落得打,路路通,活
香油,没药,乳香,麝香,黄丹,冰片
桃仁,红花,白蒺藜,当归尾,赤芍,荆芥
桃仁,归尾,玄胡,赤芍,川芎,防风
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
丹参,泽兰,金钱草,黄芪,山药,炮甲
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,酒归尾,木香,防风
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,蟾酥,珍珠,冰片等,灵芝,熊胆
没药,肉桂,熟地,乳香,黄芪,白术
桃仁,红花,红花,黑豆,五灵脂,玄胡
红花,丹参,虫,秦艽,水蛭,虻虫
桃仁,丹参,赤芍,三棱,莪术,大黄
桃仁,丹参,赤芍,三棱,莪术,大黄
丹参,三七,茜草,赤芍,降香
丹参,三七,益母草,党参,香附,川芎
桃仁,红花,五灵脂,没药,苏木,姜黄
香油,松节,刘寄奴,伸筋草,茜草,透骨草
鸡血藤,元参,双花,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,赤芍,水蛭,虻虫
丹参,泽兰,鸡血藤,玄胡,没药,郁金
蒲公英,土贝母,川军,赤小豆,犀黄丸,冬瓜子
香油,章丹
红花,丹参,赤芍,降香,川芎
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,黑豆,益母草,玄胡,苏木
自然铜,熟军,没药,血竭,土鳖虫,乳香
桃仁,红花,党参,白术,附子,干姜
红花,乌药,泽泻,茯苓,穿山甲,川芎
桃仁,益母草,炮姜,芥穗,川芎,当归
没药,乳香,荔核,橘核,瓜蒌,当归
桃仁,红花,归尾,炮山甲,板蓝根,熟地
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,丹皮,蒲黄,川芎,栀子,生地黄
丹参,茜草,土贝母,元参,生地,白芍
酒黄芩,秦皮,丹皮,生地,木通,赤芍
茅根,鸡血藤,茜草,仙鹤草,丹皮,山栀
红花,黄耆,赤芍,地锦草,人参1,白术1
红花,丹参,鸡血藤,丹皮,熟地,枸杞
桃仁,红花,丹参,生地,赤芍,田七
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,昆布,枳实,海金砂
泽兰,郁金,山栀,枳实,川楝,香附
丹参,枳实,沙参,赤芍,制半夏,麦冬
没药,赤芍,凌霄花,当归,木香,桂心
红花,五灵脂,生地,赤芍,川芎,生姜
炉甘石,珍珠,麝香,牛黄,冰片,硼砂
丹参,败酱,薏苡仁,茯苓,牡丹,麦门冬
归尾,草决,生地,黄连,蒺藜,白芍
玄胡,肉桂,三棱,槟榔,缩砂,茯苓
丹参,茜草,王不留行,薏米仁,地鳖,木瓜
地龙,玄胡,没药,血竭,赤小豆,乳香
红花,归尾,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,郁金,赤芍,瓦楞子,新绛
桃仁,红花,丹参,蒲公英,泽兰,没药
地龙,仙灵脾,肉桂,盐知母,盐黄柏,熟地
丹参,牡蛎,郁金,白芍,白花蛇舌草,三棱
丹参,地龙,王不留行,皂角刺,川楝,橘叶
丹参,海藻,牡蛎,昆布,三棱,夏枯草
红花,三七,樟脑,麝香,地黄,冰片
桃仁,红花,地龙,没药,灵脂,秦艽
红花,蒲黄,三棱,黄芪,党参,川芎
桃仁,生地,大黄,当归,鳖甲,人参
玄胡,乳香,白芍,枳实,广郁金,香附
桃仁,红花,泽兰,当归尾,酒丹参,香附
桃仁,黑姜,川芎,当归,炙草
红花,干葛,苏叶,羌活,香附,川芎
元胡,没药,灵脂,香附
玄胡,五灵脂,没药,蒲黄,小茴香,赤芍
五灵脂,蒲黄
茅根,半枝莲,郁金,木通,金钱草,石苇
桃仁,吴萸,黄连,陈皮,半夏
干葛,生甘草,山楂,僵蚕,升麻,蝉蜕
玄胡,蓬术,北芍药,丹皮,川芎,当归
元胡,熟军,藏红花,灵脂,丹皮,生地
桃仁,红花,元胡,威灵仙,制南星,羌活
红花,山楂,乌药,当归尾,青皮,泽泻
桃仁,红花,丹参,归尾,乳香,蕺莱
桃仁,干漆,当归,芎藭,芍药,桂心
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,赤芍,三棱,白术,诃黎勒皮,当归
桃仁,红花,丹皮,郁金,山栀,赤芍
莪茂,丹皮,人参,川芎,牛膝,当归
红花,自然铜,没药,血竭,苏木,乳香
没药,丹皮,肉桂,骨碎补,五加皮,乳香
丹参,地龙,鸡血藤,蜈蚣,黄芪,络石藤
桃仁,红花,路路通,生地,赤芍,丝瓜络
丹参,没药,血竭,乳香,金银花,公英
桃仁,红花,生地,赤芍,川芎,牛膝
玄胡,苦楝,地黄,川芎,当归,芍药
玄胡,当归
桃仁,木通,白芍,荆芥,枸杞子,桑白皮
海藻,麦蘖,九肋鳖甲,干蟾,使君子,黄连
蒲公英,没药,乳香,地鳖虫,木瓜,大黄
红花,蓬术,透骨草,川山甲,杏仁,萝卜子
麻仁,炮山甲,牡蛎,乌梅,苦参,五倍子
丹参,三七,山楂,郁金,黄芪,冰片
茅根,山楂,过路黄,凤尾草
桃仁,丹参,自然铜,玄胡,没药,骨碎补
泽兰,山楂,牡蛎,佛手,王不留行,茵陈
虎杖,仙灵脾,半枝莲,仙鹤草,郁金,鹿衔草
桃仁,没药,金钱草,乳香,赤芍,三棱
桃仁,红花,玄参,生地,熟地,麦冬
虎杖,泽兰,蒲公英,酒大黄,土茯苓,板蓝根
虎杖,土鳖虫,猪牙皂,九龙川,穿壁风,两面针
桃仁,红花,丹参,地龙,鸡血藤,伸筋草
苦楝皮,槐皮,雄黄
