红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,茯苓,木香,陈皮
红花,刘寄奴,白芷,姜黄,羌活,川芎
虎杖,茜草,茯苓,柴胡,生鳖甲,全瓜蒌
地龙,荆芥,川芎,细辛,防风,全蝎
没药,乳香,白芷,甘草,紫荆皮
桃仁,虫,柴胡,厚朴,人参,鳖甲
自然铜,没药,乳香,土鳖
黑豆,三七,骨碎补,鸡血藤膏,沉香,牛膝
桃仁,红花,柴胡,桔梗,枳壳,桂心
香油,三七,没药,血竭,乳香,冰片
没药,皂刺,乳香,知母,山甲,全蜈蚣
丹参,芎藭,杜仲
桃仁,泽兰,白芍药,红花,丹皮,熟地黄
红花,三七,枳壳,甘草,血竭,乳香
桃仁,虫,杏仁,干地黄,黄芩,甘草
自然铜,地龙,没药,肉桂,丹皮,丁香
丹参,泽兰,黑豆,玄胡,香附,赤芍
桃仁,丹参,没药,白芷,防风,细辛
红花,鸡血藤,黄耆,当归,炼蜜,胆草
桃仁,红花,川芎,皂角刺,莪术,穿山甲
玄胡,没药,红藤,丹皮,枳壳,甘草
桃仁,红花,柴胡,玄胡,牛膝,红藤
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,柴胡,甘草,大黄,当归
全虫,虫,川山甲,蜈蚣
桃仁,红花,五灵脂,玄胡,丹皮,枳壳
桃仁,红花,玄胡,灵脂,丹皮,枳壳
丹参,柴胡,郁金,乌药,黄芩,百合
桃仁,茯苓,芍药,桂枝,牡丹
桃仁,茯苓,丹皮,芍药,桂枝
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,莪术,赤芍,三棱
桃仁,丹参,莪术,赤芍,三棱
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,干姜,蒲黄,熟干地黄,甘草
元胡,没药,丹皮,甘草,大黄,红藤
红花,75,酒精
丹参,藿香,天麻,辰砂,荆芥,石菖蒲
紫苏,肉桂,何首乌,陈皮,白芷,甘草
红花,紫苏,黄连,柴胡,乳香,黄柏
归尾,伸筋草,松节,防风,落得打,羌
香油,没药,轻粉,麝香,乳香,蛇蜕
桃仁,红花,白蒺藜,甘草,荆芥,赤芍
桃仁,归尾,玄胡,半夏,黄芩,防风
蝙蝠,骨碎补,桂,大黄,补骨脂,当归
丹参,泽兰,车前子,大腹皮,金钱草,黄芪
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,木香,丹皮,防风,赤芍,酒归尾
刘寄奴,血竭,酒生地,枳壳,川芎,苏木
红花,蟾酥,珍珠,人参,附子,麝香
没药,肉桂,白术,黄芪,乳香,附子
桃仁,红花,红花,茯苓,黑豆,玄胡
红花,丹参,虫,细辛,牛膝,秦艽
桃仁,丹参,鳖甲,川芎,大黄,当归
桃仁,丹参,鳖甲,川芎,大黄,当归
丹参,茜草,三七,降香,赤芍
丹参,益母草,三七,川芎,香附,当归
桃仁,红花,吴茱萸,没药,人参,五灵脂
香油,茜草,刘寄奴,伸筋草,松节,木通
鸡血藤,甘草,双花,土茯苓,乳香,元参
桃仁,玄胡,丹皮,黄芩,大黄,连翘
丹参,泽兰,鸡血藤,玄胡,没药,血竭
蒲公英,赤小豆,冬瓜子,川军,犀黄丸,甘草
香油,章丹
红花,丹参,川芎,降香,赤芍
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,苍术,黑豆,益母草,玄胡
自然铜,熟军,没药,土鳖虫,血竭,硼砂
桃仁,红花,白术,干姜,附子,甘草
红花,茯苓,陈皮,枳壳,甘草,乌药
桃仁,益母草,川芎,炙草,当归,芥穗
没药,瓜蒌,乳香,橘核,甘草,当归
桃仁,红花,归尾,炮山甲,白术,熟地
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,甘草,丹皮,蒲黄,川芎,生地黄
丹参,茜草,白术,土贝母,黄柏,元参
酒黄芩,秦皮,丹皮,木通,青黛,生地
茅根,鸡血藤,茜草,仙鹤草,丹皮,当归
红花,黄耆,茯苓,人参1,川芎,地锦草
红花,丹参,鸡血藤,熟地,丹皮,枸杞
桃仁,红花,丹参,川芎,当归,赤芍
自然铜,没药,土鳖虫,麻黄,乳香,马前子
醋,半夏
桃仁,红花,柴胡,海藻,滑石,甘草
泽兰,柴胡,山栀,郁金,枳实,香附
丹参,五味子,茯苓,沙参,川芎,制半夏
没药,木香,凌霄花,桂心,赤芍,当归
红花,五灵脂,赤茯苓,陈皮,生姜,生地
炉甘石,珍珠,麝香,冰片,硼砂,牛黄
丹参,桔梗,茯苓,生姜,麦门冬,甘草
归尾,草决,黄连,桔梗,蒺藜,白芍
玄胡,肉桂,茯苓,槟榔,苍术,干姜
丹参,茜草,茯苓,王不留行,黄柏,牛膝
地龙,玄胡,赤小豆,没药,麝香,血竭
红花,归尾,刘寄奴,益母草,酒生地,川芎
桃仁,泽兰,枳壳,青皮,当归,苏梗
桃仁,泽兰,红花,蒲公英,丹参,败酱草
地龙,仙灵脾,盐黄柏,熟地,盐知母,肉桂
丹参,柴胡,牡蛎,白花蛇舌草,黄芪,白芍
丹参,地龙,王不留行,皂角刺,川楝,橘叶
丹参,海藻,柴胡,牡蛎,半夏,橘核
红花,三七,麝香,冰片,独活,地黄
桃仁,红花,地龙,灵脂,没药,羌活
红花,蒲黄,黄芪,川芎,三棱,党参
桃仁,鳖甲,人参,生地,黄芩,甘草
玄胡,柴胡,乳香,白芍,甘草,广郁金
桃仁,泽兰,红花,牛膝,香附,酒丹参
桃仁,川芎,炙草,当归,黑姜
红花,干葛,桔梗,白芷,半夏,细辛
元胡,灵脂,没药,香附
玄胡,五灵脂,没药,干姜,蒲黄,川芎
五灵脂,蒲黄
茅根,半枝莲,甘草,牛膝,金钱草,木通
桃仁,黄连,半夏,陈皮,吴萸
干葛,生甘草,山楂,蝉蜕,升麻,僵蚕
玄胡,蓬术,丹皮,甘草,川芎,北芍药
元胡,熟军,灵脂,藏红花,陈皮,丹皮
桃仁,红花,元胡,苍术,黄柏,龙胆草
红花,山楂,木香,泽泻,青皮,乌药
桃仁,红花,归尾,丹参,牛膝,乳香
桃仁,芎藭,桂心,甘草,芍药,干漆
桃仁,蒲黄,甘草,大黄,消石,大枣
桃仁,白术,陈橘皮,鳖甲,诃黎勒皮,三棱
桃仁,红花,丹皮,山栀,当归,赤芍
莪茂,丹皮,人参,甘草,桂心,川芎
红花,自然铜,没药,丁香,乳香,血竭
没药,肉桂,丹皮,骨碎补,黄柏,芥子
丹参,鸡血藤,地龙,黄芪,全蝎,蜈蚣
桃仁,红花,柴胡,桔梗,枳壳,甘草
丹参,没药,柴胡,乳香,血竭,青皮
桃仁,红花,柴胡,桔梗,枳壳,甘草
玄胡,苦楝,川芎,地黄,芍药,当归
玄胡,当归
桃仁,柴胡,木通,白芍,大腹皮,辰砂
使君子,海藻,麦蘖,干蟾,九肋鳖甲,黄连
蒲公英,没药,大黄,乳香,栀子,木瓜
红花,蓬术,杏仁,川山甲,透骨草,大黄
麻仁,炮山甲,牡蛎,乌梅,五倍子,苦参
丹参,三七,木香,山楂,黄芪,川芎
茅根,山楂,过路黄,凤尾草
桃仁,自然铜,丹参,玄胡,没药,骨碎补
泽兰,苍术,山楂,白术,牡蛎,佛手
虎杖,柴胡,仙灵脾,半枝莲,仙鹤草,白花蛇舌草
桃仁,没药,厚朴,金钱草,白芷,车前子
桃仁,红花,玄参,熟地,黄芩,知母
虎杖,泽兰,蒲公英,甘草,板蓝根,酒大黄
虎杖,木香,土鳖虫,猪牙皂,横经席,两面针
桃仁,红花,丹参,鸡血藤,地龙,伸筋草
槐皮,苦楝皮,雄黄
