红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,生地,白芍,赤芍
红花,刘寄奴,姜黄,芥子,路通,灵仙
虎杖,茜草,蚤休,全瓜蒌,生鳖甲,郁金
地龙,荆芥,川芎,全蝎,防风,细辛
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,蜂窠,瞿麦,葶苈
没药,自然铜,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,骨碎补,川续断
桃仁,红花,栝楼,当归尾,薤白,川芎
香油,三七,没药,樟脑,乳香,血竭
没药,乳香,山甲,皂刺,天花粉,全蜈蚣
丹参,杜仲,芎藭
桃仁,红花,泽兰,白芍药,丹皮,元胡索
红花,三七,乳香,血竭,苏木,生地
桃仁,虫,干地黄,芍药,蛴螬,水蛭
地龙,自然铜,没药,乳香,丹皮,肉桂
泽兰,丹参,黑豆,玄胡,赤芍,楂炭
桃仁,丹参,没药,苏木,乳香,荆芥
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,三棱,夏枯草,莪术,赤芍
玄胡,没药,乳香,丹皮,金银花,紫花地丁
桃仁,红花,玄胡,桂枝,炮姜,赤芍
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,当归,瓜蒌根,大黄
虫,全虫,蜈蚣,川山甲
桃仁,红花,五灵脂,玄胡,丹皮,赤芍
桃仁,红花,玄胡,灵脂,丹皮,赤芍
丹参,郁金,乌药,川楝,百合,黄芩
桃仁,桂枝,芍药,牡丹,茯苓
桃仁,丹皮,桂枝,芍药,茯苓
桃仁,归尾,红花,泽兰,玄胡,牛膝
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,芍药,当归,熟干地黄
没药,元胡,乳香,丹皮,紫花地丁,红藤
红花,酒精,75
丹参,荆芥,辰砂,琥珀,石菖蒲,龙齿
紫苏,何首乌,肉桂,香附,赤芍,乌药
红花,紫苏,乳香,苏木,黄连,三棱
归尾,伸筋草,松节,海桐皮,羌,路路通
香油,没药,乳香,冰片,血竭面,蜂蜡
桃仁,红花,当归尾,荆芥,赤芍,蝉衣
桃仁,归尾,玄胡,赤芍,川芎,黄芩
蝙蝠,骨碎补,补骨脂,当归,大黄,桂
泽兰,丹参,金钱草,炮甲,茯苓皮,黄芪
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,赤芍,酒归尾,防风,木香
刘寄奴,酒生地,血竭,苏木,赤芍,川芎
红花,蟾酥,珍珠,熊胆,冰片等,灵芝
没药,乳香,肉桂,熟地,白术,黄芪
桃仁,红花,红花,益母草,黑豆,玄胡
红花,丹参,虫,桂枝,血通,水蛭
桃仁,丹参,三棱,莪术,赤芍,穿山甲
桃仁,丹参,三棱,莪术,赤芍,穿山甲
丹参,三七,茜草,降香,赤芍
丹参,三七,益母草,香附,党参,川芎
桃仁,红花,五灵脂,没药,乳香,苏木
香油,刘寄奴,茜草,伸筋草,松节,透骨草
鸡血藤,双花,乳香,元参,土茯苓,甘草
桃仁,玄胡,丹皮,赤芍,水蛭,栀子
泽兰,丹参,鸡血藤,玄胡,没药,元参
蒲公英,败酱草,赤小豆,冬瓜子,犀黄丸,土贝母
香油,章丹
红花,丹参,降香,赤芍,川芎
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,益母草,黑豆,玄胡,苏木
没药,自然铜,熟军,乳香,血竭,土鳖虫
桃仁,红花,党参,白术,附子,干姜
红花,乌药,穿山甲,茯苓,川芎,泽泻
桃仁,益母草,芥穗,炮姜,炙草,川芎
没药,乳香,荔核,橘核,当归,瓜蒌
桃仁,归尾,红花,炮山甲,板蓝根,白芍
桃仁,红花,白芍药,熟地黄,当归,川芎
茅根,蒲黄,丹皮,栀子,芍药,川芎
丹参,茜草,土贝母,元参,白芍,生地
秦皮,酒黄芩,丹皮,生地,木通,赤芍
茅根,茜草,鸡血藤,仙鹤草,丹皮,三七粉
红花,黄耆,赤芍,地锦草,白术1,人参1
红花,丹参,鸡血藤,丹皮,女贞子,熟地
桃仁,红花,丹参,生地,赤芍,田七
没药,自然铜,乳香,土鳖虫,马前子,麻黄
醋,半夏
桃仁,红花,海藻,昆布,海金砂,白芍
泽兰,郁金,山栀,香附,川楝,枳实
丹参,沙参,制半夏,赤芍,麦冬,茯苓
没药,赤芍,凌霄花,当归,木香,桂心
红花,五灵脂,生地,赤芍,当归,川芎
炉甘石,珍珠,冰片,牛黄,麝香,硼砂
丹参,芍药,薏苡仁,茯苓,牡丹,败酱
归尾,草决,黄连,蒺藜,白芍,生地
玄胡,肉桂,三棱,槟榔,莪术,青皮
丹参,茜草,王不留行,茯苓,黄柏,木瓜
地龙,玄胡,没药,赤小豆,乳香,血竭
归尾,红花,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,郁金,赤芍,苏梗,青皮
桃仁,红花,泽兰,蒲公英,丹参,没药
地龙,仙灵脾,盐知母,盐黄柏,肉桂,熟地
