半夏,白芥子,薏仁,诃黎勒,白术
水牛角浓缩粉,党参,黄芪,甘松,郁金
天南星,银箔,朱砂,金箔,川甜消
天竺黄,天南星,生龙脑,金箔,腻粉
银箔,牙消,朱砂,金箔,龙脑
天竺黄,天南星,僵蚕,朱砂,琥珀
天竺黄,真珠,龙脑,升麻,朱砂
百部,桔梗,麦冬,元参,陈皮
贝母,半夏,远志,陈皮,黄芩
半夏,天南星,远志,金箔,僵蚕
半夏,紫菀,葶苈,杏仁,桔梗
半夏,缩砂仁,杏仁,桔梗,五味子
半夏,杏仁,桔梗,陈皮,紫苏
紫菀,款冬花,牛膝,麦冬,桔梗
远志,辰砂,白术,麦门冬,菖蒲
半夏,远志,杏仁,桔梗,麦冬
银箔,远志,朱砂,金箔,白僵蚕
天南星,黑附子,白术,白附子,茯苓
贝母,枇杷叶,薄荷,金银花,小木通
贝母,半夏,芍药,枳实,陈皮
粳米,陈茶叶
半夏,丁香,全蝎,术香,槟榔
半夏,天南星,山芋,远志,辰砂
天南星,辰砂,天麻,二,白附子
天南星,辰砂,天麻,白附子,麝香
半夏,天南星,辰砂,白矾
半夏,天南星,陈皮,皂角,麦糵
半夏,天南星,辰砂,白矾
半夏,天南星,辰砂,白附子,白矾
缩砂仁,桔梗,草果仁,生姜,茯苓
粳米,白糖,茶叶
半夏,茱萸,陈皮,苍术,神曲
半夏,茱萸,陈皮,苍术,茯苓
山芋,牛膝,石斛,五味子,陈皮
灵脂,牙皂,二丑,沉香,香附
半夏,柴胡,陈皮,生姜,甘草
贝母,半夏,芍药,柴胡,桔梗
半夏,柴胡,苏叶,薄荷,黄芩
贝母,葶苈,蜂蜜,麻黄,桑白皮
贝母,杏仁,白糖,桔梗,枇杷叶
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
半夏,牛膝,薏仁,白蔻,钩藤
两细辛,三十,七十五,龙脑,二十
150克,09千克,780克,12千克,1
桔梗,龙脑,薄荷,细辛,川芎
苏合香,丁子香,诃梨勒皮,脑香,熏陆香
贝母,硼砂,青礞石,沉香,猪脱氧胆酸
