藁本,当归,川芎,防风,芍药,地黄,前胡
蝎梢,天南星,天麻,川芎,防风,白僵蚕,石膏,白花蛇
威灵仙,刘寄奴,红花,白芥子,羌活,当归,川芎,桑枝
地龙,五灵脂,桃仁,红花,羌活,当归,牛膝,没药
橘核,山萸,荔枝核,煨三棱,煨莪术,酒炒破故纸,通草,青盐
王不留行,黄耆,通草,当归,川芎,熟地,枸杞,人参
75,酒精,破故纸
地龙,归尾,红花,桃仁,赤芍,川芎,黄耆
鹿角霜,伸筋草,党参,羌活,川断,当归,山楂,黄芪
桂枝,粳米,石膏,知母,甘草
樟丹,枯矾,冰片,龙骨,麝香
蜈蚣,没药,皂刺,山甲,乳香,花粉,知母
桂枝,木瓜,蜈蚣,防己,牛膝,川断,当归,干地龙
桂枝,通草,当归,芍药,枣仁,生姜,细辛,茱萸
麻子仁,大豆,白酒,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,当归,川断,乌药,麻黄,黄柏
蜈蚣,淡干姜,熟地,川乌,生地,细辛,甘草,白术
地龙,没药,乳香,木鳖子,丹皮,肉桂,丁香,无名异
江米酒,川芎,丹参,杜仲
鸡血藤,橘核,丝瓜络,金银花藤,丹参,白芥子,熟地,山药
鸡血藤,蒲公英,石斛,川断,苍术,双花,黄柏,大青叶
鸡血藤,党参,黄芪,紫草,丹皮,生地,络石藤,北沙参
红花,红花,草乌,诃子,朱砂,龙骨,珍珠,獐牙菜
红花,木瓜,草乌,川乌,麻黄,乌梅,甘草
芎劳,防己,秦艽,独活,防风,麻黄,干姜,石膏
桂枝,防己,甘草
蜈蚣,赤芍,白芍,钩藤,丹参,当归,川芎,全蝎
鸡血藤,赤小豆,赤芍,防己,当归,牛膝,金银花,车前子
红花,桃仁,瓜蒌根,当归,穿山甲,柴胡,大黄,甘草
威灵仙,桂枝,荆芥,没药,防风,乳香,五加皮,细辛
王不留行,刘寄奴,宽筋藤,荆芥,金银花藤,钩藤,防风,大黄
鸡血藤,金银花,比茎藤,臭梧桐,白木槿,白毛草,白鱼鲄,乌麻根
桂枝,防风,芍药,麻黄,生姜,知母,黑附子,白术
桂枝,红花,归尾,赤芍,防风,独活,生地,香附
桂枝,赤芍,当归,枣仁,生姜,甘草
桂枝,赤芍,当归,枣仁,生姜,甘草
地龙,威灵仙,当归,白僵蚕,漏芦,桂心,木香,芎藭
茜草,五灵脂,远志,山楂,丹参,琥珀末,干地龙,薤白
红花,赤芍,丹参,川芎,降香
桂枝,党参,寄生,白芍,牛膝,黄耆,熟地,独活
桂枝,片姜黄,寄生,白芍,当归,秦艽,薏仁,防风
黄芪,白芍,当归,川芎,地黄,甘草
白凤仙花,陈米醋,蛇床子,明矾,枯矾,丹参,朱砂,五倍子
红花,当归,花椒,樟脑,肉桂,干姜,细辛
赤芍,黄芪,益母草,丹参,当归,苍术,川芎,熟地
桂枝,木瓜,丹参,当归,川芎,干地龙,防风,茺蔚子
片姜黄,伸筋草,赤芍,归尾,松节,续断,海桐皮,路路通
红花,赤芍,没药,酒归尾,乳香,丹皮,夏枯草,木香
红花,透骨草,归尾,三七,防己,牛膝,没药,续断
地龙,蜈蚣,桃仁,川断,山甲,天南星,羌活,木鳖子
刘寄奴,红花,钩藤,当归,没药,紫草,乳香,丹皮
丹参,当归,没药,乳香
丹参,当归,没药,乳香
地龙,天南星,没药,草乌,乳香,川乌
红花,赤芍,酒归尾,防风,丹皮,木香
刘寄奴,赤芍,当归,川芎,生地,枳壳,苏木,血竭
威灵仙,桃仁,红花,伸筋草,当归,寄生,川芎,续断
茜草,刘寄奴,透骨草,伸筋草,松节,紫草根,昆布,香油
桂枝,当归,防风,桔梗,干姜,黄芩,矾石,芎藭
桃仁,赤芍,当归,元参,桔梗,蝉蜕,枣仁,柴胡
木瓜,桔梗,槟榔,紫苏,生姜,茱萸,陈皮
金铃子,元胡,香缘皮,煅瓦楞,吴萸,白芍,良姜,黄连
威灵仙,桃仁,白芍,牛膝,羌活,天麻,海风藤,当归
橘络,片姜黄,透骨草,白芥子,丹参,当归,鸡血藤膏,苏梗
天麻,羌活,官桂,防风,枣仁,黑附子,羚羊角,甘草
天麻,当归,天南星,羌活,川芎,防风,枣仁,肉桂
茜草,两头尖,艾叶,丹参,当归,川芎,凌霄花,延胡索
桂枝,丹参,干姜,丹皮,阿胶,何首乌,茯苓,甘草
白芍,当归,柴胡,桔梗,黄芩,白芷,半夏,陈皮
蜈蚣,杭白芍,金银花,全蝎,黄连,葛根,石膏,黄芩
桃仁,益母草,炒芥穗,川芎,当归,炙草,干姜
党参,牛膝,三棱,莪术,茯苓,甘草,白术
威灵仙,山楂,薏仁,防风,海风藤,山药,豹皮樟,布渣叶
