红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,茯苓,生地,白芍
红花,刘寄奴,姜黄,胆星,川芎,桑枝
虎杖,茜草,茯苓,全瓜蒌,白芍,蚤休
地龙,川芎,荆芥,防风,全蝎,细辛
没药,乳香,紫荆皮,白芷,甘草
桃仁,虫,石苇,黄芩,瞿麦,紫葳
自然铜,没药,乳香,土鳖
黑豆,三七,血琥珀,鸡血藤膏,骨碎补,破故纸
桃仁,红花,栝楼,川芎,柴胡,薤白
香油,三七,没药,血竭,乳香,樟脑
没药,乳香,皂刺,全蜈蚣,天花粉,山甲
丹参,杜仲,芎藭
桃仁,红花,泽兰,白芍药,丹皮,香附
红花,三七,血竭,生地,乳香,朱砂
桃仁,虫,杏仁,干地黄,黄芩,蛴螬
地龙,自然铜,没药,丹皮,肉桂,乳香
丹参,泽兰,黑豆,玄胡,香附,楂炭
桃仁,丹参,没药,防风,乳香,荆芥
红花,黄耆,鸡血藤,炼蜜,胆草,当归
桃仁,红花,三棱,川芎,莪术,穿山甲
玄胡,没药,丹皮,乳香,金银花,赤芍
桃仁,红花,玄胡,小茴香,香附,炮姜
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,柴胡,穿山甲,大黄,瓜蒌根
全虫,虫,川山甲,蜈蚣
桃仁,红花,五灵脂,玄胡,丹皮,香附
桃仁,红花,玄胡,丹皮,灵脂,香附
丹参,郁金,乌药,川楝,黄芩,百合
桃仁,茯苓,桂枝,牡丹,芍药
桃仁,丹皮,茯苓,桂枝,芍药
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,蒲黄,肉桂,当归,熟干地黄,芍药
没药,元胡,丹皮,乳香,连翘,大黄
红花,75,酒精
丹参,辰砂,荆芥,丁香,石菖蒲,琥珀
紫苏,何首乌,肉桂,防风,乌药,独活
红花,紫苏,乳香,黄连,三棱,黄柏
归尾,伸筋草,松节,落得打,海桐皮,活
香油,没药,麝香,乳香,蛇蜕,头发
桃仁,红花,白蒺藜,荆芥,蝉衣,赤芍
桃仁,归尾,玄胡,防风,黄芩,川芎
蝙蝠,补骨脂,骨碎补,大黄,当归,桂
丹参,泽兰,金钱草,泽泻,山药,黄芪
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,防风,赤芍,酒归尾,木香
