萆薢,川椒,菟丝子,地黄,破故纸,苍术
软前胡,直防风,川独活,肥知母,蔓荆子,片姜黄
菊花,枸杞,牛蒡
木贼,车前子
木贼,草决,覆盆子
粳米
木贼,菊花
菊花,牛蒡
蝉壳,木贼
草决明,石决明,木贼草,蔓荆子
菊花,覆盆子
菊花,乌头
菊花
山药,巴戟,破故纸,枸杞,楮实,仙茅
陈皮,牵牛头末
地黄,地黄,破故纸,枸杞,苍术,山药,琐阳,莲肉,鹿角霜
萆薢,乌头,川椒,大麦糵
川椒,巴戟,山药
椒红,巴戟天,破故纸,青盐
椒红,巴戟天,楝实
椒
磁石,破故纸,钟乳粉,夜明砂,枸杞,菟丝子
菊花,牛蒡
生白芍,煨姜,桑叶
熟地,山药,萸肉,杞果,蒙花,羚羊角
山药,菊花,枸杞,五味子
羌活,螵蛸,菊花,木贼,白蒺藜
焦三仙,酒芩,菊花
熟地,石斛,牛膝
地黄,枸杞,地黄,五味子
仙茅,苍术,车前子,枸杞
决明子,粳米
粳米,菊花
决明子
决明子
决明子,槐子,覆盆子,青葙子,车前子
决明子,青葙子,茺蔚子,菊花,枸杞
菖蒲,远志
川椒,栝楼,白术,细辛
菊花瓣,猪瘦肉,鸡蛋,鸡汤,白砂糖,绍酒,胡椒粉
山药,枸杞,决明子,青葙子,茺蔚子,菟丝子,覆盆子,车前子
地黄,牛膝,菟丝子
肉苁蓉,地黄,五味子,牛膝,菟丝子
菊花,石决明,羚羊角,冰片
石决明,菊花,朱砂,琥珀
菊花,熟地,枸杞
天门冬,地黄,地黄,五味子,山药,枸杞
冰片
鸡苏,地黄末
黄耆,鸡苏,地黄末
蕤仁,朱砂,干胭脂,龙脑
鹿茸,鹿角霜
枸杞,菊花,槐角,茺蔚子
车前子,羌活,黑参,龙胆草
莲肉,芡仁
石决明,车前子
羚羊角,虎胫骨
羚羊角,菊花,车前,羌活,薄荷
醋
花椒,诃子
槐枝叶
石决明,珍珠,曾青
炉甘石,片脑
炉甘石,片脑
水银
菊花,牛蒡,蔓荆子,木贼,苍术,草决明
脂麻,苍术,好铜钱
地黄,菊花,谷精草,木贼
望月砂,夜明砂,马料豆,黑脂麻
青葙子,决明子,夜明砂,黑脂麻
当归
蜡
马齿实
珍珠,熊胆,琥珀
粳米
蔓菁子
蔓荆子,黄耆
7叶,太阴玄精石,石决明
枸杞,菟丝子
菊花
地黄,地黄,枸杞,五味子,菟丝子,山药,菊花
地黄,山药,枸杞,菊花,石决明
菟丝子,独活,枸杞
地黄,萸肉,山药,麦冬,石斛
蒙花,石决明,木贼,菊花
青蒿花
龙脑,盆消
粳米
蒲公英,菊花,决明子,车前子,黄精
菊花,枸杞,蒙花,甘松,地骨皮
磁石,光明砂
石斛,菟丝子,草决明,山药,菊花,枸杞
石斛,山药,枸杞,菟丝子,菊花,青葙子,决明子
菊花,生栀,薄荷
干生姜,蛤粉,牵牛末,薄荷
覆盆子,枸杞,菟丝子,车前子
羚羊角,犀角,黄连,草决明,羌活
五味子,菟丝子,枸杞,巴戟,山药
乌头,苍术
羌活,牛蒡
菟丝子,石斛,石决明,谷精草
菟丝子
菟丝子,石斛,破故纸,巴戟,五味子,覆盆子
菟丝子
枸杞,菊花
地黄,菊花
苍术,草决明,黄连,蒙花,菊花
朱砂,1,5克,15克
秦皮,决明子,黄连,蕤仁
菟丝子,山药
菟丝子,山药
蒲公英,龙胆草,菊花,青葙子
银耳,枸杞,水豆粉
粳米
地黄,山莱萸,五味子,山药,地黄
菟丝子
黄耆,蔓荆子
山药,枸杞,石斛,草决明,菟丝子,青葙子
诃子,地黄,黄连
熟地,葳蕤,五味子,菊花
珍珠,天然冰片,硼酸
苦楝皮,槐皮
