阿胶,红糖
芍药,川芎,白茅根,蒲黄
黄芩,侧柏叶,生地,白芍
泡参,阿胶,蕲艾,寄生
白芍,甘草,白茅根,藕节
黄连2,槐花,甘草
黄耆,三七
川芎,芍药,黄芩,香附,蒲黄,侧柏叶
金樱叶,桑叶,嫩苎叶
矿石灰,生韭菜
百部,白及,黄精,玉竹,穿心莲,葎草
白及粉,甘草,蜂蜜
龙骨,枯矾,没药,轻粉,黄丹
鹿角胶,没药
鹿茸,地黄,蒲黄
龙眼核
制商陆,地榆,党参,何首乌
蒲黄,黄芩,槐角,芍药,川芎
黄连,枳壳
生地,三七
生芍,双花炭,黄芩,椿皮炭,陈皮,木香
牛,羊角及蹄甲,白及
茜草,生杭芍,真阿胶
郁金,地黄,腊月猪板脂
刘寄奴
生地,黄芩,槐角,地榆
淡黄丹,没药,龙骨
蒲黄,鹿茸,当归
蒲黄,石榴花
蒲黄
蒲黄,龙骨
鲜荠菜,粳米
茜草,生地,防风,白芍,黄芩
黄芪,白芍,白芨,鹿角胶,甘草
山萸,茜草,三七,甘草
黄芩
黄芩,白茅根,茜草,旱莲草
黄芩,生地,侧柏叶,白茅根
血竭,没药,儿茶,朱砂
血竭,没药,朱砂,儿茶
大黄,真秋石
蒲黄,旱莲草,藕节,生地,川芎
阿胶,川芎,蒲黄
黄芩,茜草,槐花
鲜柿叶,白糖
白木槿花,石膏,白豆腐,白砂糖
生荷叶,艾叶,生柏叶,地黄
生地,侧柏叶,槐子,连翘
乌鲗骨,芦茹
升麻,清酒
大蓟,小蓟,白茅根,丹皮
大蓟,小蓟,白茅根,蒲黄
马钱子,枳壳
黄芩,白茅根,地榆,茜草
桃仁,延胡索,没药,银花,连翘,泽泻
好石灰,清油30毫升,大黄
款冬花,阿胶珠,蒲黄,京墨,薄荷
三七,陈年石灰,血竭,妇人裙裆末,人参
螵蛸,贝母,陈皮油
茜草,地榆,槐花,甘草
乌梅,红糖
生地,白茅根
芎藭,阿胶,甘草,艾叶,芍药,地黄
白茅根
乌梅,五倍子,炮山甲,牡蛎,火麻仁
三七,甘草
小蓟根,蒲黄,藕节
小蓟,蒲黄,藕节
百部,藤苦参,苦冬瓜,箭根薯,羊耳菊根,蔓荆子茎及叶
鲜野苋草全草,白糖
百部,白及,贝母,甘草
地榆,甘草,甘草
生地,生白芍,黄芩,花蕊石
炒白芍,柴胡
黄连,黄芩
生苎麻根,陈皮炒,粳米,大麦仁,细盐
黄芩,槐花,地榆
黄芩,生地,槐花,地榆
琥珀屑,血竭
阿胶,黄酒
珍珠,象皮,没药,鸡内金,血竭,铅粉,辰砂
生地,藕节,茜草
珍珠,象皮,儿茶,轻粉,血竭
人参,白芍,黄芩,生地
