丹参,川芎,甘草,莲子心,当归,薄荷,荆芥
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,雄黄,皂矾,水银,火消,朱砂
油,油,黄丹,商陆根,柳白皮,白蜡,胡粉
没药,乳香,白蜡,黄蜡,铅粉,密陀僧,轻粉
冰片,乳香,白蜡,樟脑,轻粉,官粉
冰片,樟脑,红粉,轻粉,石膏
冰片,熊胆,炉甘石,硇砂,麝香,珍珠,石决明
李子树胶,阿飞勇,白锡粉,可铁刺
紫苏,木瓜,大腹皮,羌活,槟榔,陈皮,木香
没药,乳香,黄蜡,雄黄,轻粉,孩儿茶,官粉
板蓝根,糖粉,菠萝香精油,淀粉
黄蘖,寒水石,石膏,甘草
没药,乳香,铜绿,松香,白蜡,麻油,黄蜡
血竭,没药,香油,乳香,硼砂,木鳖子,儿茶
金银花,血竭,没药,乳香,赤芍,木鳖子,连翘
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤芍,赤小豆,贝母,白芷,黄柏
冰片,没药,乳香,麝香,前胡,犀黄,斑蝥
寒水石,黄柏,石膏,甘草
无名异,木鳖子,黄柏,花粉,大黄,牡蛎,黄芩
九里明,一点红,射干,甘草
乳香,黄丹,麝香,轻粉,密陀僧,白矾,白垩
大戟,甘遂,土狗,芫花,大黄
冰片,玄明粉,黄柏,麝香,鹿角霜,煅硼砂,白矾
冰片,玄明粉,黄柏,麝香,鹿角霜,炒硼砂,黄连
冰片,硼砂,胆矾,人中黄,麝香,雄黄,苦瓜霜
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,西丹参,熊胆,珠粉,青鱼胆,麝香,蕤仁霜
硼砂,梅片,珠子,炉甘石,琥珀,麝香,丹参
冰片,乳香,文蛤,雄黄,全蝎,炙穿山甲,朱砂
冬瓜皮,陈葫芦,旱莲草,车前子,鸡内金,白茅根,女贞子
冰片,血竭,没药,乳香,樟脑,茶油清,金不换
冰片,血竭,没药,香油,三七,乳香,樟脑
血竭,没药,三七,乳香,赤芍,自然铜,土鳖虫
血竭,马钱子,没药,乳香,自然铜,土鳖虫,麻黄
血竭,没药,三七,乳香,赤芍,土鳖虫,苏木
没药,乳香,花粉,皂刺,山甲,蜈蚣,知母
银花,没药,乳香,连翘,白芷,血余,刺猬皮
芥菜花1味
葡萄糖粉,麻黄素,鹅不食草,辛夷花
核桃仁
核桃仁
没药,乳香,蓖麻子仁,白芷,大黄,老葱,木鳖子肉
白胶香,乳香,白芷,定粉,白蔹
一十,十,木通,栀子,滑石,大黄,地黄
紫苏,木瓜,砂仁,大腹皮,槟榔,麦门冬,陈皮
芙蓉叶,白芷,天南星,独活,紫金皮
山柰,官桂,麝香,红花,白芍,防风,川芎
瓜子,牡丹,桃仁,大黄,皮硝
瓜子,牡丹,桃仁,大黄,皮硝
葶苈,木通,大黄,莽草
银花,蒲公英,乳香,赤芍,木鳖子,花粉,白芷
白酒,麻子仁,大豆,乌蛇
白酒,杉木节,牛蒡,大麻仁,独活,防风,生地
银花,蒲公英,连翘,野菊花,地丁,黑山栀,半枝莲
冰片,熊胆,白菊花,木鳖子,黄柏,麝香,青葙子
银花,冰片,熊胆,硼砂,连翘,车前子,苍耳子
香油,核桃仁,蝈蝈,牛胆
贝母,天南星
月石,胖大海,海浮石,诃子
马钱子,胡连,蜂房,穿山甲,刺猬皮,荆芥,槐花
秦皮,前胡,朱砂,犀角屑,细辛,防风,芎
粳米,茯苓
炒白芍,黄苓,栀子,川芎,麦门冬,地黄,当归
芙蓉叶,榆面,大黄,皮硝
芙蓉叶,冰片,泽兰叶,黄柏,大黄,黄连,黄芩
芙蓉叶,冰片,黄柏,大黄,番泻叶,黄连
秦皮,连翘,绿豆,白芷,夏枯草,泽兰,蝉蜕
秦皮,连翘,绿豆,白芷,夏枯草,泽兰,蝉蜕
赤芍,夏枯草,穿山甲,桃仁,红花,莪术,三棱
蒲公英,赤芍,大青叶,甘草,丹皮,黄芩
肿节风浸膏,薄荷,薄荷
银花,红藤,薏仁,桃仁,三颗针,大黄,皮硝
50,高粱酒,食用乙醇,两背针,苏木,红花
金银花,赤芍,连翘,赤小豆,车前子,鸡血藤,4瓶
车前子,太子参,猪苓,党参,五加皮,茯苓,泽泻
连翘,甘草3寸半,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,西瓜皮,玉米须,白茅根
硼砂,熊胆,梅片,炉甘石,琥珀,麝香,珍珠
冰片,血竭,没药,乳香,白信,桃仁,五灵脂
冰片,硼砂,西瓜霜,山豆根,贝母,黄柏,薄荷
金银花,连翘,花粉,皂刺,牛蒡,栀子,栝楼
没药,乳香,栝楼,当归,甘草
蒲公英,没药,柴胡,三仙,川朴,白芍,川连
金钱风,毛冬青,岗梅,山芝麻,牛膝
赤芍,桃仁,莪术,三棱,丹参
冰片,雄黄,滑石,朱砂面,甘草
铜绿,胆矾,甘石,新针,归尾,乌梅,苦参
金银花,赤芍,皂刺,木通,吴萸,龙胆草,柴胡
冰片,乳没,草乌,硇砂,天南星,肉桂,川乌
五倍子,小麦,白矾,葱白,朴消
银花,赤芍,黄柏,牛蒡,栀子,大黄,防风
赤小豆,黄柏,青盐,大黄,麒麟竭,黄连,马牙消
金银花,赤芍,连翘,桔梗,归尾,羌活,柴胡
银花,赤芍,连翘,花粉,黄柏,薄荷,栀子
食盐,鲜黄花菜
冬瓜皮,生姜皮,茯苓皮,白糖,黄芪,枣仁
清油,零陵香,黄蜡,天麻,防风,芎,地黄
大戟,甘遂,陈曲,麦蘖,陈皮,陈皮,黄耆
五倍子,黄丹,枯矾,白芷,陈米醋,白凤仙花,雄黄
冰片,甘石,儿茶,红粉,轻粉,元连,龙骨
马钱子,穿山甲,黑附子
连翘,贝母,木通,茵陈,大黄,山栀仁,藿香
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,乳香,荔枝核,昆布,穿山甲,肉桂,桃仁
金银花,木瓜,薏仁,皂角,红花,木通,大黄
白酒,红蓝花
75,酒精,红花
冰片,贝母,白芷,松香,轻粉,银朱,潮脑
赤芍,红花,白及,防风,当归
冰片,硼砂,鸡内金,枯矾,麝香,青黛,滑石
冰片,棉胭脂,枯矾面
冰片,西瓜霜,元明粉,月石,石膏,朱砂,乌贼骨
血竭,京墨,海藻,天南星,五灵脂,琥珀,麝香
白芷,天南星,郁金,大黄
油,黄丹,木鳖子,白芷,垂柳枝,松脂,木通
熊胆,儿茶,梅片,血琥珀,珍珠,丹参
没药,乳香,黑丑,琥珀,白丑,沉香,槟榔
獾油,冰片面
獾油,地榆,大黄,石膏
没药,乳香,雄黄,黄米,菖蒲,蜈蚣
冰片,血竭,没药,香油,乳香,黄丹,红粉
冰片,三七,乳香,自然铜,土鳖虫,当归
三七,乳香,土鳖虫,自然铜,当归
冰片,血竭,没药,乳香,自然铜,土鳖虫,儿茶
用纱布蘸透此液,外盖纱布,6次,贴敷患处,胶布固定,活蚯蚓数条
茯苓皮,车前子,炮甲,金钱草,泽兰,黄芪,大腹皮
金银花,没药,乳香,连翘,穿山甲,花粉,白芷
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,防风,枳壳,当归,黄芩
没药,乳香,苏木,栝楼,忍冬,甘草
五倍子
冰片,西瓜霜,熊胆,玄明粉,人指甲,雄黄,朱砂
没药,乳香,赤芍,贝母,花粉,桃仁,红花
葶苈,红芽大戟,甘遂,灵脂,豆豉,芫花,石榴
葶苈,大戟,甘遂,灵脂,淡豆豉,芫花,石榴皮
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,桃仁,雄黄,蛇床子,川椒,乌梅
鸡蛋
冬瓜,鲫鱼
野菊花,贝母,白茅根,薄荷
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,硇砂,雄黄,火消,僵蚕
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,山甲,全蝎,蜈蚣,朱砂,僵蚕
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,大黄,槟榔,黄连
三七,马钱子霜,金刚莲,接骨木,红花,陈皮,五加皮
三七,马钱子霜,金刚莲,见血清,捆仙绳,18厘米,五加皮
冰片,枪消,牙皂,蒲黄,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,大青叶,人中黄,青黛
冰片,连翘,白芷,松香,薄荷,天南星,橡胶
蟾酥,雄黄,朱砂,丁香
银花,蒲公英,赤芍,连翘,花粉,薄荷,黄芩
银花,赤芍,连翘,白芷,花粉,薏仁,甘草
金银花,蒲公英,赤芍,川军,赤小豆,连翘,贝母
白菊花
花椒,生葱,广胶,陈酒糟,葱白,艾叶
香油,章丹
金银花,连翘,山栀,黄连,甘草,丹皮,黄芩
车前子,肉桂,山药,茱萸,地黄,茯苓,丹皮
橘核,川军,金铃子,胡芦巴,乌药,玄胡,肉桂
血竭,没药,乳香,发灰,自然铜,土鳖虫,桃仁
花椒,大蒜头,槐枝,黄丹,葱白,生姜
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,川乌,骨碎补,虎骨随多少,羊胫骨灰
发灰,皂角末,小黄米面
冰片,没药,乳香,熊胆,青鱼胆,黄柏,白占
鸡内金,薄荷,栀子,黄连,升麻
没药,乳香,葱,白胶香,木鳖子,清油,蛇蜕皮
乌药,穿山甲,红花,独活,川芎,陈皮,枳壳
蒲公英,赤芍,瓜蒌,马勃,元参,蜂房,薄荷
车前子,官桂,山药,茱萸,地黄,丹皮,茯苓
西瓜霜,珠粉,西黄,琥珀
白茅根,地肤子,白果,黄芪,肉桂,桑白皮,白僵蚕
木通,海藻,昆布,白僵蚕,黄连,苦参,陈皮
没药,乳香,紫苏,黄柏,薄荷,红粉,轻粉
黄柏,薄荷,苏叶,青黛,防风,杏仁,苍术
没药,乳香,黄柏,薄荷,红粉,轻粉,苏叶
冰片,贝母,月石,滑石,朱砂,龙骨
没药,乳香,马钱子粉,麻黄
没药,乳香,自然铜,土鳖虫,麻黄,马前子
醋2500毫升,半夏
大独活,广地龙,西秦艽,骨碎补,威灵仙,海桐皮,杜仲
或,9克,9克,3克,萝卜子,枳壳,厚朴
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,青黛,蒲黄,僵蚕
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
黄丹,蛇床人,乱发,黄蜡,蛇蜕皮,露蜂房,玄参
冰片,血竭,没药,乳香,熊胆,山豆根,硼砂
银花,红藤,桃仁,炙山甲,川楝,皂角刺,丹皮
金银花,蒲公英,连翘,红藤,贝母,夏枯草
银花,赤芍,连翘,白芷,花粉,黄柏,薄荷
金银花,赤芍,连翘,花粉,白芷,黄柏,薄荷
连翘,荠苨,桑白皮,桔梗,前胡,人参,防风
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,贝母,桑白皮,紫菀,人参,杏仁,五味子
蟾酥,乳香,硇砂,麝香,雄黄,轻粉,金顶砒
蟾酥,血竭,没药,龙脑,轻粉,朱砂,金脚信
蟾酥,血竭,京墨,胆矾,麝香,朱砂
蟾酥,血竭,京墨,胆矾,麝香,朱砂
海石,贝母,天葵子,昆布,牡蛎
赤芍,炒桃仁,大黄,刘寄奴,生地,枳壳
没药,乳香,自然铜,木鳖子,黄丹,草乌,蓖麻子
赤芍,葱,紫苏,黄柏,玄胡,千里马,莪术
冬瓜皮,姜川朴,车前子,制茅术,带皮苓,官桂,建泽泻
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂,麝香
冰片,蟾酥,雄黄,珍珠,丹参,丁香
芙蓉叶,草乌,天南星,川乌,野芋头
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,栝楼,蜀漆,牡蛎,泽泻
冰片,蟾酥,血竭,葶苈,没药,乳香,熊胆
生姜皮,车前子,川萆解,木通,砂仁,莪术,大腹皮
粳米,蒲公英
紫草茸,白芷,何首乌,藿香,川芎,续断,地黄
银花,赤芍,连翘,薄荷,牛蒡,莲子芯,羌活
金银花,青果,北豆根,桔梗,白芍,麦冬,玄参
紫苏,地肤子,葫芦巴,猪苓,桃仁,茴香,槟榔
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草,黄芩
连翘,白芷,射干,桔梗,荆芥,羌活,柴胡
冰片,血竭,没药,乳香,赤小豆,儿茶,麝香
闹羊花
芙蓉叶,花粉,滑石,生川柏,大黄,东丹,黄芩
茶叶末,生清油
赤芍,连翘,黄柏,花粉,栀子,桔梗,石膏
赤芍,连翘,黄柏,花粉,栀子,桔梗,石膏
金银花,薏仁,地榆,麦冬,玄参,当归,甘草
金银花,蒲公英,瓜蒌,连翘,野菊花,生地,甘草
金银花,蒲公英,赤芍,连翘,车前子,地丁,瞿麦
金银花,连翘,山栀,川芎,黄连,地黄,当归
连翘,牛蒡,薄荷,栀子,桔梗,荆芥,石膏
金银花,连翘,玄明粉,鼠粘子,薄荷,栀子,桔梗
芙蓉叶,赤小豆,白芷,黄柏,雄黄,大黄,紫车前
冰片,血竭,没药,乳香,儿茶,红花,麝香
金银花,生地,麦冬,甘菊花,熟地
姜黄,白芷,黄柏,花粉,天南星,大黄,陈皮
白酒,如意草
赤芍,昆布,海藻,鸡血藤,王不留行,柴胡,淫羊藿
连翘,元参,花粉,鼠粘子,桅子,桔梗,防风
冰片,血竭,三七,薄荷,樟脑,红花,麝香
冰片,血竭,没药,乳香,自然铜,儿茶,白芷
乌药,贝母,人参,茯神,枣仁,陈皮,木香
白酒,苏木
没药,栝楼,人参,当归,甘草
续随子,红芽大戟,山慈菇,文蛤,麝香
金银花,没药,乳香,贝母,白芷,花粉,归梢
苍耳子,清酒,甜石榴,酸石榴,党参,羌活,苦参
车前子,薏仁,车前草,生枳,蝉衣,荆芥,菊花
冰片,黄柏,虎杖
白芷,黄柏,郁金,绿豆粉,轻粉,大黄,白及
紫苏,官桂,五灵脂,砂仁,莪术,人参,川芎
樟冰,如意金黄散
金银花,赤芍,山豆根,牛蒡,射干,桔梗,炙僵蚕
大腹子,木瓜,草果仁,木香,厚朴,茯苓,甘草
芙蓉叶,泽兰叶,黄柏,大黄,黄连,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
硼砂,大梅片,西丹参,马勃,青鱼胆,血琥珀,人指甲
马钱子,枳壳
连翘,黄柏,白芷,薄荷,栀子,桔梗,荆芥
白菊花,北防风,黄柏,骨碎补,石膏,白蒺藜,地黄
芙蓉叶,五倍子,赤小豆,草乌,川乌,白及,半夏
芙蓉叶,泽兰叶,薄荷,耳草叶,金桐叶,大黄,牛膝
没药,琥珀,麝香,桂心,细辛,当归,芍药
葶苈,辣桂,猪苓,木通,滑石,木香,茯苓
葶苈,贝母,桑白皮,紫菀,人参,杏仁,五味子
没药,乳香,白芷,透骨草,木瓜,红花,骨碎补
连翘,夏枯草,大力子,僵蛹,莱菔,薄荷,荆芥
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯神,茯苓,泽泻
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,肉桂,大黄,骨碎补,生地
蚕蜕,猪蹄蜕,穿山甲,川乌,蝉蜕,荆芥,粉草
白芷,天南星,红花,防风,当归
白芷,穿山甲,生地,当归,黄耆
赤芍,连翘,水牛角浓缩粉,牛蒡,青黛,桔梗,黄连
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
银花,蒲公英,野菊花,地丁,紫背天葵子
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,大黄,玄参,甘草
芙蓉叶,紫荆皮,白芷,橙橘叶,天南星,肉桂,骨碎补
葶苈,生姜皮,车前子,猪苓,木通,海金沙,地骨皮
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
姜黄,透骨草,散血草,黄柏,大黄,陈皮,苍术
通脱木,瞿麦,黑牵牛,木通,滑石,茯神,陈皮
蒲公英,没药,乳香,木瓜,栀子,大黄,地鳖虫
冰片,硼砂,熊胆,寒水石,孩儿茶,黄连,甘草
芙蓉叶,金银花,蒲公英,花粉,牛蒡,当归,甘草
连翘,蓖麻仁,夏枯草
银花,贝母,白芷,花粉,柴胡,青皮,僵蚕
连翘,元参,花粉,栝楼,桔梗,大黄,山栀
蚯蚓,天南星,川乌,雄黄,荆芥,羌活,麻黄
金银花,没药,乳香,瓜蒌,连翘,穿山甲,知母
葶苈,大戟,商陆,甘遂,桑白皮,芫花,雄黄
乳香,硼砂,麝香,15克,雄黄,1,5克
癞虾蟆草,枳壳
没药,乳香,木鳖子,草乌,五灵脂,麝香,香墨
冰片,没药,乳香,赤芍,贝母,花粉,珍珠
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,肉桂,川乌,麝香
冰片,胆矾,樟冰,姜黄,铜绿,甲片,天南星
没药,乳香,赤芍,草乌,白芷,牛蒡,肉桂
金银花,没药,乳香,赤芍,山豆根,贝母,白芷
葶苈,海藻,松萝,郁李核仁,大黄,通草,黄连
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,黄芪,党参,山楂,山药,丹参
乳没,乌药,黄芪,肉桂,吴萸,莪术,蒲黄
瓜蒌,白芷,零香,白芨,麻黄蓍,麻油,松脂
血竭,白芷,麻油,白占,轻粉,紫草,当归
苍耳子,白芷,北芪,辛荑花,杭菊,木通,防风
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,金线重楼,羌活,独活
没药,乳香,硇砂,麝香,雄黄,朱砂1,片脑
五倍子,千金子霜,红大戟,山慈姑,麝香,雄黄,朱砂
没药,五倍子,乳香,肥皂肉
贝母,猪苓,桑白皮,大腹皮,紫菀,麻黄,槟榔
金银花,地丁,大黄,当归,甘草,芍药,黄耆
蒲公英,赤芍,白芷,黄柏,桃仁,丹皮,茯苓
血竭,儿茶,红花,白芍,莲肉,丁香,当归
土鳖虫,樟脑,薄荷,虎杖,买麻藤,鹰不扑,过江龙
血竭,没药,乳香,儿茶,琥珀,轻粉,珍珠
