半夏,白芥子,薏仁,诃黎勒,肉桂,人参,益智
黄芪,水牛角浓缩粉,党参,郁金,薄荷,丹参,珍珠
天南星,银箔,金箔,朱砂,川甜消,丹参,腻粉
天竺黄,天南星,生龙脑,金箔,丹参,腻粉,天雄
朱砂,银箔,金箔,龙脑,牙消,丹参,蛤粉
天竺黄,天南星,朱砂,僵蚕,琥珀,全蝎,丹参
天竺黄,真珠,龙脑,朱砂,丹参,黄芩,升麻
百部,桔梗,陈皮,麦冬,元参,花粉,甘草
贝母,半夏,远志,陈皮,黄芩,茯苓,枣仁
半夏,天南星,金箔,远志,天麻,辰砂,僵蚕
半夏,紫菀,杏仁,桔梗,葶苈,紫苏,陈皮
半夏,缩砂仁,杏仁,桔梗,紫苏,陈皮,五味子
半夏,杏仁,桔梗,紫苏,陈皮,前胡,千葛
紫菀,款冬花,桔梗,麦冬,牛膝,天冬,五味子
远志,辰砂,丹参,麦门冬,菖蒲,茯神,人参
半夏,杏仁,远志,桔梗,陈皮,菖蒲,麦冬
朱砂,银箔,金箔,远志,琥珀,真珠末,天麻
天南星,白附子,黑附子,茯苓,白术
贝母,薄荷,小木通,枇杷叶,桑叶,金银花,葛根
贝母,半夏,枳实,桔梗,陈皮,芍药,神曲
粳米,陈茶叶
半夏,术香,丁香,全蝎,砂仁,槟榔,肉豆蔻
半夏,天南星,山芋,远志,天麻,辰砂,白附子
天南星,二,天麻,辰砂,白附子,川芎,白芷
天南星,天麻,白附子,辰砂,川芎,白芷,麝香
半夏,天南星,辰砂,白矾
半夏,天南星,皂角,陈皮,神曲,白芷,麦糵
半夏,天南星,辰砂,白矾
半夏,天南星,白附子,辰砂,白矾
缩砂仁,桔梗,草果仁,生姜,甘草,茯苓
粳米,茶叶,白糖
半夏,陈皮,神曲,砂仁,茱萸,茯苓,黄连
半夏,陈皮,茱萸,茯苓,黄连,苍术
山芋,陈皮,百合,肉苁蓉,麦门冬,枸杞,五味子
半夏,陈皮,柴胡,生姜,甘草
贝母,半夏,桔梗,柴胡,芍药,夏枯草,黄芩
半夏,薄荷,柴胡,苏叶,红花,黄芩,山栀
贝母,蜂蜜,葶苈,麻黄,桑白皮
贝母,杏仁,桔梗,白糖,枇杷叶,柠檬酸5厘,苯甲酸
贝母,桔梗,薄荷,枇杷叶
贝母,杏仁,蜂蜜
半夏,白蔻,钩藤,薏仁,牛膝,川芎,赤芍
桔梗,龙脑,两细辛,二十,三十,七十五,薄荷
1,09千克,薄荷,150克,12千克,780克,3
苏合香,脑香,白檀香,丁子香,熏陆香,吃力伽,诃梨勒皮
贝母,硼砂,青礞石,人工竺黄,猪脱氧胆酸,沉香,麝香
贝母,冰糖,粳米
贝母,粳米,砂糖
贝母,桔梗,陈皮,花粉,茯苓,瓜蒌
贝母,紫菀,百部,杏仁,五味子,甘草
贝母,杏仁,款冬花,五味子,甘草,知母
贝母,杏仁,百合,石膏,柴胡,人参,麻黄
贝母,紫菀,杏仁,桔梗,甘草
紫菀,黄耆,五味子,人参,地黄,桑白皮
半夏,胆南星,远志,黄芪,菖蒲,当归,茯神
半夏,紫菀,杏仁,桔梗,黄芪,百合,沙参
缩砂仁,栝楼,盐,薄荷,白檀,白芷,荆芥
缩砂仁,桔梗,四,三,薄荷,川芎,甘草
缩砂仁,桔梗,薄荷,川芎,甘草,防风
缩砂仁,桔梗,薄荷,川芎,甘草,防风
鸡苏叶,缩砂仁,盐,瓜蒌根十,荆芥,甘草
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥,甘草
鸡苏叶,缩砂仁,盐,瓜蒌根,荆芥,甘草
陈皮,枳实,蓬莪荗,黑牵牛,京三棱,槟榔
百部,杏仁,麻黄
朱砂,梅片,象牙末,麝香5厘,丹参5厘,熊胆,珍珠
紫菀,杏仁,葶苈,石膏,制覆花,生山栀,清夏
贝母,上肉桂,辰砂,真麝香,柴胡,巴豆,神金
贝母,桔梗,百合,麦冬,元参,当归,白芍
贝母,桔梗,百合,麦冬,当归,白芍,甘草
牵牛,龙脑,甘遂末,雷丸末,粉霜,轻粉
贝母,石膏,麦冬,板蓝根,桑叶,黄芩,牛蒡
生龙脑,朱砂,麦门冬,人参,甘草,茯苓,枣仁
贝母,地黄,白矾,玄参,诃黎勒皮,知母
半夏,人参,白术,甘草,干姜
天南星,地龙干,白僵蚕,全蝎,五灵脂
天南星,远志,天麻,辰砂,菖蒲,麝1字,川芎
天竺黄,天南星,檀香,金箔,枳实,辰砂,琥珀
天竺黄,胆南星,僵蚕,辰砂,琥珀,全蝎,丹参
天竺黄,郁金,白矾,雄黄
半夏,杏仁,枳实,茶叶,石膏,瓜蒌霜,麻黄
贝母,天南星,杏仁,桔梗,紫苏,陈皮,丹参
天南星,半复,黄芩
半夏,黑附子,生姜
半夏,广皮,甘草,茯苓,苍术,厚朴
贝母,半夏,桔梗,枳亮,瓜萎仁,知母
半夏,杏仁
半夏,旋复花,桔梗,陈皮,芍药,人参,生姜
半夏,柴胡,神曲,升麻,生姜,茯苓,甘草
半夏,天麻,陈皮,大麦蘖面,神曲,黄耆,人参
半夏,天麻,白术
半夏,天麻,陈皮,蔓荆子,生姜,茯苓,白术
半夏,天麻,陈皮,大麦糵面,炒曲,茯芩,黄耆
半夏,秫米
半夏,麦芽,陈皮,神曲,香附,槟榔,茯苓
半夏,紫苏,茯苓,诃黎勒皮,枳壳,厚朴
半夏,昆布,杏仁,桔梗,牛蒡,射干,槟榔
半夏,干苏叶,生姜,茯苓,厚朴
贝母,半夏,天南星,白附子,人参,白术,茯苓
半夏,防风
半夏,朱砂,黄丹,白矾
半夏,白矾
半夏,瓜蒌子
半夏,茯苓,枳壳,朴消
半夏,陈皮,槟榔,木香,郁李仁
半夏,沉香,猪苓,破故纸
半夏,天南星,石膏,香附,栀子
陈皮,琥珀,八角金盘,冬葵子,芦根,赤小豆,甘草
檀香,拳参,白葡萄干,北沙参,石膏,丁香,红花
檀香,拳参,白葡萄干,北沙参,石膏,丁香,红花
硼砂,片脑,紫苏,薄荷,白檀香,霍香叶,桂花
贝母,当归,柴胡,金银花,黄柏,大黄,玄参
天南星,朱砂,神曲,巴豆
胆南星,朱砂,丹参,全蝎,巴豆,神曲,大黄
荸荠,雪梨,白萝卜,生藕,麦冬,白茅根,生地
胆南星,天麻,薄荷,淡全蝎,芥穗,人参,川芎
半夏,胆南星,党参,天麻,橘络,钩藤,全蝎
贝母,天竺黄,天南星,远志,桔梗,天麻,僵蚕
贝母,半夏,胆南星,焦三仙,天麻,僵蚕,琥珀
贝母,胆南星,朱砂,梅片,天麻,粉草,僵蚕
天南星,天麻,僵蚕,辰砂,琥珀,白附子,全蝎
半夏,天南星,皂角,生姜,白矾
贝母,琥珀,莲肉,薏仁,麦门冬,枸杞,当归
半夏,杏仁,豆
