糯米,胡椒末,山药,白糖
人参,半夏,白芥子,熟地,肉桂
人参,紫苏,大腹皮,白术,冬葵子
当归,地黄,白术,续断,杜仲
枳壳,人参,神曲,青皮,蓬术
甘草,干葛,白术,茯苓
甘草,半夏,苍术,藿香,陈皮
槟榔,枳壳,砂仁,全蝎,半夏
知母,牛膝,麦冬,天冬,覆盆子
何首乌,当归,人参,牛膝,肉苁蓉
生地,菖蒲,川椒,远志,地骨皮
赤小豆,胡椒,姜,葱,陈皮
甘草,当归,黄芩,白术,阿胶
赤小豆
甘草,人参,柴胡,白术,草豆蔻
甘草,缩砂仁,桔梗,生姜,草果仁
甘草,苍术,枳壳,升麻,川芎
地榆,苍术
甘草,川椒,苍术,破故纸,芍药
苍术,茯芩
苍术,茯苓
苍术
肉苁蓉,精羊肉,生姜,粳米2茎
肉苁蓉,精羊肉
甘草,干姜,赤石脂,禹余粮,破故纸
甘草,通草,厚朴,莲子,党参
甘草,人参,五味子,黄耆,白术
槟榔,沉香,枳壳,天南星,人参
仙灵脾,菊花,乳香,沉香,鹿茸
黄芩,柴胡,白术,猪苓,泽泻
甘草,人参,白术,石斛,白豆蔻
山楂,甘草,知母,柴胡,贝母
白术,槟榔,枳壳,大黄,黑附子
大麦芽,当归,黄连,川椒,黑附子
肉豆蔻,槟榔,朱砂,黑附子,半夏
甘草,当归,生地,人参,黄柏
甘草,人参,干姜,木香,白术
当归,紫石英,续断,白术,乌贼骨
甘草,阿胶,党参,杜仲,熟地
当归,阿胶,巴戟天,续断,杜仲
生地,麦门冬,人参,白术,枸杞
生地,麦门冬,人参,白术,枸杞
甘草,乳香,没药,沉香,黑附子
甘草,何首乌,茯苓,青盐,大黑豆
甘草,木香,云苓,蔻仁,谷芽
甘草,当归,升麻,桔梗,广皮
木通,人参,紫苏,大腹皮,白术
甘草,陈皮,苍术,麦芽,山药
苡米,小白菜
花粉,牛膝,白术,山药,白豆蔻
干柿不拘多少
上好片术
白术,绵白糖
槟榔,白术,生姜
甘草,荆芥,白术,橘络,茯苓
甘草,人参,白术,茯苓
牡蛎,川椒,芎藭,白术
甘草,人参,白术,葛根,藿香
大腹皮,白术,生姜,陈皮,茯苓
人参,干姜,白术,厚朴
粳米,扁豆
人参,粳米,扁豆
甘草,人参,川芎,干姜,半夏
甘草,半夏,苍术,广皮,茯苓
草豆蔻,黑附子,干姜,半夏,木香
防风,远志,半夏,桂心,白术
半夏,天麻,白术
滑石,白矾,天南星,白术,人参
甘草,人参,扁豆,山药,莲肉
