糯米,胡椒末,山药,白糖
人参,半夏,白芥子,熟地,诃黎勒
人参,紫苏,白术,大腹皮,冬葵子
当归,地黄,条芩,白术,麦冬
枳壳,人参,神曲,青皮,香附
甘草,白术,干葛,茯苓
甘草,半夏,苍术,藿香,陈皮
枳壳,全蝎,槟榔,半夏,砂仁
知母,牛膝,麦冬,扁豆,覆盆子
巴戟,当归,人参,牛膝,杜仲
生地,菖蒲,地骨皮,远志,川椒
赤小豆,胡椒,姜,陈皮,盐
甘草,当归,黄芩,阿胶,白术
赤小豆
甘草,人参,柴胡,白术,陈皮
甘草,桔梗,缩砂仁,生姜,草果仁
甘草,苍术,枳壳,升麻,川芎
地榆,苍术
甘草,川椒,苍术,芍药,破故纸
苍术,茯芩
苍术,茯苓
苍术
肉苁蓉,精羊肉,生姜,粳米2茎
肉苁蓉,精羊肉
甘草,干姜,赤石脂,禹余粮,白术
甘草,通草,山药,扁豆,党参
甘草,人参,黄耆,白术,五味子
菖蒲,枳壳,天南星,干姜,人参
黄芩,柴胡,白术,猪苓,泽泻
甘草,人参,白术,石斛,白豆蔻
甘草,知母,贝母,淡竹叶,柴胡
大黄,白术,枳壳,黑附子,槟榔
大麦芽,当归,黄连,黑附子,干姜
肉豆蔻,朱砂,黑附子,槟榔,半夏
甘草,当归,生地,黄柏,川芎
甘草,干姜,人参,山药,白术
当归,续断,白术,紫石英,乌贼骨
甘草,阿胶,党参,覆盆子,杜仲
当归,阿胶,巴戟天,续断,白术
生地,麦门冬,人参,白术,枸杞
生地,麦门冬,人参,白术,枸杞
甘草,乳香,黑附子,没药,桂
甘草,茯苓,何首乌,青盐,大黑豆
甘草,云苓,枣仁,木香,山药
甘草,当归,升麻,桔梗,白术
人参,木通,紫苏,白术,大腹皮
甘草,山药,神曲,苍术,茯苓
苡米,小白菜
花粉,牛膝,山药,白术,白豆蔻
干柿不拘多少
上好片术
绵白糖,白术
槟榔,白术,生姜
甘草,荆芥,白术,橘络,茯苓
甘草,人参,白术,茯苓
牡蛎,芎藭,川椒,白术
甘草,人参,白术,葛根,藿香
大腹皮,生姜,白术,茯苓,陈皮
干姜,人参,白术,厚朴
粳米,扁豆
人参,粳米,扁豆
甘草,干姜,川芎,人参,半夏
甘草,半夏,苍术,广皮,茯苓
黑附子,干姜,半夏,草豆蔻,枣仁
防风,桂心,远志,半夏,白术
天麻,半夏,白术
滑石,白矾,天南星,人参,白术
甘草,人参,山药,扁豆,莲肉
米仁,使君子肉,山药,扁豆,党参
糯米,建莲,使君子,山药,扁豆
米仁,糯米,莲子,山药,粳米
百合,枣仁,莲肉,山药,扁豆
甘草,黄连,桔梗,人参,藿香
菟丝子,杜仲,破故纸,胡桃仁,韭子
