防风,川芎,藁本,前胡,当归
天麻,蝎梢,防风,川芎,白附子
威灵仙,刘寄奴,白芥子,红花,川芎
地龙,桃仁,五灵脂,红花,牛膝
山萸,煨莪术,橘核,酒炒破故纸,荔枝核
熟地,王不留行,川芎,当归,枸杞
75,酒精,破故纸
地龙,桃仁,川芎,赤芍,红花
鹿角霜,党参,伸筋草,羌活,杜仲
桂枝,知母,石膏,粳米,甘草
樟丹,麝香,枯矾,龙骨,冰片
蜈蚣,没药,皂刺,乳香,花粉
桂枝,蜈蚣,木瓜,干地龙,小木通
桂枝,当归,枣仁,芍药,生姜
白酒,麻子仁,大豆,乌蛇
地龙,白酒,乌芋
地龙,桃仁,元胡,乌药,苏木
蜈蚣,淡干姜,川乌,生地,熟地
地龙,木鳖子,没药,自然铜,肉桂
杜仲,江米酒,川芎,丹参
鸡血藤,丝瓜络,白芥子,橘核,山药
鸡血藤,蒲公英,双花,大青叶,黄柏
鸡血藤,党参,丹皮,络石藤,黄芪
红花,红花,麝香,草乌,磁石
红花,木瓜,草乌,川乌,乌梅
芎劳,独活,防风,干姜,防己
桂枝,防己,甘草
白芍,蜈蚣,知柏,赤芍,钩藤
鸡血藤,赤小豆,赤芍,牛膝,防己
瓜蒌根,桃仁,红花,柴胡,甘草
桂枝,威灵仙,防风,没药,五加皮
王不留行,刘寄奴,大黄,防风,钩藤
鸡血藤,金银花,苏木子,白鱼鲄,白木槿
桂枝,防风,芍药,知母,生姜
桂枝,红花,赤芍,防风,生地
桂枝,赤芍,枣仁,当归,生姜
桂枝,赤芍,枣仁,当归,生姜
威灵仙,地龙,芎藭,木香,白僵蚕
五灵脂,琥珀末,丹参,干地龙,茜草
红花,赤芍,川芎,丹参,降香
桂枝,党参,白芍,生地,牛膝
桂枝,白芍,片姜黄,生地,薏仁
白芍,黄芪,当归,川芎,地黄
明矾,丹参,陈米醋,白凤仙花,蛇床子
红花,花椒,樟脑,干姜,肉桂
黄芪,赤芍,益母草,生地,川芎
桂枝,木瓜,干地龙,川芎,防风
伸筋草,赤芍,松节,片姜黄,路路通
红花,没药,赤芍,丹皮,酒归尾
红花,三七,透骨草,没药,马前子
地龙,桃仁,羌活,蜈蚣,防风
红花,刘寄奴,没药,钩藤,生地
没药,丹参,当归,乳香
没药,丹参,当归,乳香
地龙,草乌,没药,川乌,天南星
红花,赤芍,防风,丹皮,酒归尾
刘寄奴,赤芍,川芎,枳壳,生地
威灵仙,伸筋草,桃仁,川芎,桑枝
伸筋草,透骨草,松节,刘寄奴,紫草根
桂枝,干姜,黄芩,牡蛎,防风
桃仁,赤芍,生地,枣仁,柴胡
木瓜,紫苏,桔梗,槟榔,茱萸
白芍,元胡,吴萸,香缘皮,金铃子
威灵仙,桃仁,牛膝,羌活,海风藤
透骨草,白芥子,苏梗,片姜黄,橘络
天麻,羌活,防风,枣仁,官桂
天麻,枣仁,防风,羌活,川芎
丹参,两头尖,茜草,凌霄花,茺蔚子
桂枝,干姜,丹皮,丹参,阿胶
白芍,柴胡,当归,桔梗,甘草
杭白芍,蜈蚣,黄芩,金银花,石膏
桃仁,益母草,炒芥穗,干姜,川芎
党参,牛膝,茯苓,三棱,莪术
威灵仙,防风,豹皮樟,海风藤,薏仁
鹿角霜,桃仁,赤芍,熟地,白芥子
鸡血藤,蜈蚣,牛膝,钩藤,天麻
地龙,威灵仙,赤小豆,五灵脂,木鳖子
红花,白芍,牡蛎,牛膝,生地
羌活,熟地,锁阳,牛膝,木瓜
