芍药,前胡,当归,地黄,藁本
天麻,蝎梢,白花蛇,天南星,川芎
刘寄奴,红花,白芷,羌活,威灵仙
五灵脂,羌活,桃仁,甘草,乳香
山萸,川楝,青盐,橘核,茴香
通草,熟地,人参,当归,黄耆
破故纸,酒精,75
黄耆,桃仁,赤芍,地龙,红花
羌活,党参,黄芪,伸筋草,鹿角霜
桂枝,知母,甘草,粳米,石膏
樟丹,枯矾,龙骨,麝香,冰片
蜈蚣,山甲,知母,没药,乳香
桂枝,蜈蚣,木瓜,防己,干地龙
桂枝,细辛,生姜,通草,当归
白酒,大豆,麻子仁,乌蛇
地龙,乌芋,白酒
地龙,桃仁,乳没,乌药,麻黄
蜈蚣,细辛,熟地,淡干姜,甘草
地龙,丹皮,自然铜,乳香,肉桂
杜仲,丹参,江米酒,川芎
鸡血藤,丹参,玄参,白芥子,丝瓜络
鸡血藤,连翘,滑石,苍术,石斛
鸡血藤,黄芪,党参,北沙参,丹皮
草乌,龙骨,红花,红花,诃子
草乌,木瓜,红花,乌梅,甘草
芎劳,防己,细辛,秦艽,甘草
桂枝,甘草,防己
钩藤,白芍,蜈蚣,赤芍,玄参
赤小豆,鸡血藤,赤芍,防己,当归
穿山甲,桃仁,瓜蒌根,大黄,红花
桂枝,细辛,乳香,威灵仙,没药
刘寄奴,钩藤,宽筋藤,防风,金银花藤
鸡血藤,金银花,苏木子,五月红,乌麻根
桂枝,生姜,黑附子,防风,麻黄
桂枝,元胡索,赤芍,枳壳,香附
桂枝,生姜,赤芍,甘草,当归
桂枝,生姜,赤芍,甘草,当归
地龙,漏芦,威灵仙,木香,芎藭
五灵脂,干地龙,丹参,茜草,旋覆花
赤芍,丹参,降香,红花,川芎
桂枝,白芍,寄生,党参,细辛
桂枝,细辛,白芍,片姜黄,赤节
白芍,甘草,黄芪,当归,地黄
丹参,枯矾,陈米醋,白凤仙花,蛇床子
红花,樟脑,花椒,细辛,当归
丹参,赤芍,黄芪,玄参,木香
丹参,桂枝,茺蔚子,木瓜,干地龙
松节,赤芍,片姜黄,续断,甘草
赤芍,红花,乳香,丹皮,没药
三七,透骨草,没药,防己,续断
地龙,羌活,桃仁,蜈蚣,细辛
刘寄奴,钩藤,红花,丹皮,大黄
当归,丹参,没药,乳香
当归,丹参,没药,乳香
地龙,草乌,乳香,没药,天南星
赤芍,丹皮,红花,防风,木香
刘寄奴,枳壳,当归,赤芍,苏木
威灵仙,续断,桃仁,红花,骨碎补
刘寄奴,茜草,透骨草,松节,伸筋草
桂枝,牡蛎,细辛,矾石,桔梗
桃仁,元参,蝉蜕,赤芍,桔梗
木瓜,紫苏,生姜,桔梗,槟榔
白芍,金铃子,柴胡,大腹皮,良姜
威灵仙,白芍,羌活,天麻,桃仁
片姜黄,青皮,丹参,透骨草,橘络
天麻,羌活,羚羊角,甘草,枣仁
天麻,羌活,天南星,羚羊角,肉桂
茺蔚子,丹参,凌霄花,艾叶,茜草
桂枝,丹参,丹皮,茯苓,阿胶
白芍,当归,柴胡,桔梗,甘草
蜈蚣,金银花,甘草,葛根,黄芩
桃仁,炙草,炒芥穗,益母草,当归
党参,三棱,甘草,茯苓,牛膝
威灵仙,薏仁,吊子风,防风,海风藤
桃仁,赤芍,麻黄,油桂,鹿角霜
鸡血藤,天麻,钩藤,龙胆草,蜈蚣
五灵脂,乌药,木瓜,地龙,威灵仙
白芍,红花,女贞子,丹参,磁石
秦艽,羌活,木瓜,续断,制虎骨
秦艽,木瓜,羌活,白芍,续断
防己,瓜蒌根,苦参,羌活,泽泻
威灵仙,海桐皮,续断,骨碎补,当归
丹参,党参,赤芍,黄精,黄耆
乌梢蛇,地龙,白花蛇,全虫,蜂房
五灵脂,草乌,乳香,地龙,枫香脂
木瓜,续断,乌药,鹿角霜,羌活
桃仁,青皮,乌药,当归,陈皮
赤芍,丹参,丹皮,红花,玫瑰花
木瓜,白芍,木香,续断,乳香
薏米仁,木瓜,丹参,地鳖,茜草
秦艽,白芍,羌活,生地,甘草
地龙,地骨皮,菊花,牛膝,夏枯草
鹿角霜,天丁,香附,熟地,野南瓜
丹参,白芍,党参,女贞子,香附
乌头,天南星,黑附子,木香
桂枝,蜈蚣,乌梢蛇,草乌,炒地龙
桂枝,白芍,细辛,丹参,秦艽
白芍,秦艽,细辛,威灵仙,葛根
党参,甘草,干姜,茱萸,半夏
细辛,桂枝,鸡血藤,蜈蚣,白芍
乌药,五灵脂,天麻,木瓜,威灵仙
乌药,细辛,羌活,香附,当归
桃仁,青皮,白芍,枳壳,红花
桂枝,细辛,赤芍,桃仁,石见穿
赤芍,桃仁,白芍,丹皮,熟地
桃仁,乌药,玄胡素,穿山甲,青皮
细辛,桃仁,天麻,赤芍,白芍
甘草,蜈蚣,葛根,木瓜,乌蛇
麝香,真辽人参,僵蚕,石膏,柿霜饼
野芋头等量,草乌,天南星,川乌,半夏
党参,三棱,甘草,茯苓,牛膝
羌活,赤芍,白酒,红花,草乌
赤芍,红花,酒军,蝉蜕,银花
秦艽,蜈蚣,白芍,党参,细辛
鸡血藤,木瓜,寄生,海风藤,白酒
当归,黄芪,牛膝,防风
秦艽,大豆,防己,赤芍,干地龙
桂枝,威灵仙,桃仁,苍术,羌活
红花,丹皮,赤芍,枳壳,熟地
桃仁,丹参,红花,生姜,连翘
五灵脂,丹参,三七,木香,延胡索
青皮,通草,橘叶,丝瓜络,郁金
木瓜,羌活,透骨草,没药,续断
鸡血藤,丹参,白芍,当归,乌蛇
天麻,蝎梢,细辛,防风,当归
天麻,羌活,玄参,当归,萆薢
赤芍,丹参,金铃子,蒲黄,延胡索
鸡血藤,蜈蚣,丹参,当归,赤芍
鸡血藤,乌梢蛇,石南藤,防己,金环蛇
乌梢蛇,酒
桃仁,枳壳,菖蒲,赤芍,红花
刘寄奴,丹参,丹皮,地龙,威灵仙
桃仁,丹皮,犀角汁20毫升,生赤芍,生姜汁2滴
桂枝,三七,丹参,黄芪,冰片
蚯蚓,细辛,羌活,当归,天南星
桂枝,秦艽,木瓜,赤芍,丝瓜
老君髯,九头狮子草,二郎箭,白花草
防己,赤小豆,薏仁,山栀,滑石
地龙,桂枝,五灵脂,续断,木香
鸡血藤,秦艽,赤芍,党参,黄芪
